a, Fruling'
1.63425 , 9.7809
1.63525 , 9.79336
1.63625 , 9.80577
1.63725 , 9.81812
1.63825 , 9.83042
1.63925 , 9.84267
1.64025 , 9.85486
1.64125 , 9.867
1.64225 , 9.87909
1.64325 , 9.89112
1.64425 , 9.90311
1.64525 , 9.91504
1.64625 , 9.92692
1.64725 , 9.93874
1.64825 , 9.95051
1.64925 , 9.96223
1.65025 , 9.9739
1.65125 , 9.98552
1.65225 , 9.99708
1.65325 , 10.0086
1.65425 , 10.02
1.65525 , 10.0314
1.65625 , 10.0428
1.65725 , 10.0541
1.65825 , 10.0653
1.65925 , 10.0765
1.66025 , 10.0877
1.66125 , 10.0988
1.66225 , 10.1098
1.66325 , 10.1208
1.66425 , 10.1317
1.66525 , 10.1426
1.66625 , 10.1534
1.66725 , 10.1642
1.66825 , 10.1749
1.66925 , 10.1856
1.67025 , 10.1962
1.67125 , 10.2068
1.67225 , 10.2173
1.67325 , 10.2278
1.67425 , 10.2382
1.67525 , 10.2485
1.67625 , 10.2589
1.67725 , 10.2691
1.67825 , 10.2793
1.67925 , 10.2895
1.68025 , 10.2996
1.68125 , 10.3096
1.68225 , 10.3196
1.68325 , 10.3295
1.68425 , 10.3394
1.68525 , 10.3493
1.68625 , 10.3591
1.68725 , 10.3688
1.68825 , 10.3785
1.68925 , 10.3881
1.69025 , 10.3977
1.69125 , 10.4072
1.69225 , 10.4167
1.69325 , 10.4261
1.69425 , 10.4355
1.69525 , 10.4448
1.69625 , 10.4541
1.69725 , 10.4633
1.69825 , 10.4724
1.69925 , 10.4815
1.70025 , 10.4906
1.70125 , 10.4996
1.70225 , 10.5086
1.70325 , 10.5175
1.70425 , 10.5263
1.70525 , 10.5351
1.70625 , 10.5439
1.70725 , 10.5526
1.70825 , 10.5612
1.70925 , 10.5698
1.71025 , 10.5784
1.71125 , 10.5868
1.71225 , 10.5953
1.71325 , 10.6037
1.71425 , 10.612
1.71525 , 10.6203
1.71625 , 10.6285
1.71725 , 10.6367
1.71825 , 10.6448
1.71925 , 10.6529
1.72025 , 10.6609
1.72125 , 10.6689
1.72225 , 10.6768
1.72325 , 10.6847
1.72425 , 10.6925
1.72525 , 10.7003
1.72625 , 10.708
1.72725 , 10.7157
1.72825 , 10.7233
1.72925 , 10.7308
1.73025 , 10.7384
1.73125 , 10.7458
1.73225 , 10.7532
1.73325 , 10.7606
1.73425 , 10.7679
1.73525 , 10.7751
1.73625 , 10.7823
1.73725 , 10.7895
1.73825 , 10.7966
1.73925 , 10.8036
1.74025 , 10.8106
1.74125 , 10.8176
1.74225 , 10.8245
1.74325 , 10.8313
1.74425 , 10.8381
1.74525 , 10.8448
1.74625 , 10.8515
1.74725 , 10.8582
1.74825 , 10.8647
1.74925 , 10.8713
1.75025 , 10.8778
1.75125 , 10.8842
1.75225 , 10.8906
1.75325 , 10.8969
1.75425 , 10.9032
1.75525 , 10.9094
1.75625 , 10.9156
1.75725 , 10.9217
1.75825 , 10.9278
1.75925 , 10.9338
1.76025 , 10.9397
1.76125 , 10.9457
1.76225 , 10.9515
1.76325 , 10.937
1.76425 , 10.9087
1.76525 , 10.8805
1.76625 , 10.8525
1.76725 , 10.8245
1.76825 , 10.7967
1.76925 , 10.7689
1.77025 , 10.7413
1.77125 , 10.7137
1.77225 , 10.6863
1.77325 , 10.659
1.77425 , 10.6317
1.77525 , 10.6046
1.77625 , 10.5775
1.77725 , 10.5506
1.77825 , 10.5237
1.77925 , 10.4969
1.78025 , 10.4703
1.78125 , 10.4437
1.78225 , 10.4172
1.78325 , 10.3907
1.78425 , 10.3644
1.78525 , 10.3381
1.78625 , 10.3119
1.78725 , 10.2858
1.78825 , 10.2598
1.78925 , 10.2339
1.79025 , 10.208
1.79125 , 10.1822
1.79225 , 10.1565
1.79325 , 10.1308
1.79425 , 10.1052
1.79525 , 10.0797
1.79625 , 10.0543
1.79725 , 10.0289
1.79825 , 10.0036
1.79925 , 9.9783
1.80025 , 9.95311
1.80125 , 9.92798
1.80225 , 9.90292
1.80325 , 9.87791
1.80425 , 9.85296
1.80525 , 9.82807
1.80625 , 9.80324
1.80725 , 9.77846
1.80825 , 9.75374
1.80925 , 9.72907
1.81025 , 9.70445
1.81125 , 9.67989
1.81225 , 9.65538
1.81325 , 9.63092
1.81425 , 9.6065
1.81525 , 9.58214
1.81625 , 9.55783
1.81725 , 9.53356
1.81825 , 9.50934
1.81925 , 9.48516
1.82025 , 9.46103
1.82125 , 9.43694
1.82225 , 9.41289
1.82325 , 9.38889
1.82425 , 9.36492
1.82525 , 9.341
1.82625 , 9.31712
1.82725 , 9.29328
1.82825 , 9.26947
1.82925 , 9.2457
1.83025 , 9.22197
1.83125 , 9.19828
1.83225 , 9.17462
1.83325 , 9.151
1.83425 , 9.12741
1.83525 , 9.10385
1.83625 , 9.08033
1.83725 , 9.05684
1.83825 , 9.03338
1.83925 , 9.00995
1.84025 , 8.98655
1.84125 , 8.96318
1.84225 , 8.93984
1.84325 , 8.91653
1.84425 , 8.89325
1.84525 , 8.86999
1.84625 , 8.84676
1.84725 , 8.82356
1.84825 , 8.80038
1.84925 , 8.77722
1.85025 , 8.7541
1.85125 , 8.73099
1.85225 , 8.70791
1.85325 , 8.68485
1.85425 , 8.66181
1.85525 , 8.6388
1.85625 , 8.61581
1.85725 , 7.60743
1.85825 , 7.60019
1.85925 , 7.593
1.86025 , 7.58585
1.86125 , 7.57874
1.86225 , 7.57168
1.86325 , 7.56467
1.86425 , 7.5577
1.86525 , 7.55077
1.86625 , 7.54389
1.86725 , 7.53705
1.86825 , 7.53025
1.86925 , 7.52349
1.87025 , 7.51678
1.87125 , 7.5101
1.87225 , 7.50347
1.87325 , 7.49688
1.87425 , 7.49033
1.87525 , 7.48382
1.87625 , 7.47734
1.87725 , 7.47091
1.87825 , 7.46451
1.87925 , 7.45816
1.88025 , 7.45184
1.88125 , 7.44556
1.88225 , 7.43931
1.88325 , 7.43311
1.88425 , 7.42694
1.88525 , 7.4208
1.88625 , 7.4147
1.88725 , 7.40864
1.88825 , 7.40262
1.88925 , 7.39662
1.89025 , 7.39067
1.89125 , 7.38474
1.89225 , 7.37886
1.89325 , 7.373
1.89425 , 7.36718
1.89525 , 7.36139
1.89625 , 7.35564
1.89725 , 7.34991
1.89825 , 7.34422
1.89925 , 7.33857
1.90025 , 7.33294
1.90125 , 7.32735
1.90225 , 7.32178
1.90325 , 7.31625
1.90425 , 7.31075
1.90525 , 7.30528
1.90625 , 7.29984
1.90725 , 7.29443
1.90825 , 7.28905
1.90925 , 7.2837
1.91025 , 7.27838
1.91125 , 7.27308
1.91225 , 7.26782
1.91325 , 7.26258
1.91425 , 7.25738
1.91525 , 7.2522
1.91625 , 7.24705
1.91725 , 7.24192
1.91825 , 7.23683
1.91925 , 7.23176
1.92025 , 7.22672
1.92125 , 7.2217
1.92225 , 7.21671
1.92325 , 7.21175
1.92425 , 7.20682
1.92525 , 7.20191
1.92625 , 7.19702
1.92725 , 7.19216
1.92825 , 7.18733
1.92925 , 7.18252
1.93025 , 7.17774
1.93125 , 7.17298
1.93225 , 7.16824
1.93325 , 7.16353
1.93425 , 7.15885
1.93525 , 7.15419
1.93625 , 7.14955
1.93725 , 7.14493
1.93825 , 7.14034
1.93925 , 7.13577
1.94025 , 7.13123
1.94125 , 7.12671
1.94225 , 7.12221
1.94325 , 7.11773
1.94425 , 7.11328
1.94525 , 7.10884
1.94625 , 7.10443
1.94725 , 7.10005
1.94825 , 7.09568
1.94925 , 7.09133
1.95025 , 7.08701
1.95125 , 7.08271
1.95225 , 7.07843
1.95325 , 7.07417
1.95425 , 7.06993
1.95525 , 7.06571
1.95625 , 7.06151
1.95725 , 7.05733
1.95825 , 7.05317
1.95925 , 7.04903
1.96025 , 7.04491
1.96125 , 7.04081
1.96225 , 7.03673
1.96325 , 7.03267
1.96425 , 7.02863
1.96525 , 7.02461
1.96625 , 7.02061
1.96725 , 7.01663
1.96825 , 7.01266
1.96925 , 7.00871
1.97025 , 7.00479
1.97125 , 7.00088
1.97225 , 6.99698
1.97325 , 6.99311
1.97425 , 6.98926
1.97525 , 6.98542
1.97625 , 6.9816
1.97725 , 6.9778
1.97825 , 6.97401
1.97925 , 6.97024
1.98025 , 6.96649
1.98125 , 6.96276
1.98225 , 6.95904
1.98325 , 6.95534
1.98425 , 6.95166
1.98525 , 6.948
1.98625 , 6.94435
1.98725 , 6.94071
1.98825 , 7.94088
1.98925 , 7.95849
1.99025 , 7.97612
