Planarity
2.18802e-17, 1.16262e-17, 9.56463e-17, 1.15412e-17, 6.32476e-17, 2.30619e-17, 9.98414e-17, 1.40007e-16, 1.95539e-16, 1.80765e-16, 2.63476e-16, 1.74866e-16, 3.30048e-16, 1.16537e-16, 1.66218e-15, 2.33e-17, 2.98439e-17, 4.62962e-17, 2.9524e-17, 4.07649e-17, 1.0264e-16, 8.68061e-17, 3.12081e-15, 5.7871e-18, 2.21915e-17, 1.20453e-16, 7.29476e-14, 1.20483e-16, 5.01968e-17, 4.0165e-17, 2.33462e-15, 4.01831e-17, 5.86416e-16, 2.02738e-17, 4.73909e-16, 1.15942e-17, 3.80367e-16, 2.91957e-18, 1.48465e-15, 1.13303e-17, 
Developability
