a(radian),a(degree),Eruling, Ebend, Eparalell,
0,0,28.5442,4.50E+15,1.38008,1
0.001,0.0572958,28.5426,397229,1.38009,1
0.002,0.114592,28.541,99319.4,1.38009,1
0.003,0.171887,28.5394,44151,1.3801,1
0.004,0.229183,28.5378,24842,1.3801,1
0.005,0.286479,28.5362,15904.6,1.38011,1
0.006,0.343775,28.5346,11049.7,1.38011,1
0.007,0.40107,28.533,8122.3,1.38012,1
0.008,0.458366,28.5314,6222.29,1.38012,1
0.009,0.515662,28.5298,4919.61,1.38013,1
0.01,0.572958,28.5281,3987.8,1.38013,1
0.011,0.630254,28.5265,3298.33,1.38014,1
0.012,0.687549,28.5248,2773.92,1.38014,1
0.013,0.744845,28.5232,2365.79,1.38014,1
0.014,0.802141,28.5215,2041.93,1.38015,1
0.015,0.859437,28.5198,1780.64,1.38015,1
0.016,0.916732,28.5182,1566.78,1.38015,1
0.017,0.974028,28.5165,1389.53,1.38015,1
0.018,1.03132,28.5148,1240.98,1.38016,1
0.019,1.08862,28.5131,1115.24,1.38016,1
0.02,1.14592,28.5114,1007.89,1.38016,1
0.021,1.20321,28.5097,915.485,1.38016,1
0.022,1.26051,28.508,835.386,1.38016,1
0.023,1.3178,28.5062,765.497,1.38016,1
0.024,1.3751,28.5045,704.153,1.38016,1
0.025,1.43239,28.5027,650.013,1.38017,1
0.026,1.48969,28.501,601.991,1.38017,1
0.027,1.54699,28.4992,559.198,1.38017,1
0.028,1.60428,28.4975,520.9,1.38017,1
0.029,1.66158,28.4957,486.489,1.38016,1
0.03,1.71887,28.4939,455.455,1.38016,1
0.031,1.77617,28.4922,427.369,1.38016,1
0.032,1.83346,28.4904,401.869,1.38016,1
0.033,1.89076,28.4886,378.646,1.38016,1
0.034,1.94806,28.4868,357.436,1.38016,1
0.035,2.00535,28.485,338.013,1.38016,1
0.036,2.06265,28.4831,320.181,1.38015,1
0.037,2.11994,28.4813,303.77,1.38015,1
0.038,2.17724,28.4795,288.633,1.38015,1
0.039,2.23454,28.4776,274.641,1.38015,1
0.04,2.29183,28.4758,261.681,1.38014,1
0.041,2.34913,28.4739,249.654,1.38014,1
0.042,2.40642,28.4721,238.471,1.38014,1
0.043,2.46372,28.4702,228.055,1.38013,1
0.044,2.52101,28.4683,218.338,1.38013,1
0.045,2.57831,28.4665,209.257,1.38012,1
0.046,2.63561,28.4646,200.759,1.38012,1
0.047,2.6929,28.4627,192.794,1.38011,1
0.048,2.7502,28.4608,185.318,1.38011,1
0.049,2.80749,28.4589,178.292,1.3801,1
0.05,2.86479,28.457,171.68,1.3801,1
0.051,2.92208,28.455,165.451,1.38009,1
0.052,2.97938,28.4531,159.574,1.38009,1
0.053,3.03668,28.4512,154.024,1.38008,1
0.054,3.09397,28.4492,148.777,1.38007,1
0.055,3.15127,28.4473,143.81,1.38007,1
0.056,3.20856,28.4453,139.105,1.38006,1
0.057,3.26586,28.4434,134.642,1.38005,1
0.058,3.32316,28.4414,130.406,1.38004,1
0.059,3.38045,28.4394,126.381,1.38004,1
0.06,3.43775,28.4374,122.554,1.38003,1
0.061,3.49504,28.4354,118.911,1.38002,1
0.062,3.55234,28.4334,115.44,1.38001,1
0.063,3.60963,28.4314,112.131,1.38,1
0.064,3.66693,28.4294,108.974,1.37999,1
0.065,3.72423,28.4274,105.96,1.37998,1
0.066,3.78152,28.4254,103.079,1.37997,1
0.067,3.83882,28.4233,100.325,1.37996,1
0.068,3.89611,28.4213,97.6889,1.37995,1
0.069,3.95341,28.4192,95.1651,1.37994,1
0.07,4.0107,28.4172,92.7469,1.37993,1
0.071,4.068,28.4151,90.4284,1.37992,1
0.072,4.1253,28.4131,88.2041,1.37991,1
0.073,4.18259,28.411,86.0689,1.3799,1
