a(radian),a(degree),Eruling, Ebend, Eparalell,
0.074,4.23989,28.4089,84.018,1.37989,1
0.075,4.29718,28.4068,82.0471,1.37988,1
0.076,4.35448,28.4047,80.1518,1.37986,1
0.077,4.41178,28.4026,78.3284,1.37985,1
0.078,4.46907,28.4005,76.5731,1.37984,1
0.079,4.52637,28.3984,74.8827,1.37983,1
0.08,4.58366,28.3963,73.2538,1.37981,1
0.081,4.64096,28.3941,71.6834,1.3798,1
0.082,4.69825,28.392,70.1688,1.37979,1
0.083,4.75555,28.3898,68.7073,1.37977,1
0.084,4.81285,28.3877,67.2963,1.37976,1
0.085,4.87014,28.3855,65.9336,1.37974,1
0.086,4.92744,28.3834,64.6169,1.37973,1
0.087,4.98473,28.3812,63.3441,1.37971,1
0.088,5.04203,28.379,62.1132,1.3797,1
0.089,5.09932,28.3768,60.9224,1.37968,1
0.09,5.15662,28.3746,59.77,1.37967,1
0.091,5.21392,28.3724,58.6542,1.37965,1
0.092,5.27121,28.3702,57.5735,1.37964,1
0.093,5.32851,28.368,56.5263,1.37962,1
0.094,5.3858,28.3658,55.5114,1.3796,1
0.095,5.4431,28.3635,54.5273,1.37959,1
0.096,5.50039,28.3613,53.5727,1.37957,1
0.097,5.55769,28.3591,52.6466,1.37955,1
0.098,5.61499,28.3568,51.7476,1.37954,1
0.099,5.67228,28.3546,50.8748,1.37952,1
0.1,5.72958,28.3523,50.0272,1.3795,1
0.101,5.78687,28.35,49.2036,1.37948,1
0.102,5.84417,28.3477,48.4032,1.37946,1
0.103,5.90147,28.3455,47.6252,1.37944,1
0.104,5.95876,28.3432,46.8686,1.37942,1
0.105,6.01606,28.3409,46.1327,1.37941,1
0.106,6.07335,28.3386,45.4166,1.37939,1
0.107,6.13065,28.3362,44.7197,1.37937,1
0.108,6.18794,28.3339,44.0413,1.37935,1
0.109,6.24524,28.3316,43.3807,1.37933,1
0.11,6.30254,28.3293,42.7372,1.3793,1
0.111,6.35983,28.3269,42.1103,1.37928,1
0.112,6.41713,28.3246,41.4993,1.37926,1
0.113,6.47442,28.3222,40.9037,1.37924,1
0.114,6.53172,28.3199,40.3231,1.37922,1
0.115,6.58901,28.3175,39.7567,1.3792,1
0.116,6.64631,28.3151,39.2043,1.37918,1
0.117,6.70361,28.3127,38.6653,1.37915,1
0.118,6.7609,28.3103,38.1392,1.37913,1
0.119,6.8182,28.3079,37.6257,1.37911,1
0.12,6.87549,28.3055,37.1244,1.37908,1
0.121,6.93279,28.3031,36.6347,1.37906,1
0.122,6.99009,28.3007,36.1564,1.37904,1
0.123,7.04738,28.2983,35.6891,1.37901,1
0.124,7.10468,28.2958,35.2325,1.37899,1
0.125,7.16197,28.2934,34.7862,1.37896,1
0.126,7.21927,28.2909,34.3498,1.37894,1
0.127,7.27656,28.2885,33.9232,1.37892,1
0.128,7.33386,28.286,33.5059,1.37889,1
0.129,7.39116,28.2836,33.0978,1.37886,1
0.13,7.44845,28.2811,32.6985,1.37884,1
0.131,7.50575,28.2786,32.3077,1.37881,1
0.132,7.56304,28.2761,31.9252,1.37879,1
0.133,7.62034,28.2736,31.5509,1.37876,1
0.134,7.67763,28.2711,31.1843,1.37873,1
0.135,7.73493,28.2686,30.8254,1.37871,1
0.136,7.79223,28.2661,30.4738,1.37868,1
0.137,7.84952,28.2636,30.1294,1.37865,1
0.138,7.90682,28.261,29.792,1.37862,1
0.139,7.96411,28.2585,29.4614,1.3786,1
0.14,8.02141,28.2559,29.1373,1.37857,1
0.141,8.0787,28.2534,28.8197,1.37854,1
0.142,8.136,28.2508,28.5083,1.37851,1
0.143,8.1933,28.2482,28.2029,1.37848,1
0.144,8.25059,28.2457,27.9035,1.37845,1
0.145,8.30789,28.2431,27.6098,1.37842,1
0.146,8.36518,28.2405,27.3216,1.37839,1
0.147,8.42248,28.2379,27.0389,1.37836,1
0.148,8.47978,28.2353,26.7615,1.37833,1
0.149,8.53707,28.2327,26.4893,1.3783,1
0.15,8.59437,28.2301,26.2221,1.37827,1
0.151,8.65166,28.2275,25.9597,1.37824,1
0.152,8.70896,28.2248,25.7022,1.37821,1
0.153,8.76625,28.2222,25.4492,1.37818,1
0.154,8.82355,28.2195,25.2008,1.37815,1
0.155,8.88085,28.2169,24.9569,1.37811,1
0.156,8.93814,28.2142,24.7172,1.37808,1
0.157,8.99544,28.2116,24.4817,1.37805,1
0.158,9.05273,28.2089,24.2503,1.37802,1
0.159,9.11003,28.2062,24.023,1.37798,1
0.16,9.16732,28.2035,23.7995,1.37795,1
0.161,9.22462,28.2008,23.5798,1.37791,1
0.162,9.28192,28.1981,23.3639,1.37788,1
0.163,9.33921,28.1954,23.1515,1.37785,1
0.164,9.39651,28.1927,22.9427,1.37781,1
0.165,9.4538,28.19,22.7374,1.37778,1
0.166,9.5111,28.1872,22.5354,1.37774,1
0.167,9.5684,28.1845,22.3368,1.37771,1
0.168,9.62569,28.1817,22.1414,1.37767,1
0.169,9.68299,28.179,21.9491,1.37764,1
0.17,9.74028,28.1762,21.7599,1.3776,1
0.171,9.79758,28.1735,21.5737,1.37756,1
0.172,9.85487,28.1707,21.3904,1.37753,1
0.173,9.91217,28.1679,21.21,1.37749,1
0.174,9.96947,28.1651,21.0325,1.37745,1
0.175,10.0268,28.1623,20.8577,1.37742,1
0.176,10.0841,28.1595,20.6855,1.37738,1
0.177,10.1414,28.1567,20.516,1.37734,1
0.178,10.1986,28.1539,20.3491,1.3773,1
0.179,10.2559,28.1511,20.1847,1.37726,1
0.18,10.3132,28.1482,20.0228,1.37722,1
0.181,10.3705,28.1454,19.8633,1.37719,1
0.182,10.4278,28.1426,19.7061,1.37715,1
0.183,10.4851,28.1397,19.5513,1.37711,1
0.184,10.5424,28.1368,19.3987,1.37707,1
0.185,10.5997,28.134,19.2483,1.37703,1
0.186,10.657,28.1311,19.1001,1.37699,1
0.187,10.7143,28.1282,18.9541,1.37695,1
0.188,10.7716,28.1253,18.8101,1.37691,1
0.189,10.8289,28.1224,18.6682,1.37686,1
0.19,10.8862,28.1195,18.5282,1.37682,1
0.191,10.9435,28.1166,18.3902,1.37678,1
0.192,11.0008,28.1137,18.2542,1.37674,1
0.193,11.0581,28.1108,18.12,1.3767,1
0.194,11.1154,28.1078,17.9877,1.37665,1
0.195,11.1727,28.1049,17.8572,1.37661,1
0.196,11.23,28.102,17.7285,1.37657,1
0.197,11.2873,28.099,17.6015,1.37653,1
0.198,11.3446,28.096,17.4762,1.37648,1
0.199,11.4019,28.0931,17.3526,1.37644,1
0.2,11.4592,28.0901,17.2306,1.37639,1
0.201,11.5165,28.0871,17.1102,1.37635,1
0.202,11.5737,28.0841,16.9914,1.37631,1
0.203,11.631,28.0811,16.8742,1.37626,1
0.204,11.6883,28.0781,16.7585,1.37622,1
0.205,11.7456,28.0751,16.6443,1.37617,1
0.206,11.8029,28.0721,16.5316,1.37612,1
0.207,11.8602,28.0691,16.4202,1.37608,1
0.208,11.9175,28.066,16.3104,1.37603,1
0.209,11.9748,28.063,16.2019,1.37599,1
0.21,12.0321,28.0599,16.0947,1.37594,1
0.211,12.0894,28.0569,15.9889,1.37589,1
0.212,12.1467,28.0538,15.8844,1.37584,1
0.213,12.204,28.0508,15.7812,1.3758,1
0.214,12.2613,28.0477,15.6793,1.37575,1
0.215,12.3186,28.0446,15.5786,1.3757,1
0.216,12.3759,28.0415,15.4792,1.37565,1
0.217,12.4332,28.0384,15.3809,1.3756,1
0.218,12.4905,28.0353,15.2838,1.37556,1
0.219,12.5478,28.0322,15.1879,1.37551,1
0.22,12.6051,28.0291,15.0932,1.37546,1
0.221,12.6624,28.0259,14.9995,1.37541,1
0.222,12.7197,28.0228,14.907,1.37536,1
0.223,12.777,28.0197,14.8155,1.37531,1
0.224,12.8343,28.0165,14.7251,1.37526,1
0.225,12.8916,28.0134,14.6358,1.3752,1
0.226,12.9488,28.0102,14.5474,1.37515,1
0.227,13.0061,28.007,14.4601,1.3751,1
0.228,13.0634,28.0038,14.3738,1.37505,1
0.229,13.1207,28.0007,14.2885,1.375,1
0.23,13.178,27.9975,14.2042,1.37495,1
0.231,13.2353,27.9943,14.1207,1.37489,1
0.232,13.2926,27.9911,14.0383,1.37484,1
0.233,13.3499,27.9878,13.9567,1.37479,1
0.234,13.4072,27.9846,13.876,1.37473,1
0.235,13.4645,27.9814,13.7963,1.37468,1
0.236,13.5218,27.9782,13.7174,1.37463,1
0.237,13.5791,27.9749,13.6394,1.37457,1
0.238,13.6364,27.9717,13.5622,1.37452,1
0.239,13.6937,27.9684,13.4858,1.37446,1
0.24,13.751,27.9651,13.4103,1.37441,1
0.241,13.8083,27.9619,13.3356,1.37435,1
0.242,13.8656,27.9586,13.2617,1.3743,1
0.243,13.9229,27.9553,13.1885,1.37424,1
0.244,13.9802,27.952,13.1162,1.37418,1
0.245,14.0375,27.9487,13.0446,1.37413,1
0.246,14.0948,27.9454,12.9737,1.37407,1
0.247,14.1521,27.9421,12.9036,1.37401,1
0.248,14.2094,27.9387,12.8342,1.37396,1
0.249,14.2666,27.9354,12.7655,1.3739,1
0.25,14.3239,27.9321,12.6975,1.37384,1
0.251,14.3812,27.9287,12.6303,1.37378,1
0.252,14.4385,27.9254,12.5637,1.37373,1
0.253,14.4958,27.922,12.4977,1.37367,1
0.254,14.5531,27.9186,12.4325,1.37361,1
0.255,14.6104,27.9153,12.3679,1.37355,1
0.256,14.6677,27.9119,12.3039,1.37349,1
0.257,14.725,27.9085,12.2406,1.37343,1
0.258,14.7823,27.9051,12.1779,1.37337,1
0.259,14.8396,27.9017,12.1158,1.37331,1
0.26,14.8969,27.8983,12.0544,1.37325,1
0.261,14.9542,27.8948,11.9935,1.37319,1
0.262,15.0115,27.8914,11.9332,1.37312,1
0.263,15.0688,27.888,11.8735,1.37306,1
0.264,15.1261,27.8845,11.8144,1.373,1
0.265,15.1834,27.8811,11.7559,1.37294,1
0.266,15.2407,27.8776,11.6979,1.37288,1
0.267,15.298,27.8742,11.6404,1.37281,1
0.268,15.3553,27.8707,11.5835,1.37275,1
0.269,15.4126,27.8672,11.5272,1.37269,1
0.27,15.4699,27.8637,11.4713,1.37262,1
0.271,15.5272,27.8602,11.416,1.37256,1
0.272,15.5845,27.8567,11.3612,1.3725,1
0.273,15.6417,27.8532,11.3069,1.37243,1
0.274,15.699,27.8497,11.2531,1.37237,1
0.275,15.7563,27.8462,11.1998,1.3723,1
0.276,15.8136,27.8426,11.147,1.37224,1
0.277,15.8709,27.8391,11.0947,1.37217,1
0.278,15.9282,27.8355,11.0429,1.3721,1
0.279,15.9855,27.832,10.9915,1.37204,1
0.28,16.0428,27.8284,10.9406,1.37197,1
0.281,16.1001,27.8249,10.8901,1.3719,1
0.282,16.1574,27.8213,10.8401,1.37184,1
0.283,16.2147,27.8177,10.7905,1.37177,1
0.284,16.272,27.8141,10.7414,1.3717,1
0.285,16.3293,27.8105,10.6927,1.37163,1
0.286,16.3866,27.8069,10.6444,1.37156,1
0.287,16.4439,27.8033,10.5966,1.3715,1
0.288,16.5012,27.7997,10.5491,1.37143,1
0.289,16.5585,27.796,10.5021,1.37136,1
0.29,16.6158,27.7924,10.4555,1.37129,1
0.291,16.6731,27.7887,10.4093,1.37122,1
0.292,16.7304,27.7851,10.3635,1.37115,1
0.293,16.7877,27.7814,10.3181,1.37108,1
0.294,16.845,27.7778,10.273,1.37101,1
0.295,16.9023,27.7741,10.2284,1.37094,1
0.296,16.9596,27.7704,10.1841,1.37086,1
0.297,17.0168,27.7667,10.1402,1.37079,1
0.298,17.0741,27.763,10.0966,1.37072,1
0.299,17.1314,27.7593,10.0535,1.37065,1
0.3,17.1887,27.7556,10.0106,1.37058,1
0.301,17.246,27.7519,9.96817,1.3705,1
0.302,17.3033,27.7482,9.92606,1.37043,1
0.303,17.3606,27.7444,9.88429,1.37036,1
0.304,17.4179,27.7407,9.84286,1.37028,1
0.305,17.4752,27.7369,9.80177,1.37021,1
0.306,17.5325,27.7332,9.76102,1.37013,1
0.307,17.5898,27.7294,9.72059,1.37006,1
0.308,17.6471,27.7256,9.68049,1.36998,1
0.309,17.7044,27.7218,9.64071,1.36991,1
0.31,17.7617,27.7181,9.60125,1.36983,1
0.311,17.819,27.7143,9.56211,1.36976,1
0.312,17.8763,27.7105,9.52327,1.36968,1
0.313,17.9336,27.7066,9.48474,1.3696,1
0.314,17.9909,27.7028,9.44652,1.36953,1
0.315,18.0482,27.699,9.4086,1.36945,1
0.316,18.1055,27.6952,9.37097,1.36937,1
0.317,18.1628,27.6913,9.33363,1.36929,1
0.318,18.2201,27.6875,9.29659,1.36922,1
0.319,18.2774,27.6836,9.25983,1.36914,1
0.32,18.3346,27.6798,9.22336,1.36906,1
0.321,18.3919,27.6759,9.18717,1.36898,1
0.322,18.4492,27.672,9.15125,1.3689,1
0.323,18.5065,27.6681,9.11561,1.36882,1
0.324,18.5638,27.6642,9.08024,1.36874,1
0.325,18.6211,27.6603,9.04513,1.36866,1
0.326,18.6784,27.6564,9.01029,1.36858,1
0.327,18.7357,27.6525,8.97572,1.3685,1
0.328,18.793,27.6486,8.9414,1.36842,1
0.329,18.8503,27.6446,8.90734,1.36834,1
0.33,18.9076,27.6407,8.87353,1.36825,1
0.331,18.9649,27.6367,8.83997,1.36817,1
0.332,19.0222,27.6328,8.80666,1.36809,1
0.333,19.0795,27.6288,8.7736,1.36801,1
0.334,19.1368,27.6248,8.74078,1.36792,1
0.335,19.1941,27.6209,8.7082,1.36784,1
0.336,19.2514,27.6169,8.67586,1.36776,1
0.337,19.3087,27.6129,8.64375,1.36767,1
0.338,19.366,27.6089,8.61187,1.36759,1
0.339,19.4233,27.6049,8.58023,1.3675,1
0.34,19.4806,27.6009,8.54881,1.36742,1
0.341,19.5379,27.5968,8.51762,1.36733,1
0.342,19.5952,27.5928,8.48665,1.36725,1
0.343,19.6525,27.5887,8.4559,1.36716,1
0.344,19.7097,27.5847,8.42537,1.36707,1
0.345,19.767,27.5806,8.39505,1.36699,1
0.346,19.8243,27.5766,8.36495,1.3669,1
0.347,19.8816,27.5725,8.33506,1.36681,1
0.348,19.9389,27.5684,8.30538,1.36672,1
0.349,19.9962,27.5643,8.27591,1.36664,1
0.35,20.0535,27.5602,8.24664,1.36655,1
0.351,20.1108,27.5561,8.21757,1.36646,1
0.352,20.1681,27.552,8.18871,1.36637,1
0.353,20.2254,27.5479,8.16004,1.36628,1
0.354,20.2827,27.5438,8.13157,1.36619,1
0.355,20.34,27.5396,8.1033,1.3661,1
0.356,20.3973,27.5355,8.07522,1.36601,1
0.357,20.4546,27.5313,8.04733,1.36592,1
0.358,20.5119,27.5272,8.01963,1.36583,1
0.359,20.5692,27.523,7.99212,1.36574,1
0.36,20.6265,27.5188,7.96479,1.36565,1
0.361,20.6838,27.5147,7.93764,1.36555,1
0.362,20.7411,27.5105,7.91068,1.36546,1
0.363,20.7984,27.5063,7.8839,1.36537,1
0.364,20.8557,27.5021,7.85729,1.36528,1
0.365,20.913,27.4979,7.83087,1.36518,1
0.366,20.9703,27.4936,7.80461,1.36509,1
0.367,21.0276,27.4894,7.77853,1.36499,1
0.368,21.0848,27.4852,7.75262,1.3649,1
0.369,21.1421,27.4809,7.72688,1.3648,1
0.37,21.1994,27.4767,7.70131,1.36471,1
0.371,21.2567,27.4724,7.67591,1.36461,1
0.372,21.314,27.4681,7.65067,1.36452,1
0.373,21.3713,27.4639,7.62559,1.36442,1
0.374,21.4286,27.4596,7.60068,1.36433,1
0.375,21.4859,27.4553,7.57592,1.36423,1
0.376,21.5432,27.451,7.55133,1.36413,1
0.377,21.6005,27.4467,7.52689,1.36403,1
0.378,21.6578,27.4424,7.50261,1.36394,1
0.379,21.7151,27.438,7.47848,1.36384,1
0.38,21.7724,27.4337,7.4545,1.36374,1
0.381,21.8297,27.4294,7.43068,1.36364,1
0.382,21.887,27.425,7.40701,1.36354,1
0.383,21.9443,27.4207,7.38348,1.36344,1
0.384,22.0016,27.4163,7.3601,1.36334,1
0.385,22.0589,27.4119,7.33687,1.36324,1
0.386,22.1162,27.4075,7.31378,1.36314,1
0.387,22.1735,27.4032,7.29084,1.36304,1
0.388,22.2308,27.3988,7.26804,1.36294,1
0.389,22.2881,27.3944,7.24538,1.36284,1
0.39,22.3454,27.3899,7.22286,1.36273,1
0.391,22.4026,27.3855,7.20047,1.36263,1
0.392,22.4599,27.3811,7.17823,1.36253,1
0.393,22.5172,27.3767,7.15611,1.36243,1
0.394,22.5745,27.3722,7.13414,1.36232,1
0.395,22.6318,27.3678,7.11229,1.36222,1
0.396,22.6891,27.3633,7.09058,1.36211,1
0.397,22.7464,27.3588,7.069,1.36201,1
0.398,22.8037,27.3544,7.04755,1.3619,1
0.399,22.861,27.3499,7.02623,1.3618,1
0.4,22.9183,27.3454,7.00504,1.36169,1
0.401,22.9756,27.3409,6.98397,1.36159,1
0.402,23.0329,27.3364,6.96303,1.36148,1
0.403,23.0902,27.3319,6.94221,1.36137,1
0.404,23.1475,27.3273,6.92151,1.36127,1
0.405,23.2048,27.3228,6.90094,1.36116,1
0.406,23.2621,27.3183,6.88049,1.36105,1
0.407,23.3194,27.3137,6.86015,1.36094,1
0.408,23.3767,27.3092,6.83994,1.36083,1
0.409,23.434,27.3046,6.81984,1.36072,1
0.41,23.4913,27.3,6.79986,1.36062,1
0.411,23.5486,27.2954,6.78,1.36051,1
0.412,23.6059,27.2909,6.76025,1.3604,1
0.413,23.6632,27.2863,6.74062,1.36028,1
0.414,23.7205,27.2817,6.7211,1.36017,1
0.415,23.7777,27.277,6.70169,1.36006,1
0.416,23.835,27.2724,6.68239,1.35995,1
0.417,23.8923,27.2678,6.6632,1.35984,1
0.418,23.9496,27.2631,6.64412,1.35973,1
0.419,24.0069,27.2585,6.62515,1.35961,1
0.42,24.0642,27.2538,6.60629,1.3595,1
0.421,24.1215,27.2492,6.58753,1.35939,1
0.422,24.1788,27.2445,6.56888,1.35927,1
0.423,24.2361,27.2398,6.55033,1.35916,1
0.424,24.2934,27.2351,6.53189,1.35904,1
0.425,24.3507,27.2305,6.51355,1.35893,1
0.426,24.408,27.2257,6.49531,1.35881,1
0.427,24.4653,27.221,6.47718,1.3587,1
0.428,24.5226,27.2163,6.45914,1.35858,1
0.429,24.5799,27.2116,6.4412,1.35846,1
0.43,24.6372,27.2069,6.42337,1.35835,1
0.431,24.6945,27.2021,6.40563,1.35823,1
0.432,24.7518,27.1974,6.38799,1.35811,1
0.433,24.8091,27.1926,6.37044,1.35799,1
0.434,24.8664,27.1878,6.35299,1.35788,1
0.435,24.9237,27.183,6.33564,1.35776,1
0.436,24.981,27.1783,6.31838,1.35764,1
0.437,25.0383,27.1735,6.30121,1.35752,1
0.438,25.0956,27.1687,6.28413,1.3574,1
0.439,25.1528,27.1639,6.26715,1.35728,1
0.44,25.2101,27.159,6.25026,1.35716,1
0.441,25.2674,27.1542,6.23346,1.35703,1
0.442,25.3247,27.1494,6.21675,1.35691,1
0.443,25.382,27.1445,6.20013,1.35679,1
0.444,25.4393,27.1397,6.18359,1.35667,1
0.445,25.4966,27.1348,6.16715,1.35654,1
0.446,25.5539,27.1299,6.15079,1.35642,1
0.447,25.6112,27.1251,6.13452,1.3563,1
0.448,25.6685,27.1202,6.11833,1.35617,1
0.449,25.7258,27.1153,6.10223,1.35605,1
0.45,25.7831,27.1104,6.08621,1.35592,1
0.451,25.8404,27.1055,6.07028,1.3558,1
0.452,25.8977,27.1005,6.05443,1.35567,1
0.453,25.955,27.0956,6.03866,1.35555,1
0.454,26.0123,27.0907,6.02297,1.35542,1
0.455,26.0696,27.0857,6.00737,1.35529,1
0.456,26.1269,27.0808,5.99185,1.35516,1
0.457,26.1842,27.0758,5.9764,1.35504,1
0.458,26.2415,27.0709,5.96104,1.35491,1
0.459,26.2988,27.0659,5.94575,1.35478,1
0.46,26.3561,27.0609,5.93054,1.35465,1
0.461,26.4134,27.0559,5.91541,1.35452,1
0.462,26.4707,27.0509,5.90036,1.35439,1
0.463,26.5279,27.0459,5.88538,1.35426,1
0.464,26.5852,27.0409,5.87048,1.35413,1
0.465,26.6425,27.0358,5.85565,1.354,1
0.466,26.6998,27.0308,5.8409,1.35387,1
0.467,26.7571,27.0257,5.82623,1.35373,1
0.468,26.8144,27.0207,5.81162,1.3536,1
0.469,26.8717,27.0156,5.79709,1.35347,1
0.47,26.929,27.0106,5.78263,1.35334,1
0.471,26.9863,27.0055,5.76825,1.3532,1
0.472,27.0436,27.0004,5.75393,1.35307,1
0.473,27.1009,26.9953,5.73969,1.35293,1
0.474,27.1582,26.9902,5.72552,1.3528,1
0.475,27.2155,26.9851,5.71141,1.35266,1
0.476,27.2728,26.9799,5.69738,1.35253,1
0.477,27.3301,26.9748,5.68342,1.35239,1
0.478,27.3874,26.9697,5.66952,1.35225,1
0.479,27.4447,26.9645,5.65569,1.35211,1
0.48,27.502,26.9594,5.64193,1.35198,1
0.481,27.5593,26.9542,5.62824,1.35184,1
0.482,27.6166,26.949,5.61461,1.3517,1
0.483,27.6739,26.9438,5.60105,1.35156,1
0.484,27.7312,26.9387,5.58755,1.35142,1
0.485,27.7885,26.9335,5.57412,1.35128,1
0.486,27.8457,26.9282,5.56076,1.35114,1
0.487,27.903,26.923,5.54745,1.351,1
0.488,27.9603,26.9178,5.53422,1.35086,1
0.489,28.0176,26.9126,5.52104,1.35072,1
0.49,28.0749,26.9073,5.50793,1.35057,1
0.491,28.1322,26.9021,5.49488,1.35043,1
0.492,28.1895,26.8968,5.48189,1.35029,1
0.493,28.2468,26.8915,5.46897,1.35014,1
0.494,28.3041,26.8863,5.4561,1.35,1
0.495,28.3614,26.881,5.4433,1.34986,1
0.496,28.4187,26.8757,5.43055,1.34971,1
0.497,28.476,26.8704,5.41787,1.34957,1
0.498,28.5333,26.8651,5.40524,1.34942,1
0.499,28.5906,26.8597,5.39268,1.34927,1
0.5,28.6479,26.8544,5.38017,1.34913,1
0.501,28.7052,26.8491,5.36772,1.34898,1
0.502,28.7625,26.8437,5.35533,1.34883,1
0.503,28.8198,26.8384,5.34299,1.34868,1
0.504,28.8771,26.833,5.33072,1.34853,1
0.505,28.9344,26.8276,5.3185,1.34838,1
0.506,28.9917,26.8222,5.30633,1.34823,1
0.507,29.049,26.8168,5.29422,1.34808,1
0.508,29.1063,26.8114,5.28217,1.34793,1
0.509,29.1636,26.806,5.27017,1.34778,1
0.51,29.2208,26.8006,5.25823,1.34763,1
0.511,29.2781,26.7952,5.24634,1.34748,1
0.512,29.3354,26.7898,5.23451,1.34732,1
0.513,29.3927,26.7843,5.22273,1.34717,1
0.514,29.45,26.7789,5.211,1.34702,1
0.515,29.5073,26.7734,5.19932,1.34686,1
0.516,29.5646,26.7679,5.1877,1.34671,1
0.517,29.6219,26.7624,5.17613,1.34655,1
0.518,29.6792,26.757,5.16461,1.3464,1
0.519,29.7365,26.7515,5.15315,1.34624,1
0.52,29.7938,26.7459,5.14173,1.34609,1
0.521,29.8511,26.7404,5.13037,1.34593,1
0.522,29.9084,26.7349,5.11906,1.34577,1
0.523,29.9657,26.7294,5.10779,1.34561,1
0.524,30.023,26.7238,5.09658,1.34545,1
0.525,30.0803,26.7183,5.08541,1.34529,1
0.526,30.1376,26.7127,5.0743,1.34513,1
0.527,30.1949,26.7071,5.06323,1.34497,1
0.528,30.2522,26.7016,5.05222,1.34481,1
0.529,30.3095,26.696,5.04125,1.34465,1
0.53,30.3668,26.6904,5.03033,1.34449,1
0.531,30.4241,26.6848,5.01945,1.34433,1
0.532,30.4814,26.6792,5.00863,1.34417,1
0.533,30.5387,26.6735,4.99785,1.344,1
0.534,30.5959,26.6679,4.98712,1.34384,1
0.535,30.6532,26.6623,4.97643,1.34367,1
0.536,30.7105,26.6566,4.96579,1.34351,1
0.537,30.7678,26.651,4.9552,1.34334,1
0.538,30.8251,26.6453,4.94465,1.34318,1
0.539,30.8824,26.6396,4.93415,1.34301,1
0.54,30.9397,26.6339,4.92369,1.34284,1
0.541,30.997,26.6282,4.91328,1.34268,1
