a, Eruling, Fbend,
3.747,4.13839,15872.8,1
3.748,4.13491,11039.1,1
3.749,4.13144,8121.43,1
3.75,4.12795,6226.13,1
3.751,4.12447,4925.74,1
3.752,4.12098,3994.98,1
3.753,4.11749,3305.9,1
3.754,4.11399,2781.5,1
3.755,4.11049,2373.19,1
3.756,4.10699,2049.04,1
3.757,4.10348,1787.4,1
3.758,4.09997,1573.17,1
3.759,4.09646,1395.54,1
3.76,4.09294,1246.61,1
3.761,4.08942,1120.52,1
3.762,4.0859,1012.82,1
3.763,4.08237,920.09,1
3.764,4.07884,839.681,1
3.765,4.07531,769.501,1
3.766,4.07177,707.882,1
3.767,4.06823,653.484,1
3.768,4.06469,605.22,1
3.769,4.06114,562.2,1
3.77,4.05759,523.69,1
3.771,4.05404,489.078,1
3.772,4.05048,457.856,1
3.773,4.04692,429.594,1
3.774,4.04336,403.928,1
3.775,4.03979,380.549,1
3.776,4.03622,359.192,1
3.777,4.03265,339.631,1
3.778,4.02907,321.669,1
3.779,4.02549,305.136,1
3.78,4.0219,289.883,1
3.781,4.01832,275.782,1
3.782,4.01473,262.719,1
3.783,4.01113,250.594,1
3.784,4.00753,239.319,1
3.785,4.00393,228.816,1
3.786,4.00033,219.017,1
3.787,3.99672,209.859,1
3.788,3.99311,201.287,1
3.789,3.9895,193.252,1
3.79,3.98588,185.71,1
3.791,3.98226,178.622,1
3.792,3.97864,171.951,1
3.793,3.97501,165.665,1
3.794,3.97138,159.736,1
3.795,3.96774,154.135,1
3.796,3.96411,148.84,1
3.797,3.96047,143.829,1
3.798,3.95682,139.08,1
3.799,3.95318,134.577,1
3.8,3.94953,130.303,1
3.801,3.94587,126.241,1
3.802,3.94222,122.379,1
3.803,3.93856,118.703,1
3.804,3.93489,115.201,1
3.805,3.93123,111.863,1
3.806,3.92756,108.678,1
3.807,3.92388,105.637,1
3.808,3.92021,102.731,1
3.809,3.91653,99.9532,1
3.81,3.91284,97.2951,1
3.811,3.90916,94.7501,1
3.812,3.90547,92.3118,1
3.813,3.90178,89.9744,1
3.814,3.89808,87.7322,1
3.815,3.89438,85.5801,1
3.816,3.89068,83.5133,1
3.817,3.88697,81.5274,1
3.818,3.88327,79.618,1
3.819,3.87955,77.7814,1
3.82,3.87584,76.0137,1
3.821,3.87212,74.3116,1
3.822,3.8684,72.6718,1
3.823,3.86467,71.0912,1
3.824,3.86095,69.5671,1
3.825,3.85721,68.0967,1
3.826,3.85348,66.6775,1
3.827,3.84974,65.3071,1
3.828,3.846,63.9833,1
3.829,3.84226,62.704,1
3.83,3.83851,61.4672,1
3.831,3.83476,60.2709,1
3.832,3.83101,59.1135,1
3.833,3.82725,57.9931,1
3.834,3.82349,56.9083,1
3.835,3.81973,55.8576,1
3.836,3.81596,54.8394,1
3.837,3.81219,53.8525,1
3.838,3.80842,52.8955,1
3.839,3.80464,51.9673,1
3.84,3.80087,51.0666,1
3.841,3.79708,50.1924,1
3.842,3.7933,49.3437,1
3.843,3.78951,48.5194,1
3.844,3.78572,47.7186,1
3.845,3.78192,46.9404,1
3.846,3.77813,46.184,1
3.847,3.77433,45.4485,1
3.848,3.77052,44.7331,1
3.849,3.76671,44.0372,1
3.85,3.7629,43.3599,1
3.851,3.75909,42.7007,1
3.852,3.75527,42.0588,1
3.853,3.75145,41.4337,1
3.854,3.74763,40.8248,1
3.855,3.74381,40.2315,1
3.856,3.73998,39.6532,1
3.857,3.73615,39.0896,1
3.858,3.73231,38.5399,1
3.859,3.72847,38.0039,1
3.86,3.72463,37.481,1
3.861,3.72079,36.9708,1
3.862,3.71694,36.4728,1
3.863,3.71309,35.9868,1
3.864,3.70923,35.5123,1
3.865,3.70538,35.0489,1
3.866,3.70152,34.5962,1
3.867,3.69765,34.154,1
3.868,3.69379,33.722,1
3.869,3.68992,33.2997,1
3.87,3.68605,32.887,1
3.871,3.68217,32.4834,1
3.872,3.67829,32.0888,1
3.873,3.67441,31.7029,1
3.874,3.67053,31.3253,1
3.875,3.66664,30.956,1
3.876,3.66275,30.5945,1
3.877,3.65885,30.2408,1
3.878,3.65496,29.8945,1
3.879,3.65106,29.5554,1
3.88,3.64715,29.2235,1
3.881,3.64325,28.8983,1
3.882,3.63934,28.5799,1
3.883,3.63543,28.2679,1
3.884,3.63151,27.9622,1
3.885,3.62759,27.6626,1
3.886,3.62367,27.369,1
3.887,3.61975,27.0812,1
3.888,3.61582,26.799,1
3.889,3.61189,26.5224,1
3.89,3.60795,26.251,1
3.891,3.60402,25.9849,1
3.892,3.60008,25.7239,1
3.893,3.59613,25.4677,1
3.894,3.59219,25.2164,1
3.895,3.58824,24.9698,1
3.896,3.58429,24.7278,1
3.897,3.58033,24.4902,1
3.898,3.57637,24.2569,1
3.899,3.57241,24.0279,1
3.9,3.56845,23.8031,1
3.901,3.56448,23.5822,1
3.902,3.56051,23.3653,1
3.903,3.55654,23.1522,1
3.904,3.55256,22.9429,1
3.905,3.54858,22.7372,1
3.906,3.5446,22.5351,1
3.907,3.54062,22.3365,1
3.908,3.53663,22.1413,1
3.909,3.53264,21.9494,1
3.91,3.52864,21.7607,1
3.911,3.52465,21.5752,1
3.912,3.52065,21.3928,1
3.913,3.51664,21.2135,1
3.914,3.51264,21.0371,1
3.915,3.50863,20.8636,1
3.916,3.50461,20.6929,1
3.917,3.5006,20.525,1
3.918,3.49658,20.3598,1
3.919,3.49256,20.1973,1
3.92,3.48854,20.0373,1
3.921,3.48451,19.8799,1
3.922,3.48048,19.7249,1
3.923,3.47644,19.5724,1
3.924,3.47241,19.4222,1
3.925,3.46837,19.2744,1
3.926,3.46433,19.1288,1
3.927,3.46028,18.9855,1
3.928,3.45623,18.8443,1
3.929,3.45218,18.7053,1
3.93,3.44813,18.5684,1
3.931,3.44407,18.4335,1
3.932,3.44001,18.3006,1
3.933,3.43595,18.1697,1
3.934,3.43188,18.0407,1
3.935,3.42781,17.9137,1
3.936,3.42374,17.7884,1
3.937,3.41966,17.665,1
3.938,3.41558,17.5433,1
3.939,3.4115,17.4234,1
3.94,3.40742,17.3052,1
3.941,3.40333,17.1887,1
3.942,3.39924,17.0738,1
3.943,3.39515,16.9606,1
3.944,3.39105,16.8489,1
3.945,3.38695,16.7388,1
3.946,3.38285,16.6302,1
3.947,3.37875,16.5231,1
3.948,3.37464,16.4174,1
3.949,3.37053,16.3132,1
3.95,3.36641,16.2104,1
3.951,3.3623,16.109,1
3.952,3.35818,16.009,1
3.953,3.35405,15.9103,1
3.954,3.34993,15.8129,1
3.955,3.3458,15.7168,1
3.956,3.34167,15.6219,1
3.957,3.33753,15.5283,1
3.958,3.33339,15.436,1
3.959,3.32925,15.3448,1
3.96,3.32511,15.2548,1
3.961,3.32096,15.166,1
3.962,3.31681,15.0783,1
3.963,3.31266,14.9917,1
3.964,3.30851,14.9062,1
3.965,3.30435,14.8218,1
3.966,3.30019,14.7385,1
3.967,3.29602,14.6562,1
3.968,3.29185,14.5749,1
3.969,3.28768,14.4947,1
3.97,3.28351,14.4154,1
3.971,3.27933,14.3371,1
3.972,3.27515,14.2598,1
3.973,3.27097,14.1834,1
3.974,3.26679,14.108,1
3.975,3.2626,14.0334,1
3.976,3.25841,13.9598,1
3.977,3.25421,13.887,1
3.978,3.25001,13.8151,1
3.979,3.24581,13.7441,1
3.98,3.24161,13.6739,1
3.981,3.2374,13.6046,1
3.982,3.2332,13.536,1
3.983,3.22898,13.4683,1
3.984,3.22477,13.4013,1
3.985,3.22055,13.3352,1
3.986,3.21633,13.2698,1
3.987,3.2121,13.2051,1
3.988,3.20788,13.1412,1
3.989,3.20365,13.078,1
3.99,3.19941,13.0156,1
3.991,3.19518,12.9539,1
3.992,3.19094,12.8928,1
3.993,3.1867,12.8325,1
3.994,3.18245,12.7728,1
3.995,3.1782,12.7138,1
3.996,3.17395,12.6554,1
3.997,3.1697,12.5977,1
3.998,3.16544,12.5407,1
3.999,3.16118,12.4843,1
4,3.15692,12.4284,1
4.001,3.15265,12.3733,1
4.002,3.14838,12.3187,1
4.003,3.14411,12.2647,1
4.004,3.13984,12.2113,1
4.005,3.13556,12.1584,1
4.006,3.13128,12.1062,1
4.007,3.127,12.0545,1
4.008,3.12271,12.0033,1
4.009,3.11842,11.9527,1
4.01,3.11413,11.9026,1
4.011,3.10983,11.8531,1
4.012,3.10553,11.8041,1
4.013,3.10123,11.7556,1
4.014,3.09693,11.7076,1
4.015,3.09262,11.6602,1
4.016,3.08831,11.6132,1
4.017,3.08399,11.5667,1
4.018,3.07968,11.5207,1
4.019,3.07536,11.4751,1
4.02,3.07103,11.4301,1
4.021,3.06671,11.3855,1
4.022,3.06238,11.3413,1
4.023,3.05805,11.2976,1
4.024,3.05371,11.2544,1
4.025,3.04937,11.2116,1
4.026,3.04503,11.1692,1
4.027,3.04069,11.1273,1
4.028,3.03634,11.0858,1
4.029,3.03199,11.0447,1
4.03,3.02764,11.004,1
4.031,3.02328,10.9637,1
4.032,3.01892,10.9238,1
4.033,3.01456,10.8843,1
4.034,3.0102,10.8452,1
4.035,3.00583,10.8065,1
4.036,3.00146,10.7682,1
4.037,2.99708,10.7303,1
4.038,2.9927,10.6927,1
4.039,2.98832,10.6555,1
4.04,2.98394,10.6187,1
4.041,2.97955,10.5822,1
4.042,2.97516,10.5461,1
4.043,2.97077,10.5103,1
4.044,2.96638,10.4749,1
4.045,2.96198,10.4398,1
4.046,2.95758,10.4051,1
4.047,2.95317,10.3707,1
4.048,2.94876,10.3366,1
4.049,2.94435,10.3028,1
4.05,2.93994,10.2694,1
4.051,2.93552,10.2363,1
4.052,2.9311,10.2035,1
4.053,2.92668,10.171,1
4.054,2.92225,10.1389,1
4.055,2.91782,10.107,1
4.056,2.91339,10.0754,1
4.057,2.90895,10.0442,1
4.058,2.90452,10.0132,1
4.059,2.90007,9.98251,1
4.06,2.89563,9.95212,1
4.061,2.89118,9.92201,1
4.062,2.88673,9.89219,1
4.063,2.88228,9.86264,1
4.064,2.87782,9.83337,1
4.065,2.87336,9.80437,1
4.066,2.86889,9.77564,1
4.067,2.86443,9.74718,1
4.068,2.85996,9.71898,1
4.069,2.85549,9.69105,1
4.07,2.85101,9.66337,1
4.071,2.84653,9.63595,1
4.072,2.84205,9.60878,1
4.073,2.83756,9.58186,1
4.074,2.83307,9.55518,1
4.075,2.82858,9.52876,1
4.076,2.82409,9.50257,1
4.077,2.81959,9.47663,1
4.078,2.81509,9.45092,1
4.079,2.81058,9.42545,1
4.08,2.80608,9.40021,1
4.081,2.80157,9.3752,1
4.082,2.79705,9.35041,1
4.083,2.79254,9.32586,1
4.084,2.78802,9.30152,1
4.085,2.78349,9.27741,1
4.086,2.77897,9.25352,1
4.087,2.77444,9.22984,1
4.088,2.7699,9.20638,1
4.089,2.76537,9.18313,1
4.09,2.76083,9.16009,1
4.091,2.75629,9.13726,1
4.092,2.75174,9.11463,1
4.093,2.74719,9.09221,1
4.094,2.74264,9.07,1
4.095,2.73809,9.04798,1
4.096,2.73353,9.02616,1
4.097,2.72896,9.00454,1
4.098,2.7244,8.98311,1
4.099,2.71983,8.96187,1
4.1,2.71526,8.94083,1
4.101,2.71069,8.91998,1
4.102,2.70611,8.89931,1
4.103,2.70153,8.87883,1
4.104,2.69694,8.85853,1
4.105,2.69236,8.83842,1
4.106,2.68776,8.81849,1
4.107,2.68317,8.79873,1
4.108,2.67857,8.77916,1
4.109,2.67397,8.75976,1
4.11,2.66937,8.74053,1
4.111,2.66476,8.72148,1
4.112,2.66015,8.7026,1
4.113,2.65554,8.68389,1
4.114,2.65092,8.66534,1
4.115,2.6463,8.64697,1
4.116,2.64168,8.62876,1
4.117,2.63705,8.61071,1
4.118,2.63242,8.59283,1
4.119,2.62778,8.57511,1
4.12,2.62315,8.55755,1
4.121,2.61851,8.54014,1
4.122,2.61386,8.5229,1
4.123,2.60922,8.50581,1
4.124,2.60457,8.48887,1
4.125,2.59991,8.47209,1
4.126,2.59525,8.45546,1
4.127,2.59059,8.43898,1
4.128,2.58593,8.42265,1
4.129,2.58126,8.40647,1
4.13,2.57659,8.39044,1
4.131,2.57192,8.37455,1
4.132,2.56724,8.35881,1
4.133,2.56256,8.34321,1
4.134,2.55788,8.32775,1
4.135,2.55319,8.31244,1
4.136,2.5485,8.29727,1
4.137,2.5438,8.28223,1
4.138,2.5391,8.26734,1
4.139,2.5344,8.25258,1
4.14,2.5297,8.23796,1
4.141,2.52499,8.22347,1
4.142,2.52028,8.20912,1
4.143,2.51556,8.1949,1
4.144,2.51084,8.18081,1
4.145,2.50612,8.16685,1
4.146,2.5014,8.15303,1
4.147,2.49667,8.13933,1
4.148,2.49193,8.12576,1
4.149,2.4872,8.11232,1
4.15,2.48246,8.09901,1
4.151,2.47772,8.08582,1
4.152,2.47297,8.07275,1
4.153,2.46822,8.05981,1
4.154,2.46347,8.047,1
4.155,2.45871,8.0343,1
4.156,2.45395,8.02173,1
4.157,2.44918,8.00928,1
4.158,2.44442,7.99694,1
4.159,2.43964,7.98473,1
4.16,2.43487,7.97263,1
4.161,2.43009,7.96065,1
4.162,2.42531,7.94879,1
4.163,2.42052,7.93704,1
4.164,2.41573,7.92541,1
4.165,2.41094,7.91389,1
4.166,2.40614,7.90249,1
4.167,2.40134,7.8912,1
4.168,2.39654,7.88002,1
4.169,2.39173,7.86895,1
4.17,2.38692,7.85799,1
4.171,2.3821,7.84715,1
4.172,2.37729,7.83641,1
4.173,2.37246,7.82578,1
4.174,2.36764,7.81526,1
4.175,2.36281,7.80484,1
4.176,2.35797,7.79453,1
4.177,2.35314,7.78433,1
4.178,2.3483,7.77424,1
4.179,2.34345,7.76424,1
4.18,2.3386,7.75436,1
4.181,2.33375,7.74457,1
4.182,2.3289,7.73489,1
4.183,2.32404,7.72531,1
4.184,2.31917,7.71584,1
4.185,2.31431,7.70646,1
4.186,2.30944,7.69719,1
4.187,2.30456,7.68801,1
4.188,2.29968,7.67894,1
4.189,2.2948,7.66996,1
4.19,2.28991,7.66108,1
4.191,2.28502,7.6523,1
4.192,2.28013,7.64362,1
4.193,2.27523,7.63503,1
4.194,2.27033,7.62654,1
4.195,2.26543,7.61815,1
4.196,2.26052,7.60985,1
4.197,2.2556,7.60165,1
4.198,2.25069,7.59354,1
4.199,2.24577,7.58553,1
4.2,2.24084,7.57761,1
4.201,2.23591,7.56978,1
4.202,2.23098,7.56205,1
4.203,2.22604,7.5544,1
4.204,2.2211,7.54685,1
4.205,2.21616,7.53939,1
4.206,2.21121,7.53203,1
4.207,2.20626,7.52475,1
4.208,2.2013,7.51756,1
4.209,2.19634,7.51046,1
4.21,2.19138,7.50345,1
4.211,2.18641,7.49653,1
4.212,2.18144,7.4897,1
4.213,2.17646,7.48296,1
4.214,2.17148,7.4763,1
4.215,2.1665,7.46974,1
4.216,2.16151,7.46326,1
4.217,2.15651,7.45686,1
4.218,2.15152,7.45055,1
4.219,2.14652,7.44433,1
4.22,2.14151,7.4382,1
4.221,2.1365,7.43214,1
4.222,2.13149,7.42618,1
4.223,2.12647,7.4203,1
4.224,2.12145,7.4145,1
4.225,2.11642,7.40879,1
4.226,2.11139,7.40316,1
4.227,2.10636,7.39761,1
4.228,2.10132,7.39215,1
4.229,2.09628,7.38677,1
4.23,2.09123,7.38148,1
4.231,2.08618,7.37626,1
4.232,2.08113,7.37113,1
4.233,2.07607,7.36608,1
4.234,2.071,7.36111,1
4.235,2.06593,7.35622,1
4.236,2.06086,7.35141,1
4.237,2.05579,7.34669,1
4.238,2.0507,7.34204,1
4.239,2.04562,7.33747,1
4.24,2.04053,7.33299,1
4.241,2.03543,7.32858,1
4.242,2.03034,7.32425,1
4.243,2.02523,7.32001,1
4.244,2.02013,7.31584,1
4.245,2.01501,7.31175,1
4.246,2.0099,7.30774,1
4.247,2.00478,7.30381,1
4.248,0,7.29995,7.29995
4.249,0,7.29618,7.29618
4.25,0,7.29248,7.29248
4.251,0,7.28886,7.28886
4.252,0,7.28531,7.28531
4.253,0,7.28185,7.28185
4.254,0,7.27846,7.27846
4.255,0,7.27515,7.27515
4.256,0,7.27191,7.27191
4.257,0,7.26875,7.26875
4.258,0,7.26567,7.26567
4.259,0,7.26266,7.26266
4.26,0,7.25974,7.25974
4.261,0,7.25688,7.25688
4.262,0,7.2541,7.2541
4.263,0,7.2514,7.2514
4.264,0,7.24878,7.24878
4.265,0,7.24622,7.24622
4.266,0,7.24375,7.24375
4.267,0,7.24135,7.24135
4.268,0,7.23902,7.23902
4.269,0,7.23677,7.23677
4.27,0,7.2346,7.2346
4.271,0,7.2325,7.2325
4.272,0,7.23047,7.23047
4.273,0,7.22852,7.22852
4.274,0,7.22664,7.22664
4.275,0,7.22484,7.22484
4.276,0,7.22311,7.22311
4.277,0,7.22146,7.22146
4.278,0,7.21988,7.21988
4.279,0,7.21837,7.21837
4.28,0,7.21694,7.21694
4.281,0,7.21558,7.21558
4.282,0,7.2143,7.2143
4.283,0,7.21309,7.21309
4.284,0,7.21195,7.21195
4.285,0,7.21089,7.21089
4.286,0,7.2099,7.2099
4.287,0,7.20899,7.20899
4.288,0,7.20814,7.20814
4.289,0,7.20738,7.20738
4.29,0,7.20668,7.20668
4.291,0,7.20606,7.20606
4.292,0,7.20551,7.20551
4.293,0,7.20504,7.20504
4.294,0,7.20464,7.20464
4.295,0,7.20431,7.20431
4.296,0,7.20406,7.20406
4.297,0,7.20387,7.20387
4.298,0,7.20377,7.20377
4.299,0,7.20373,7.20373
4.3,0,7.20377,7.20377
4.301,0,7.20389,7.20389
4.302,0,7.20407,7.20407
4.303,0,7.20433,7.20433
4.304,0,7.20467,7.20467
4.305,0,7.20507,7.20507
4.306,0,7.20555,7.20555
4.307,0,7.20611,7.20611
4.308,0,7.20673,7.20673
4.309,0,7.20743,7.20743
4.31,0,7.20821,7.20821
4.311,0,7.20906,7.20906
4.312,0,7.20998,7.20998
4.313,0,7.21097,7.21097
4.314,0,7.21204,7.21204
4.315,0,7.21319,7.21319
4.316,0,7.21441,7.21441
4.317,0,7.2157,7.2157
4.318,0,7.21706,7.21706
4.319,0,7.2185,7.2185
4.32,0,7.22002,7.22002
4.321,0,7.22161,7.22161
4.322,0,7.22327,7.22327
4.323,0,7.22501,7.22501
4.324,0,7.22682,7.22682
4.325,0,7.22871,7.22871
4.326,0,7.23067,7.23067
4.327,0,7.2327,7.2327
4.328,0,7.23482,7.23482
4.329,0,7.237,7.237
4.33,0,7.23927,7.23927
4.331,0,7.2416,7.2416
4.332,0,7.24402,7.24402
4.333,0,7.24651,7.24651
4.334,0,7.24907,7.24907
4.335,0,7.25171,7.25171
4.336,0,7.25443,7.25443
4.337,0,7.25722,7.25722
4.338,0,7.26009,7.26009
4.339,0,7.26303,7.26303
4.34,0,7.26606,7.26606
4.341,0,7.26916,7.26916
4.342,0,7.27233,7.27233
4.343,0,7.27559,7.27559
4.344,0,7.27892,7.27892
4.345,0,7.28232,7.28232
4.346,0,7.28581,7.28581
4.347,0,7.28937,7.28937
4.348,0,7.29302,7.29302
4.349,0,7.29674,7.29674
4.35,0,7.30053,7.30053
4.351,0,7.30441,7.30441
4.352,0,7.30837,7.30837
4.353,0,7.3124,7.3124
4.354,0,7.31652,7.31652
4.355,0,7.32071,7.32071
4.356,0,7.32498,7.32498
4.357,0,7.32934,7.32934
4.358,0,7.33377,7.33377
4.359,0,7.33828,7.33828
4.36,0,7.34288,7.34288
4.361,0,7.34755,7.34755
4.362,0,7.35231,7.35231
4.363,0,7.35715,7.35715
4.364,0,7.36207,7.36207
4.365,0,7.36707,7.36707
4.366,0,7.37215,7.37215
4.367,0,7.37732,7.37732
4.368,0,7.38257,7.38257
4.369,0,7.3879,7.3879
4.37,0,7.39331,7.39331
4.371,0,7.39881,7.39881
4.372,0,7.4044,7.4044
4.373,0,7.41006,7.41006
4.374,0,7.41581,7.41581
4.375,0,7.42165,7.42165
4.376,0,7.42757,7.42757
4.377,0,7.43358,7.43358
4.378,0,7.43967,7.43967
4.379,0,7.44585,7.44585
4.38,0,7.45211,7.45211
4.381,0,7.45846,7.45846
4.382,0,7.4649,7.4649
4.383,0,7.47142,7.47142
4.384,0,7.47804,7.47804
4.385,0,7.48474,7.48474
4.386,0,7.49153,7.49153
4.387,0,7.49841,7.49841
4.388,0,7.50537,7.50537
4.389,0,7.51243,7.51243
4.39,0,7.51958,7.51958
4.391,0,7.52682,7.52682
4.392,0,7.53414,7.53414
4.393,0,7.54156,7.54156
4.394,0,7.54907,7.54907
4.395,0,7.55668,7.55668
4.396,0,7.56437,7.56437
4.397,0,7.57216,7.57216
4.398,0,7.58004,7.58004
4.399,0,7.58802,7.58802
4.4,0,7.59608,7.59608
4.401,0,7.60425,7.60425
4.402,0,7.61251,7.61251
4.403,0,7.62086,7.62086
4.404,0,7.62931,7.62931
4.405,0,7.63785,7.63785
4.406,0,7.6465,7.6465
4.407,0,7.65524,7.65524
4.408,0,7.66407,7.66407
4.409,0,7.67301,7.67301
4.41,0,7.68205,7.68205
4.411,0,7.69118,7.69118
4.412,0,7.70041,7.70041
4.413,0,7.70975,7.70975
4.414,0,7.71918,7.71918
4.415,0,7.72872,7.72872
4.416,0,7.73836,7.73836
4.417,0,7.7481,7.7481
4.418,0,7.75794,7.75794
4.419,0,7.76789,7.76789
4.42,0,7.77794,7.77794
4.421,0,7.7881,7.7881
4.422,0,7.79836,7.79836
4.423,0,7.80873,7.80873
4.424,0,7.8192,7.8192
4.425,0,7.82978,7.82978
4.426,0,7.84047,7.84047
4.427,0,7.85126,7.85126
4.428,0,7.86217,7.86217
4.429,0,7.87319,7.87319
4.43,0,7.88431,7.88431
4.431,0,7.89555,7.89555
4.432,0,7.90689,7.90689
4.433,0,7.91835,7.91835
4.434,0,7.92993,7.92993
4.435,0,7.94161,7.94161
4.436,0,7.95341,7.95341
4.437,0,7.96533,7.96533
4.438,0,7.97736,7.97736
4.439,0,7.9895,7.9895
4.44,0,8.00177,8.00177
4.441,0,8.01415,8.01415
4.442,0,8.02665,8.02665
4.443,0,8.03927,8.03927
4.444,0,8.05201,8.05201
4.445,0,8.06487,8.06487
4.446,0,8.07785,8.07785
4.447,0,8.09095,8.09095
4.448,0,8.10418,8.10418
4.449,0,8.11753,8.11753
4.45,0,8.131,8.131
4.451,0,8.1446,8.1446
4.452,0,8.15833,8.15833
4.453,0,8.17218,8.17218
4.454,0,8.18617,8.18617
4.455,0,8.20028,8.20028
4.456,0,8.21452,8.21452
4.457,0,8.22889,8.22889
4.458,0,8.24339,8.24339
4.459,0,8.25803,8.25803
4.46,0,8.2728,8.2728
4.461,0,8.2877,8.2877
4.462,0,8.30274,8.30274
4.463,0,8.31791,8.31791
4.464,0,8.33322,8.33322
4.465,0,8.34867,8.34867
4.466,0,8.36426,8.36426
4.467,0,8.37999,8.37999
4.468,0,8.39586,8.39586
4.469,0,8.41187,8.41187
4.47,0,8.42802,8.42802
4.471,0,8.44432,8.44432
4.472,0,8.46233,8.46233
4.473,0,8.48153,8.48153
4.474,0,8.50088,8.50088
4.475,0,8.52037,8.52037
4.476,0,8.54001,8.54001
4.477,0,8.55981,8.55981
4.478,0,8.57975,8.57975
4.479,0,8.59984,8.59984
4.48,0,8.62009,8.62009
4.481,0,8.64049,8.64049
4.482,0,8.66105,8.66105
4.483,0,8.68176,8.68176
4.484,0,8.70263,8.70263
4.485,0,8.72366,8.72366
4.486,0,8.74485,8.74485
4.487,0,8.7662,8.7662
4.488,0,8.78772,8.78772
4.489,0,8.8094,8.8094
4.49,0,8.83124,8.83124
4.491,0,8.85325,8.85325
4.492,0,8.87543,8.87543
4.493,0,8.89778,8.89778
4.494,0,8.9203,8.9203
4.495,0,8.94299,8.94299
4.496,0,8.96585,8.96585
4.497,0,8.98889,8.98889
4.498,0,9.01211,9.01211
4.499,0,9.03551,9.03551
4.5,0,9.05908,9.05908
4.501,0,9.08284,9.08284
4.502,0,9.10678,9.10678
4.503,0,9.1309,9.1309
4.504,0,9.15521,9.15521
4.505,0,9.1797,9.1797
4.506,0,9.20439,9.20439
4.507,0,9.22926,9.22926
4.508,0,9.25433,9.25433
4.509,0,9.27959,9.27959
4.51,0,9.30504,9.30504
4.511,0,9.3307,9.3307
4.512,0,9.35655,9.35655
4.513,0,9.3826,9.3826
4.514,0,9.40885,9.40885
4.515,0,9.43531,9.43531
4.516,0,9.46198,9.46198
4.517,0,9.48885,9.48885
4.518,0,9.51593,9.51593
4.519,0,9.54322,9.54322
4.52,0,9.57073,9.57073
4.521,0,9.59845,9.59845
4.522,0,9.62639,9.62639
4.523,0,9.65455,9.65455
4.524,0,9.68293,9.68293
4.525,0,9.71153,9.71153
4.526,0,9.74036,9.74036
4.527,0,9.76942,9.76942
4.528,0,9.7987,9.7987
4.529,0,9.82822,9.82822
4.53,0,9.85797,9.85797
4.531,0,9.88795,9.88795
4.532,0,9.91818,9.91818
4.533,0,9.94864,9.94864
4.534,0,9.97935,9.97935
4.535,0,10.0103,10.0103
4.536,0,10.0415,10.0415
4.537,0,10.0729,10.0729
4.538,0,10.1046,10.1046
4.539,0,10.1366,10.1366
4.54,0,10.1688,10.1688
4.541,0,10.2013,10.2013
4.542,0,10.234,10.234
4.543,0,10.267,10.267
4.544,0,10.3003,10.3003
4.545,0,10.3338,10.3338
4.546,0,10.3676,10.3676
4.547,0,10.4017,10.4017
4.548,0,10.436,10.436
4.549,0,10.4707,10.4707
4.55,0,10.5056,10.5056
4.551,0,10.5408,10.5408
4.552,0,10.5763,10.5763
4.553,0,10.6121,10.6121
4.554,0,10.6482,10.6482
4.555,0,10.6845,10.6845
4.556,0,10.7212,10.7212
4.557,0,10.7582,10.7582
4.558,0,10.7955,10.7955
4.559,0,10.8331,10.8331
4.56,0,10.871,10.871
4.561,0,10.9092,10.9092
4.562,0,10.9478,10.9478
4.563,0,10.9866,10.9866
4.564,0,11.0258,11.0258
4.565,0,11.0653,11.0653
4.566,0,11.1052,11.1052
4.567,0,11.1454,11.1454
4.568,0,11.1859,11.1859
4.569,0,11.2268,11.2268
4.57,0,11.268,11.268
4.571,0,11.3096,11.3096
4.572,0,11.3515,11.3515
4.573,0,11.3938,11.3938
4.574,0,11.4364,11.4364
4.575,0,11.4794,11.4794
4.576,0,11.5228,11.5228
4.577,0,11.5666,11.5666
4.578,0,11.6107,11.6107
4.579,0,11.6552,11.6552
4.58,0,11.7001,11.7001
4.581,0,11.7454,11.7454
4.582,0,11.7911,11.7911
4.583,0,11.8372,11.8372
4.584,0,11.8837,11.8837
4.585,0,11.9306,11.9306
4.586,0,11.9779,11.9779
4.587,0,12.0256,12.0256
4.588,0,12.0738,12.0738
4.589,0,12.1224,12.1224
4.59,0,12.1714,12.1714
4.591,0,12.2208,12.2208
4.592,0,12.2707,12.2707
4.593,0,12.321,12.321
4.594,0,12.3718,12.3718
4.595,0,12.423,12.423
4.596,0,12.4747,12.4747
4.597,0,12.5269,12.5269
4.598,0,12.5796,12.5796
4.599,0,12.6327,12.6327
4.6,0,12.6863,12.6863
4.601,0,12.7404,12.7404
4.602,0,12.795,12.795
4.603,0,12.85,12.85
4.604,0,12.9056,12.9056
4.605,0,12.9618,12.9618
4.606,0,13.0184,13.0184
4.607,0,13.0755,13.0755
4.608,0,13.1332,13.1332
4.609,0,13.1914,13.1914
4.61,0,13.2502,13.2502
4.611,0,13.3095,13.3095
4.612,0,13.3694,13.3694
4.613,0,13.4299,13.4299
4.614,0,13.4909,13.4909
4.615,0,13.5525,13.5525
4.616,0,13.6146,13.6146
4.617,0,13.6774,13.6774
4.618,0,13.7408,13.7408
4.619,0,13.8048,13.8048
4.62,0,13.8694,13.8694
4.621,0,13.9346,13.9346
4.622,0,14.0004,14.0004
4.623,0,14.0669,14.0669
4.624,0,14.134,14.134
4.625,0,14.2018,14.2018
4.626,0,14.2703,14.2703
