a, Eruling, Fbend,
3.111,5.01772,147.029,1
3.112,5.01689,156.435,1
3.113,5.01606,166.832,1
3.114,5.01523,178.366,1
3.115,5.0144,191.209,1
3.116,5.01356,205.57,1
3.117,5.01273,221.7,1
3.118,5.0119,239.906,1
3.119,5.01106,260.561,1
3.12,5.01022,284.13,1
3.121,5.00939,311.19,1
3.122,5.00855,342.472,1
3.123,5.00771,378.908,1
3.124,5.00687,421.7,1
3.125,5.00603,472.425,1
3.126,5.00518,533.181,1
3.127,5.00434,606.809,1
3.128,5.0035,697.232,1
3.129,5.00265,809.988,1
3.13,5.0018,953.106,1
3.131,5.00096,1138.58,1
3.132,5.00011,1384.95,1
3.133,4.99926,1722.18,1
3.134,4.99841,2201.15,1
3.135,4.99756,2914.14,1
3.136,4.9967,4042.83,1
3.137,4.99585,5986.66,1
3.138,4.99499,9771.88,1
3.139,4.99414,18746.9,1
3.14,4.99328,49648.4,1
3.141,4.99243,358427,1
3.142,4.99157,758686,1
3.143,4.99071,63579.3,1
3.144,4.98985,21742.8,1
3.145,4.98898,10864,1
3.146,4.98812,6502.27,1
3.147,4.98726,4327.31,1
3.148,4.98639,3088.72,1
3.149,4.98553,2317.12,1
3.15,4.98466,1804.24,1
3.151,4.98379,1446.19,1
3.152,4.98292,1186.45,1
3.153,4.98205,992.103,1
3.154,4.98118,842.96,1
3.155,4.98031,726.056,1
3.156,4.97944,632.764,1
3.157,4.97856,557.164,1
3.158,4.97769,495.082,1
3.159,4.97681,443.509,1
3.16,4.97594,400.23,1
3.161,4.97506,363.586,1
3.162,4.97418,332.315,1
3.163,4.9733,305.442,1
3.164,4.97242,282.206,1
3.165,4.97153,262.004,1
3.166,4.97065,244.357,1
3.167,4.96977,228.876,1
3.168,4.96888,215.245,1
3.169,4.96799,203.207,1
3.17,4.96711,192.548,1
3.171,4.96622,183.09,1
3.172,4.96533,174.686,1
3.173,4.96444,167.211,1
3.174,4.96355,160.56,1
3.175,4.96265,154.645,1
3.176,4.96176,149.39,1
3.177,4.96086,144.73,1
3.178,4.95997,140.611,1
3.179,4.95907,136.985,1
3.18,4.95817,133.812,1
3.181,4.95727,131.059,1
3.182,4.95637,128.695,1
3.183,4.95547,126.696,1
3.184,4.95457,125.042,1
3.185,4.95367,123.715,1
3.186,4.95276,122.701,1
3.187,4.95186,121.989,1
3.188,4.95095,121.57,1
3.189,4.95004,121.437,1
3.19,4.94913,121.588,1
3.191,4.94822,122.021,1
3.192,4.94731,122.737,1
3.193,4.9464,123.738,1
3.194,4.94548,125.03,1
