a, Fruling, Fbend
3.36159,4.77573,19.4291
3.36259,4.77461,19.2084
3.36359,4.77349,18.9932
3.36459,4.77236,18.7835
3.36559,4.77124,18.579
3.36659,4.77011,18.3796
3.36759,4.76898,18.1852
3.36859,4.76785,17.9956
3.36959,4.76672,17.8106
3.37059,4.76559,17.6302
3.37159,4.76446,17.4541
3.37259,4.76332,17.2823
3.37359,4.76219,17.1147
3.37459,4.76105,16.9511
3.37559,4.75991,16.7914
3.37659,4.75877,16.6356
3.37759,4.75762,16.4834
3.37859,4.75648,16.3348
3.37959,4.75534,16.1898
3.38059,4.75419,16.0482
3.38159,4.75304,15.9099
3.38259,4.75189,15.7748
3.38359,4.75074,15.6429
3.38459,4.74959,15.5141
3.38559,4.74843,15.3883
3.38659,4.74728,15.2654
3.38759,4.74612,15.1453
3.38859,4.74496,15.0281
3.38959,4.7438,14.9135
3.39059,4.74264,14.8016
3.39159,4.74148,14.6923
3.39259,4.74032,14.5855
3.39359,4.73915,14.4812
3.39459,4.73798,14.3793
3.39559,4.73682,14.2798
3.39659,4.73565,14.1825
3.39759,4.73447,14.0875
3.39859,4.7333,13.9947
3.39959,4.73213,13.9041
3.40059,4.73095,13.8155
3.40159,4.72977,13.729
3.40259,4.7286,13.6446
3.40359,4.72742,13.5621
3.40459,4.72623,13.4815
3.40559,4.72505,13.4029
3.40659,4.72387,13.3261
3.40759,4.72268,13.2511
3.40859,4.72149,13.1779
3.40959,4.7203,13.1064
3.41059,4.71911,13.0367
3.41159,4.71792,12.9687
3.41259,4.71673,12.9023
3.41359,4.71553,12.8375
3.41459,4.71433,12.7743
3.41559,4.71313,12.7127
3.41659,4.71194,12.6526
3.41759,4.71073,12.594
3.41859,4.70953,12.5369
3.41959,4.70833,12.4813
3.42059,4.70712,12.4271
3.42159,4.70591,12.3743
3.42259,4.7047,12.3228
3.42359,4.70349,12.2728
3.42459,4.70228,12.2241
3.42559,4.70107,12.1767
3.42659,4.69985,12.1306
3.42759,4.69863,12.0858
3.42859,4.69742,12.0423
3.42959,4.6962,12
3.43059,4.69498,11.9589
3.43159,4.69375,11.919
3.43259,4.69253,11.8804
3.43359,4.6913,11.8429
3.43459,4.69007,11.8066
3.43559,4.68884,11.7714
3.43659,4.68761,11.7374
3.43759,4.68638,11.7044
