Planarity
0, 6.10039e-17, 1.90267e-17, 0, 8.01107e-18, 2.04342e-18, 0, 6.04012e-18, 2.11945e-17, 6.95501e-18, 4.28256e-17, 7.74242e-17, 6.36642e-17, 7.79134e-17, 7.5009e-17, 1.57361e-17, 5.30738e-18, 3.15665e-17, 1.39284e-16, 4.51489e-17, 2.38686e-17, 3.48591e-17, 1.2577e-16, 6.3941e-18, 5.34853e-17, 3.77068e-17, 3.17654e-17, 1.15506e-17, 4.27347e-17, 7.91237e-18, 1.05762e-17, 8.8183e-17, 4.26931e-17, 3.40608e-17, 1.58515e-17, 3.20092e-17, 4.80002e-17, 5.20252e-17, 1.05627e-17, 6.27449e-17, 4.26528e-17, 7.92974e-18, 5.33112e-18, 8.0443e-17, 0, 3.97207e-17, 4.13125e-17, 2.50173e-18, 3.29974e-17, 2.86791e-17, 0, 8.77979e-17, 7.39143e-17, 1.40641e-16, 6.92985e-17, 1.13373e-16, 1.31994e-16, 1.29686e-16, 1.43933e-16, 6.57821e-17, 
Developability
0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88178e-16, 0, 0, 0, 0, 8.88178e-16, 0, 0, 0, 0, 0, 0, 0, 8.88178e-16, 0, 0, 0, 0, 0, 0, 
