Planarity
1.55362e-16, 1.63829e-17, 1.00918e-16, 0, 1.53029e-16, 6.36917e-18, 2.69151e-17, 6.3791e-18, 2.73555e-17, 0, 0.000274937, 0, 1.39294e-17, 2.03111e-18, 1.3571e-17, 1.99538e-18, 2.9457e-17, 3.49812e-18, 1.993e-16, 6.37965e-18, 2.80424e-16, 6.35556e-18, 5.4444e-17, 1.26229e-17, 5.36958e-17, 0, 5.01074e-17, 1.31089e-17, 3.67999e-17, 6.00506e-18, 1.25184e-16, 3.21814e-18, 0.00222666, 1.32318e-16, 2.70863e-12, 0, 3.42653e-16, 0, 0.00322458, 3.85146e-17, 5.10687e-17, 0, 4.85147e-17, 1.28295e-17, 0, 6.40844e-18, 0, 0, 0, 0, 
Developability
0.00151544, 0.00304464, 0.000751076, 0.00026859, 3.36505e-06, 6.98287e-05, 0.0041816, 0.0232682, 0.115073, 0.0159031, 0.0308041, 0.0479952, 0.149878, 0.214069, 0.137906, 0.0792088, 5.04578e-05, 1.82379e-05, 1.31574e-05, 0.0064025, 9.99612e-07, 0.017611, 0.0201157, 1.00327e-06, 
