Planarity
5.71958e-17, 3.90317e-17, 1.15367e-18, 8.56097e-18, 1.52729e-17, 2.84778e-18, 6.2525e-17, 4.50076e-17, 1.09874e-16, 6.744e-17, 6.61893e-17, 3.1308e-17, 1.37119e-16, 5.68949e-17, 5.02222e-17, 2.27478e-17, 1.66055e-17, 5.12387e-17, 1.353e-16, 1.14578e-16, 1.11237e-16, 8.53928e-17, 3.70111e-17, 7.86803e-17, 1.65822e-17, 6.7463e-17, 9.15144e-19, 3.37367e-17, 8.89077e-18, 2.8134e-17, 4.22372e-17, 0, 8.92833e-17, 5.98932e-17, 9.43322e-18, 7.1997e-17, 3.23157e-17, 1.21061e-17, 8.4462e-18, 0, 
Developability
