a(radian),a(degree),Eruling, Ebend
0.136,7.79223, 8.90803, 2045.2, 1
0.137,7.84952, 8.90885, 2253.92, 1
0.138,7.90682, 8.90967, 2552.3, 1
0.139,7.96411, 8.9105, 2974.89, 1
0.14,8.02141, 8.91133, 3579.36, 1
0.141,8.0787, 8.91216, 4465.98, 1
0.142,8.136, 8.91299, 5820.08, 1
0.143,8.1933, 8.91382, 8014.13, 1
0.144,8.25059, 8.91465, 11888.5, 1
0.145,8.30789, 8.91548, 19682.6, 1
0.146,8.36518, 8.91631, 39151.9, 1
0.147,8.42248, 8.91715, 114057, 1
0.148,8.47978, 8.91798, 1.35672e+06, 1
0.149,8.53707, 8.91882, 643910, 1
0.15,8.59437, 8.91966, 89242.6, 1
0.151,8.65166, 8.92049, 33781, 1
0.152,8.70896, 8.92133, 17669.4, 1
0.153,8.76625, 8.92217, 10870, 1
0.154,8.82355, 8.92301, 7374.85, 1
0.155,8.88085, 8.92386, 5342.71, 1
0.156,8.93814, 8.9247, 4056.89, 1
0.157,8.99544, 8.92554, 3191.42, 1
0.158,9.05273, 8.92639, 2580.72, 1
0.159,9.11003, 8.92724, 2133.45, 1
0.16,9.16732, 8.92808, 1795.83, 1
0.161,9.22462, 8.92893, 1534.55, 1
0.162,9.28192, 8.92978, 1328.06, 1
0.163,9.33921, 8.93063, 1161.94, 1
0.164,9.39651, 8.93148, 1026.21, 1
0.165,9.4538, 8.93234, 913.826, 1
0.166,9.5111, 8.93319, 819.659, 1
0.167,9.5684, 8.93405, 739.931, 1
0.168,9.62569, 8.9349, 671.796, 1
0.169,9.68299, 8.93576, 613.08, 1
0.17,9.74028, 8.93662, 562.098, 1
0.171,9.79758, 8.93748, 517.529, 1
0.172,9.85487, 8.93834, 478.322, 1
0.173,9.91217, 8.9392, 443.637, 1
0.174,9.96947, 8.94006, 412.792, 1
0.175,10.0268, 8.94092, 385.229, 1
0.176,10.0841, 8.94179, 360.491, 1
0.177,10.1414, 8.94265, 338.196, 1
0.178,10.1986, 8.94352, 318.028, 1
0.179,10.2559, 8.94439, 299.717, 1
0.18,10.3132, 8.94526, 283.039, 1
0.181,10.3705, 8.94613, 267.8, 1
0.182,10.4278, 8.947, 253.837, 1
