a(radian),a(degree),Eruling, Ebend, Eparalell,
2.398,137.395,65.6099,1.94228,2.76132,1
2.399,137.453,65.6574,1.9447,2.76633,1
2.4,137.51,65.7049,1.94713,2.77133,1
2.401,137.567,65.7524,1.94956,2.7763,1
2.402,137.624,65.7998,1.95201,2.78124,1
2.403,137.682,65.8471,1.95447,2.78617,1
2.404,137.739,65.8944,1.95694,2.79107,1
2.405,137.796,65.9417,1.95942,2.79594,1
2.406,137.854,65.9889,1.96191,2.80079,1
2.407,137.911,66.036,1.96441,2.80562,1
2.408,137.968,66.0831,1.96692,2.81043,1
2.409,138.026,66.1301,1.96944,2.81521,1
2.41,138.083,66.1771,1.97197,2.81997,1
2.411,138.14,66.2241,1.97451,2.82471,1
2.412,138.197,66.271,1.97706,2.82942,1
2.413,138.255,66.3178,1.97963,2.83411,1
2.414,138.312,66.3646,1.9822,2.83878,1
2.415,138.369,66.4114,1.98479,2.84343,1
2.416,138.427,66.4581,1.98738,2.84805,1
2.417,138.484,66.5047,1.98999,2.85265,1
2.418,138.541,66.5513,1.99261,2.85723,1
2.419,138.598,66.5978,1.99524,2.86179,1
2.42,138.656,66.6443,1.99788,2.86633,1
2.421,138.713,66.6908,2.00053,2.87084,1
2.422,138.77,66.7372,2.00319,2.87533,1
2.423,138.828,66.7835,2.00586,2.8798,1
2.424,138.885,66.8298,2.00855,2.88425,1
2.425,138.942,66.876,2.01124,2.88868,1
2.426,139,66.9222,2.01395,2.89308,1
2.427,139.057,66.9684,2.01667,2.89747,1
2.428,139.114,67.0144,2.0194,2.90183,1
2.429,139.171,67.0605,2.02214,2.90617,1
2.43,139.229,67.1065,2.0249,2.91049,1
2.431,139.286,67.1524,2.02766,2.91479,1
2.432,139.343,67.1983,2.03044,2.91907,1
2.433,139.401,67.2441,2.03323,2.92333,1
2.434,139.458,67.2899,2.03602,2.92757,1
2.435,139.515,67.3356,2.03884,2.93178,1
2.436,139.573,67.3813,2.04166,2.93598,1
2.437,139.63,67.4269,2.0445,2.94015,1
2.438,139.687,67.4725,2.04734,2.94431,1
2.439,139.744,67.518,2.0502,2.94845,1
2.44,139.802,67.5635,2.05307,2.95256,1
2.441,139.859,67.6089,2.05596,2.95666,1
2.442,139.916,67.6543,2.05885,2.96073,1
2.443,139.974,67.6996,2.13624,2.96479,1
2.444,140.031,67.7449,2.1395,2.96882,1
2.445,140.088,67.7901,2.14276,2.97284,1
2.446,140.145,67.8353,2.14604,2.97683,1
2.447,140.203,67.8804,2.14933,2.98081,1
2.448,140.26,67.9255,2.15264,2.98477,1
2.449,140.317,67.9705,2.15596,2.98871,1
2.45,140.375,68.0155,2.15929,2.99263,1
2.451,140.432,68.0604,2.16263,2.99653,1
2.452,140.489,68.1052,2.16599,3.00041,1
2.453,140.547,68.15,2.16936,3.00427,1
2.454,140.604,68.1948,2.17274,3.00811,1
2.455,140.661,68.2395,2.17614,3.01194,1
2.456,140.718,68.2841,2.17955,3.01574,1
2.457,140.776,68.3287,2.18297,3.01953,1
2.458,140.833,68.3733,2.18641,3.0233,1
2.459,140.89,68.4178,2.18986,3.02705,1
2.46,140.948,68.4622,2.19333,3.03078,1
2.461,141.005,68.5066,2.19681,3.03449,1
2.462,141.062,68.551,2.2003,3.03819,1
2.463,141.12,68.5953,2.20381,3.04186,1
2.464,141.177,68.6395,2.20733,3.04552,1
2.465,141.234,68.6837,2.21087,3.04916,1
2.466,141.291,68.7278,2.21442,3.05279,1
2.467,141.349,68.7719,2.21798,3.05639,1
2.468,141.406,68.8159,2.22156,3.05998,1
2.469,141.463,68.8599,2.22515,3.06355,1
2.47,141.521,68.9038,2.22876,3.0671,1
2.471,141.578,68.9477,2.23238,3.07064,1
2.472,141.635,68.9915,2.23602,3.07416,1
2.473,141.692,69.0353,2.23967,3.07766,1
2.474,141.75,69.079,2.24334,3.08114,1
2.475,141.807,69.1227,2.24702,3.08461,1
2.476,141.864,69.1663,2.25072,3.08806,1
2.477,141.922,69.2098,2.25443,3.09149,1
2.478,141.979,69.2533,2.25816,3.0949,1
2.479,142.036,69.2968,2.2619,3.0983,1
2.48,142.094,69.3402,2.26566,3.10168,1
2.481,142.151,69.3835,2.26944,3.10505,1
2.482,142.208,69.4268,2.27323,3.1084,1
2.483,142.265,69.4701,2.27704,3.11173,1
2.484,142.323,69.5133,2.28086,3.11505,1
2.485,142.38,69.5564,2.28469,3.11835,1
2.486,142.437,69.5995,2.28855,3.12163,1
2.487,142.495,69.6425,2.29242,3.1249,1
2.488,142.552,69.6855,2.29631,3.12815,1
2.489,142.609,69.7284,2.30021,3.13139,1
2.49,142.666,69.7713,2.30413,3.13461,1
2.491,142.724,69.8141,2.30806,3.13781,1
2.492,142.781,69.8569,2.31202,3.141,1
2.493,142.838,69.8996,2.31598,3.14417,1
2.494,142.896,69.9423,2.31997,3.14733,1
2.495,142.953,69.9849,2.32397,3.15047,1
2.496,143.01,70.0274,2.32799,3.15359,1
2.497,143.068,70.0699,2.33203,3.1567,1
2.498,143.125,70.1124,2.33608,3.1598,1
2.499,143.182,70.1548,2.34016,3.16288,1
2.5,143.239,70.1971,2.34425,3.16594,1
2.501,143.297,70.2394,2.34835,3.16899,1
2.502,143.354,70.2817,2.35248,3.17203,1
2.503,143.411,70.3238,2.35662,3.17505,1
2.504,143.469,70.366,2.36078,3.17805,1
2.505,143.526,70.408,2.36496,3.18104,1
2.506,143.583,70.4501,2.36915,3.18402,1
2.507,143.641,70.492,2.37337,3.18698,1
2.508,143.698,70.5339,2.3776,3.18992,1
2.509,143.755,70.5758,2.38185,3.19286,1
2.51,143.812,70.6176,2.38612,3.19577,1
2.511,143.87,70.6594,2.39041,3.19868,1
2.512,143.927,70.7011,2.39472,3.20156,1
2.513,143.984,70.7427,2.39904,3.20444,1
2.514,144.042,70.7843,2.40339,3.2073,1
2.515,144.099,70.8259,2.40775,3.21015,1
2.516,144.156,70.8673,2.41214,3.21298,1
2.517,144.213,70.9088,2.41654,3.2158,1
2.518,144.271,70.9501,2.42096,3.2186,1
2.519,144.328,70.9915,2.42541,3.22139,1
2.52,144.385,71.0327,2.42987,3.22417,1
2.521,144.443,71.074,2.43435,3.22693,1
2.522,144.5,71.1151,2.43885,3.22968,1
2.523,144.557,71.1562,2.44337,3.23242,1
2.524,144.615,71.1973,2.44792,3.23514,1
2.525,144.672,71.2383,2.45248,3.23785,1
2.526,144.729,71.2792,2.45706,3.24054,1
2.527,144.786,71.3201,2.46167,3.24322,1
2.528,144.844,71.361,2.46629,3.24589,1
2.529,144.901,71.4017,2.47094,3.24855,1
2.53,144.958,71.4425,2.47561,3.25119,1
2.531,145.016,71.4831,2.4803,3.25382,1
2.532,145.073,71.5238,2.48501,3.25644,1
2.533,145.13,71.5643,2.48974,3.25904,1
2.534,145.188,71.6048,2.49449,3.26163,1
2.535,145.245,71.6453,2.49927,3.26421,1
2.536,145.302,71.6857,2.50406,3.26678,1
2.537,145.359,71.726,2.50888,3.26933,1
2.538,145.417,71.7663,2.51372,3.27187,1
2.539,145.474,71.8066,2.51859,3.2744,1
2.54,145.531,71.8467,2.52347,3.27692,1
2.541,145.589,71.8869,2.52838,3.27942,1
2.542,145.646,71.9269,2.53331,3.28191,1
2.543,145.703,71.967,2.53827,3.28439,1
2.544,145.76,72.0069,2.54325,3.28686,1
2.545,145.818,72.0468,2.54825,3.28931,1
2.546,145.875,72.0867,2.55327,3.29175,1
2.547,145.932,72.1265,2.55832,3.29418,1
2.548,145.99,72.1662,2.56339,3.2966,1
2.549,146.047,72.2059,2.56849,3.29901,1
2.55,146.104,72.2455,2.57361,3.3014,1
2.551,146.162,72.2851,2.57875,3.30378,1
2.552,146.219,72.3246,2.58392,3.30615,1
2.553,146.276,72.3641,2.58911,3.30851,1
