a(radian), a(degree) , Eruling, Ebend, Eparalell, Ebend,,241.65,0,5.4543,0.0608885
3.14159,180,84.4578,1.00E+15,3.74484,1,,241.708,0,5.45514,0.0568632
3.14259,180.057,84.4582,88160.1,3.74485,1,,241.765,0,5.456,0.0529848
3.14359,180.115,84.4585,25101.7,3.74485,1,,241.822,0,5.45689,0.0492544
3.14459,180.172,84.4587,11880.9,3.74486,1,,241.879,0,5.45781,0.0456731
3.14559,180.229,84.4589,6981.72,3.74486,1,,241.937,0,5.45876,0.042242
3.14659,180.286,84.4591,4643.8,3.74486,1,,241.994,0,5.45973,0.038962
3.14759,180.344,84.4592,3354.53,3.74486,1,,242.051,0,5.46073,0.0358343
3.14859,180.401,84.4592,2575.16,3.74486,1,,242.109,0,5.46176,0.0328595
3.14959,180.458,84.4592,2074.85,3.74486,1,,242.166,0,5.46281,0.0300388
3.15059,180.516,84.4592,1741.66,3.74485,1,,242.223,0,5.46389,0.0273728
3.15159,180.573,84.4591,1516.44,3.74485,1,,242.281,0,5.46499,0.0248624
3.15259,180.63,84.4589,1366.18,3.74484,1,,242.338,0,5.46612,0.0225082
3.15359,180.688,84.4587,1272.1,3.74483,1,,242.395,0,5.46728,0.0203127
3.15459,180.745,84.4585,1224.08,3.74482,1,,242.452,0,5.46846,0.0182716
3.15559,180.802,84.4582,1217.98,3.74481,1,,242.51,0,5.46967,0.0163904
3.15659,180.859,84.4578,1254.8,3.7448,1,,242.567,0,5.47091,0.0146679
3.15759,180.917,84.4574,1341.19,3.74479,1,,242.624,0,5.47217,0.0131047
3.15859,180.974,84.457,1491.57,3.74477,1,,242.682,0,5.47346,0.0117012
3.15959,181.031,84.4565,1733.32,3.74476,1,,242.739,0,5.47477,0.0104579
3.16059,181.089,84.456,2118.13,3.74474,1,,242.796,0,5.47611,0.00937499
3.16159,181.146,84.4554,2749.03,3.74472,1,,242.853,0,5.47748,0.00845284
3.16259,181.203,84.4547,3852.22,3.7447,1,,242.911,0,5.47887,0.00769168
3.16359,181.261,84.454,6002.49,3.74468,1,,242.968,0,5.48029,0.0070917
3.16459,181.318,84.4533,11035.8,3.74465,1,,243.025,0,5.48174,0.00665305
3.16559,181.375,84.4525,27740.5,3.74463,1,,243.083,0,5.48321,0.00637581
3.16659,181.432,84.4517,171640,3.7446,1,,243.14,0,5.48471,0.00626
3.16759,181.49,84.4508,688467,3.74457,1,,243.197,0,5.48623,0.00630563
3.16859,181.547,84.4498,43200.6,3.74455,1,,243.255,0,5.48778,0.00651261
3.16959,181.604,84.4488,14284.2,3.74452,1,,243.312,0,5.48936,0.00688083
3.17059,181.662,84.4478,7134.91,3.74448,1,,243.369,0,5.49096,0.00741011
3.17159,181.719,84.4467,4331.2,3.74445,1,,243.426,0,5.49259,0.00810024
3.17259,181.776,84.4456,2951.97,3.74442,1,,243.484,0,5.49424,0.00895094
3.17359,181.833,84.4444,2175.23,3.74438,1,,243.541,0,5.49592,0.00996188
3.17459,181.891,84.4431,1697.23,3.74434,1,,243.598,0,5.49762,0.0111327
3.17559,181.948,84.4419,1384.72,3.74431,1,,243.656,0,5.49936,0.012463
3.17659,182.005,84.4405,1171.87,3.74427,1,,243.713,0,5.50111,0.0139522
3.17759,182.063,84.4391,1023.25,3.74423,1,,243.77,0,5.5029,0.0155999
3.17859,182.12,84.4377,918.587,3.74418,1,,243.827,0,5.5047,0.0174055
