a(radian), a(degree) , Eruling, Ebend, Eparalell, Ebend,,241.65,0,5.4543,0.0608885
3.17959,182.177,84.4362,845.756,3.74414,1,,243.885,0,5.50654,0.0193683
3.18059,182.235,84.4347,797.391,3.74409,1,,243.942,0,5.5084,0.0214878
3.18159,182.292,84.4331,769.09,3.74405,1,,243.999,0,5.51029,0.0237631
3.18259,182.349,84.4315,758.478,3.744,1,,244.057,0,5.5122,0.0261935
3.18359,182.406,84.4298,764.743,3.74395,1,,244.114,0,5.51414,0.0287783
3.18459,182.464,84.4281,788.481,3.7439,1,,244.171,0,5.5161,0.0315166
3.18559,182.521,84.4263,831.793,3.74385,1,,244.229,0,5.51809,0.0344074
3.18659,182.578,84.4245,898.669,3.74379,1,,244.286,0,5.5201,0.0374499
3.18759,182.636,84.4226,995.781,3.74374,1,,244.343,0,5.52214,0.040643
3.18859,182.693,84.4207,1133.98,3.74368,1,,244.4,0,5.52421,0.0439858
3.18959,182.75,84.4187,1331.14,3.74363,1,,244.458,0,5.5263,0.0474772
3.19059,182.807,84.4167,1617.68,3.74357,1,,244.515,0,5.52842,0.0511161
3.19159,182.865,84.4146,2048.41,3.74351,1,,244.572,0,5.53057,0.0549013
3.19259,182.922,84.4125,2729.52,3.74344,1,,244.63,0,5.53274,0.0588318
3.19359,182.979,84.4103,3889.05,3.74338,1,,244.687,0,5.53493,0.0629062
3.19459,183.037,84.4081,6092.12,3.74332,1,,244.744,0,5.53715,0.0671233
3.19559,183.094,84.4058,11078.1,3.74325,1,,244.802,0,5.5394,0.0714818
3.19659,183.151,84.4035,26614.7,3.74318,1,,244.859,0,5.54167,0.0759805
3.19759,183.209,84.4011,134910,3.74311,1,,244.916,0,5.54397,0.0806179
3.19859,183.266,84.3987,2.05E+06,3.74304,1,,244.973,0,5.54629,0.0853927
3.19959,183.323,84.3962,58986.8,3.74297,1,,245.031,0,5.54864,0.0903035
3.20059,183.38,84.3937,17700.9,3.7429,1,,245.088,0,5.55102,0.0953489
3.20159,183.438,84.3911,8443.73,3.74282,1,,245.145,0,5.55342,0.100527
3.20259,183.495,84.3885,4955.68,3.74275,1,,245.203,0,5.55584,0.105837
3.20359,183.552,84.3859,3274.75,3.74267,1,,245.26,0,5.5583,0.111277
3.20459,183.61,84.3832,2337.57,3.74259,1,,245.317,0,5.56077,0.116846
3.20559,183.667,84.3804,1761.88,3.74251,1,,245.374,0,5.56328,0.122541
3.20659,183.724,84.3776,1382.89,3.74243,1,,245.432,0,5.56581,0.128362
3.20759,183.782,84.3747,1120.09,3.74235,1,,245.489,0,5.56836,0.134307
3.20859,183.839,84.3718,930.363,3.74226,1,,245.546,0,5.57094,0.140373
3.20959,183.896,84.3689,788.902,3.74218,1,,245.604,0,5.57355,0.14656
3.21059,183.953,84.3658,680.632,3.74209,1,,245.661,0,5.57618,0.152866
3.21159,184.011,84.3628,595.956,3.742,1,,245.718,0,5.57884,0.159289
3.21259,184.068,84.3597,528.531,3.74191,1,,245.776,0,5.58152,0.165827
3.21359,184.125,84.3565,474.029,3.74182,1,,245.833,0,5.58423,0.172478
3.21459,184.183,84.3533,429.413,3.74173,1,,245.89,0,5.58696,0.179242
3.21559,184.24,84.3501,392.507,3.74163,1,,245.947,0,5.58972,0.186115
3.21659,184.297,84.3468,361.714,3.74154,1,,246.005,0,5.59251,0.193097
3.21759,184.354,84.3434,335.846,3.74144,1,,246.062,0,5.59532,0.200186
3.21859,184.412,84.34,314.004,3.74134,1,,246.119,0,5.59815,0.207379
3.21959,184.469,84.3366,295.501,3.74124,1,,246.177,0,5.60102,0.214675
3.22059,184.526,84.3331,279.802,3.74114,1,,246.234,0,5.60391,0.222072
3.22159,184.584,84.3295,266.491,3.74104,1,,246.291,0,5.60682,0.229569
3.22259,184.641,84.326,255.244,3.74093,1,,246.349,0,5.60976,0.237163
3.22359,184.698,84.3223,245.803,3.74083,1,,246.406,0,5.61273,0.244853
3.22459,184.756,84.3186,237.966,3.74072,1,,,,,
3.22559,184.813,84.3149,231.577,3.74061,1,,,,,
3.22659,184.87,84.3111,226.516,3.7405,1,,,,,
3.22759,184.927,84.3073,222.695,3.74039,1,,,,,
3.22859,184.985,84.3034,220.05,3.74028,1,,,,,
3.22959,185.042,84.2994,218.546,3.74016,1,,,,,
3.23059,185.099,84.2954,218.167,3.74005,1,,,,,
3.23159,185.157,84.2914,218.922,3.73993,1,,,,,
3.23259,185.214,84.2873,220.84,3.73981,1,,,,,
3.23359,185.271,84.2832,223.976,3.73969,1,,,,,
3.23459,185.329,84.279,228.411,3.73957,1,,,,,
3.23559,185.386,84.2748,234.255,3.73945,1,,,,,
3.23659,185.443,84.2705,241.656,3.73932,1,,,,,
3.23759,185.5,84.2662,250.802,3.73919,1,,,,,
3.23859,185.558,84.2618,261.933,3.73907,1,,,,,
3.23959,185.615,84.2574,275.358,3.73894,1,,,,,
3.24059,185.672,84.2529,291.468,3.73881,1,,,,,
3.24159,185.73,84.2484,310.763,3.73867,1,,,,,
3.24259,185.787,84.2439,333.888,3.73854,1,,,,,
3.24359,185.844,84.2392,361.682,3.7384,1,,,,,
3.24459,185.901,84.2346,395.249,3.73827,1,,,,,
3.24559,185.959,84.2299,436.061,3.73813,1,,,,,
3.24659,186.016,84.2251,486.113,3.73799,1,,,,,
3.24759,186.073,84.2203,548.16,3.73785,1,,,,,
3.24859,186.131,84.2154,626.093,3.73771,1,,,,,
3.24959,186.188,84.2105,725.537,3.73756,1,,,,,
3.25059,186.245,84.2056,854.88,3.73742,1,,,,,
3.25159,186.303,84.2006,1027.05,3.73727,1,,,,,
3.25259,186.36,84.1955,1262.86,3.73712,1,,,,,
3.25359,186.417,84.1904,1597.47,3.73697,1,,,,,
3.25459,186.474,84.1853,2094.22,3.73682,1,,,,,
3.25559,186.532,84.1801,2876.76,3.73666,1,,,,,
3.25659,186.589,84.1749,4213.68,3.73651,1,,,,,
3.25759,186.646,84.1696,6783.01,3.73635,1,,,,,
3.25859,186.704,84.1642,12734.6,3.73619,1,,,,,
3.25959,186.761,84.1588,32226.5,3.73603,1,,,,,
3.26059,186.818,84.1534,193218,3.73587,1,,,,,
3.26159,186.875,84.1479,962253,3.73571,1,,,,,
3.26259,186.933,84.1424,53893.6,3.73555,1,,,,,
3.26359,186.99,84.1368,17382.7,3.73538,1,,,,,
3.26459,187.047,84.1312,8499.64,3.73521,1,,,,,
3.26559,187.105,84.1255,5037.25,3.73504,1,,,,,
3.26659,187.162,84.1198,3337.26,3.73487,1,,,,,
3.26759,187.219,84.114,2378.27,3.7347,1,,,,,
3.26859,187.277,84.1082,1784.49,3.73453,1,,,,,
3.26959,187.334,84.1023,1391.36,3.73435,1,,,,,
3.27059,187.391,84.0964,1117.59,3.73418,1,,,,,
3.27159,187.448,84.0904,919.243,3.734,1,,,,,
3.27259,187.506,84.0844,770.899,3.73382,1,,,,,
3.27359,187.563,84.0784,657.015,3.73364,1,,,,,
3.27459,187.62,84.0723,567.652,3.73345,1,,,,,
3.27559,187.678,84.0661,496.216,3.73327,1,,,,,
3.27659,187.735,84.0599,438.191,3.73308,1,,,,,
3.27759,187.792,84.0537,390.4,3.73289,1,,,,,
3.27859,187.85,84.0474,350.555,3.7327,1,,,,,
3.27959,187.907,84.041,316.975,3.73251,1,,,,,
3.28059,187.964,84.0346,288.402,3.73232,1,,,,,
3.28159,188.021,84.0282,263.879,3.73212,1,,,,,
3.28259,188.079,84.0217,242.669,3.73193,1,,,,,
3.28359,188.136,84.0151,224.194,3.73173,1,,,,,
3.28459,188.193,84.0086,207.998,3.73153,1,,,,,
3.28559,188.251,84.0019,193.717,3.73133,1,,,,,
3.28659,188.308,83.9953,181.057,3.73113,1,,,,,
3.28759,188.365,83.9885,169.779,3.73092,1,,,,,
3.28859,188.422,83.9818,159.686,3.73072,1,,,,,
3.28959,188.48,83.9749,150.615,3.73051,1,,,,,
3.29059,188.537,83.9681,142.432,3.7303,1,,,,,
3.29159,188.594,83.9611,135.022,3.73009,1,,,,,
3.29259,188.652,83.9542,128.289,3.72987,1,,,,,
3.29359,188.709,83.9472,122.154,3.72966,1,,,,,
3.29459,188.766,83.9401,116.545,3.72944,1,,,,,
3.29559,188.824,83.933,111.405,3.72923,1,,,,,
3.29659,188.881,83.9259,106.681,3.72901,1,,,,,
3.29759,188.938,83.9187,102.33,3.72879,1,,,,,
3.29859,188.995,83.9114,98.3129,3.72856,1,,,,,
3.29959,189.053,83.9041,94.5963,3.72834,1,,,,,
3.30059,189.11,83.8968,91.151,3.72811,1,,,,,
3.30159,189.167,83.8894,87.9511,3.72788,1,,,,,
3.30259,189.225,83.8819,84.9741,3.72765,1,,,,,
3.30359,189.282,83.8745,82.1997,3.72742,1,,,,,
3.30459,189.339,83.8669,79.6103,3.72719,1,,,,,
3.30559,189.397,83.8594,77.19,3.72695,1,,,,,
3.30659,189.454,83.8517,74.9246,3.72672,1,,,,,
3.30759,189.511,83.8441,72.8017,3.72648,1,,,,,
3.30859,189.568,83.8363,70.8098,3.72624,1,,,,,
3.30959,189.626,83.8286,68.9388,3.726,1,,,,,
3.31059,189.683,83.8208,67.1796,3.72575,1,,,,,
3.31159,189.74,83.8129,65.524,3.72551,1,,,,,
3.31259,189.798,83.805,63.9644,3.72526,1,,,,,
3.31359,189.855,83.797,62.4941,3.72501,1,,,,,
3.31459,189.912,83.789,61.107,3.72476,1,,,,,
3.31559,189.969,83.781,59.7976,3.72451,1,,,,,
3.31659,190.027,83.7729,58.5607,3.72425,1,,,,,
3.31759,190.084,83.7648,57.3918,3.72399,1,,,,,
3.31859,190.141,83.7566,56.2866,3.72374,1,,,,,
3.31959,190.199,83.7483,55.2412,3.72348,1,,,,,
3.32059,190.256,83.7401,54.2522,3.72321,1,,,,,
3.32159,190.313,83.7317,53.3163,3.72295,1,,,,,
3.32259,190.371,83.7234,52.4305,3.72269,1,,,,,
3.32359,190.428,83.7149,51.592,3.72242,1,,,,,
3.32459,190.485,83.7065,50.7984,3.72215,1,,,,,
3.32559,190.542,83.698,50.0474,3.72188,1,,,,,
3.32659,190.6,83.6894,49.3369,3.72161,1,,,,,
3.32759,190.657,83.6808,48.6648,3.72133,1,,,,,
3.32859,190.714,83.6721,48.0294,3.72105,1,,,,,
3.32959,190.772,83.6634,47.429,3.72078,1,,,,,
3.33059,190.829,83.6547,46.862,3.7205,1,,,,,
3.33159,190.886,83.6459,46.3272,3.72021,1,,,,,
3.33259,190.943,83.6339,45.823,3.71993,1,,,,,
3.33359,191.001,83.6214,45.3485,3.71964,1,,,,,
3.33459,191.058,83.6088,44.9023,3.71936,1,,,,,
3.33559,191.115,83.5962,44.4836,3.71907,1,,,,,
3.33659,191.173,83.5835,44.0913,3.71877,1,,,,,
3.33759,191.23,83.5707,43.7247,3.71848,1,,,,,
3.33859,191.287,83.5579,43.3829,3.71819,1,,,,,
3.33959,191.345,83.545,43.0652,3.71789,1,,,,,
3.34059,191.402,83.532,42.771,3.71759,1,,,,,
3.34159,191.459,83.519,42.4995,3.71729,1,,,,,
3.34259,191.516,83.5059,42.2504,3.71698,1,,,,,
3.34359,191.574,83.4927,42.0231,3.71668,1,,,,,
3.34459,191.631,83.4794,41.8172,3.71637,1,,,,,
3.34559,191.688,83.4661,41.6323,3.71606,1,,,,,
3.34659,191.746,83.4527,41.468,3.71575,1,,,,,
3.34759,191.803,83.4393,41.3241,3.71544,1,,,,,
3.34859,191.86,83.4258,41.2002,3.71512,1,,,,,
3.34959,191.918,83.4122,41.0963,3.71481,1,,,,,
3.35059,191.975,83.3985,41.0121,3.71449,1,,,,,
3.35159,192.032,83.3848,40.9475,3.71416,1,,,,,
3.35259,192.089,83.371,40.9024,3.71384,1,,,,,
3.35359,192.147,83.3572,40.8768,3.71352,1,,,,,
3.35459,192.204,83.3433,40.8706,3.71319,1,,,,,
3.35559,192.261,83.3293,40.884,3.71286,1,,,,,
3.35659,192.319,83.3152,40.9169,3.71253,1,,,,,
3.35759,192.376,83.3011,40.9696,3.71219,1,,,,,
3.35859,192.433,83.2869,41.042,3.71186,1,,,,,
3.35959,192.49,83.2726,41.1345,3.71152,1,,,,,
3.36059,192.548,83.2583,41.2473,3.71118,1,,,,,
3.36159,192.605,83.2439,41.3806,3.71084,1,,,,,
3.36259,192.662,83.2295,41.5348,3.7105,1,,,,,
3.36359,192.72,83.2149,41.7102,3.71015,1,,,,,
3.36459,192.777,83.2003,41.9073,3.7098,1,,,,,
3.36559,192.834,83.1857,42.1266,3.70945,1,,,,,
3.36659,192.892,83.1709,42.3684,3.7091,1,,,,,
3.36759,192.949,83.1561,42.6335,3.70875,1,,,,,
3.36859,193.006,83.1413,42.9224,3.70839,1,,,,,
3.36959,193.063,83.1264,43.2359,3.70803,1,,,,,
3.37059,193.121,83.1114,43.5746,3.70767,1,,,,,
3.37159,193.178,83.0963,43.9393,3.70731,1,,,,,
3.37259,193.235,83.0812,44.3311,3.70694,1,,,,,
3.37359,193.293,83.066,44.7507,3.70657,1,,,,,
3.37459,193.35,83.0507,45.1994,3.7062,1,,,,,
3.37559,193.407,83.0354,45.6781,3.70583,1,,,,,
3.37659,193.465,83.02,46.1881,3.70546,1,,,,,
3.37759,193.522,83.0045,46.7307,3.70508,1,,,,,
3.37859,193.579,82.989,47.3074,3.7047,1,,,,,
3.37959,193.636,82.9734,47.9197,3.70432,1,,,,,
3.38059,193.694,82.9577,48.5691,3.70394,1,,,,,
3.38159,193.751,82.942,49.2576,3.70356,1,,,,,
3.38259,193.808,82.9262,49.9871,3.70317,1,,,,,
3.38359,193.866,82.9103,50.7595,3.70278,1,,,,,
3.38459,193.923,82.8944,51.5773,3.70239,1,,,,,
3.38559,193.98,82.8784,52.4429,3.70199,1,,,,,
3.38659,194.037,82.8623,53.3588,3.7016,1,,,,,
3.38759,194.095,82.8462,54.328,3.7012,1,,,,,
3.38859,194.152,82.83,55.3536,3.7008,1,,,,,
3.38959,194.209,82.8137,56.439,3.70039,1,,,,,
3.39059,194.267,82.7974,57.5878,3.69999,1,,,,,
3.39159,194.324,82.781,58.8041,3.69958,1,,,,,
3.39259,194.381,82.7645,60.0921,3.69917,1,,,,,
3.39359,194.439,82.748,61.4566,3.69876,1,,,,,
3.39459,194.496,82.7314,62.9028,3.69834,1,,,,,
3.39559,194.553,82.7148,64.4363,3.69792,1,,,,,
3.39659,194.61,82.698,66.0634,3.69751,1,,,,,
3.39759,194.668,82.6812,67.7907,3.69708,1,,,,,
3.39859,194.725,82.6644,69.6258,3.69666,1,,,,,
3.39959,194.782,82.6474,71.5767,3.69623,1,,,,,
3.40059,194.84,82.6305,73.6526,3.6958,1,,,,,
3.40159,194.897,82.6134,75.8633,3.69537,1,,,,,
3.40259,194.954,82.5963,78.2198,3.69494,1,,,,,
3.40359,195.011,82.5791,80.7342,3.6945,1,,,,,
3.40459,195.069,82.5618,83.4202,3.69406,1,,,,,
3.40559,195.126,82.5445,86.2925,3.69362,1,,,,,
3.40659,195.183,82.5271,89.3681,3.69317,1,,,,,
3.40759,195.241,82.5097,92.6654,3.69273,1,,,,,
3.40859,195.298,82.4921,96.2056,3.69228,1,,,,,
3.40959,195.355,82.4746,100.012,3.69183,1,,,,,
3.41059,195.413,82.4569,104.111,3.69137,1,,,,,
3.41159,195.47,82.4392,108.533,3.69092,1,,,,,
3.41259,195.527,82.4214,113.311,3.69046,1,,,,,
3.41359,195.584,82.4036,118.483,3.69,1,,,,,
3.41459,195.642,82.3857,124.095,3.68953,1,,,,,
3.41559,195.699,82.3677,130.195,3.68907,1,,,,,
3.41659,195.756,82.3496,136.841,3.6886,1,,,,,
3.41759,195.814,82.3315,144.099,3.68812,1,,,,,
3.41859,195.871,82.3134,152.046,3.68765,1,,,,,
3.41959,195.928,82.2951,160.771,3.68717,1,,,,,
3.42059,195.986,82.2768,170.379,3.68669,1,,,,,
3.42159,196.043,82.2584,180.991,3.68621,1,,,,,
3.42259,196.1,82.24,192.751,3.68573,1,,,,,
3.42359,196.157,82.2215,205.83,3.68524,1,,,,,
3.42459,196.215,82.2029,220.433,3.68475,1,,,,,
3.42559,196.272,82.1843,236.804,3.68426,1,,,,,
3.42659,196.329,82.1656,255.24,3.68376,1,,,,,
3.42759,196.387,82.1469,276.104,3.68326,1,,,,,
3.42859,196.444,82.128,299.838,3.68276,1,,,,,
3.42959,196.501,82.1092,326.995,3.68226,1,,,,,
3.43059,196.558,82.0902,358.264,3.68175,1,,,,,
3.43159,196.616,82.0712,394.519,3.68124,1,,,,,
3.43259,196.673,82.0521,436.878,3.68073,1,,,,,
3.43359,196.73,82.0329,486.792,3.68021,1,,,,,
3.43459,196.788,82.0137,546.167,3.6797,1,,,,,
3.43559,196.845,81.9945,617.554,3.67918,1,,,,,
3.43659,196.902,81.9751,704.423,3.67865,1,,,,,
3.43759,196.96,81.9557,811.596,3.67813,1,,,,,
3.43859,197.017,81.9362,945.925,3.6776,1,,,,,
3.43959,197.074,81.9167,1117.42,3.67707,1,,,,,
3.44059,197.131,81.8971,1341.15,3.67653,1,,,,,
3.44159,197.189,81.8774,1640.71,3.676,1,,,,,
3.44259,197.246,81.8577,2054.61,3.67546,1,,,,,
3.44359,197.303,81.8379,2649.4,3.67491,1,,,,,
3.44459,197.361,81.818,3548.04,3.67437,1,,,,,
3.44559,197.418,81.7981,4998.91,3.67382,1,,,,,
3.44659,197.475,81.7781,7567.64,3.67327,1,,,,,
3.44759,197.533,81.7581,12784.2,3.67271,1,,,,,
3.44859,197.59,81.738,26082,3.67215,1,,,,,
3.44959,197.647,81.7178,79815.9,3.67159,1,,,,,
3.45059,197.704,81.6975,1.27E+06,3.67103,1,,,,,
3.45159,197.762,81.6772,322866,3.67046,1,,,,,
3.45259,197.819,81.6569,51554.1,3.6699,1,,,,,
3.45359,197.876,81.6364,20160.1,3.66932,1,,,,,
3.45459,197.934,81.6159,10684.2,3.66875,1,,,,,
3.45559,197.991,81.5954,6612.69,3.66817,1,,,,,
3.45659,198.048,81.5747,4498.4,3.66759,1,,,,,
3.45759,198.105,81.554,3261.53,3.667,1,,,,,
3.45859,198.163,81.5333,2476.03,3.66642,1,,,,,
3.45959,198.22,81.5125,1946.25,3.66582,1,,,,,
3.46059,198.277,81.4916,1572.14,3.66523,1,,,,,
3.46159,198.335,81.4706,1298.2,3.66463,1,,,,,
3.46259,198.392,81.4496,1091.65,3.66403,1,,,,,
3.46359,198.449,81.4286,932.073,3.66343,1,,,,,
3.46459,198.507,81.4074,806.27,3.66282,1,,,,,
3.46559,198.564,81.3862,705.362,3.66222,1,,,,,
3.46659,198.621,81.365,623.214,3.6616,1,,,,,
3.46759,198.678,81.3436,555.471,3.66099,1,,,,,
3.46859,198.736,81.3222,498.975,3.66037,1,,,,,
3.46959,198.793,81.3008,451.391,3.65975,1,,,,,
3.47059,198.85,81.2793,410.96,3.65912,1,,,,,
3.47159,198.908,81.2577,376.341,3.65849,1,,,,,
3.47259,198.965,81.236,346.492,3.65786,1,,,,,
3.47359,199.022,81.2143,320.597,3.65722,1,,,,,
3.47459,199.079,81.1926,298.009,3.65659,1,,,,,
3.47559,199.137,81.1707,278.21,3.65594,1,,,,,
3.47659,199.194,81.1488,260.78,3.6553,1,,,,,
3.47759,199.251,81.1269,245.378,3.65465,1,,,,,
3.47859,199.309,81.1049,231.722,3.654,1,,,,,
3.47959,199.366,81.0828,219.58,3.65334,1,,,,,
3.48059,199.423,81.0606,208.758,3.65268,1,,,,,
3.48159,199.481,81.0384,199.095,3.65202,1,,,,,
3.48259,199.538,81.0161,190.453,3.65136,1,,,,,
3.48359,199.595,80.9938,182.717,3.65069,1,,,,,
3.48459,199.652,80.9714,175.789,3.65002,1,,,,,
3.48559,199.71,80.949,169.585,3.64934,1,,,,,
3.48659,199.767,80.9264,164.033,3.64866,1,,,,,
3.48759,199.824,80.9038,159.073,3.64798,1,,,,,
3.48859,199.882,80.8812,154.651,3.64729,1,,,,,
3.48959,199.939,80.8585,150.722,3.6466,1,,,,,
3.49059,199.996,80.8357,147.248,3.64591,1,,,,,
3.49159,200.054,80.8129,144.194,3.64521,1,,,,,
3.49259,200.111,80.79,141.532,3.64451,1,,,,,
3.49359,200.168,80.767,139.238,3.64381,1,,,,,
3.49459,200.225,80.744,137.291,3.6431,1,,,,,
3.49559,200.283,80.7209,135.674,3.64239,1,,,,,
3.49659,200.34,80.6978,134.371,3.64168,1,,,,,
3.49759,200.397,80.6746,133.373,3.64096,1,,,,,
3.49859,200.455,80.6513,132.668,3.64023,1,,,,,
3.49959,200.512,80.628,132.252,3.63951,1,,,,,
3.50059,200.569,80.6046,132.118,3.63878,1,,,,,
3.50159,200.626,80.5811,132.266,3.63805,1,,,,,
3.50259,200.684,80.5576,132.694,3.63731,1,,,,,
3.50359,200.741,80.534,133.406,3.63657,1,,,,,
3.50459,200.798,80.5104,134.403,3.63582,1,,,,,
3.50559,200.856,80.4867,135.694,3.63508,1,,,,,
3.50659,200.913,80.4629,137.286,3.63432,1,,,,,
3.50759,200.97,80.4391,139.191,3.63357,1,,,,,
3.50859,201.028,80.4152,141.421,3.63281,1,,,,,
3.50959,201.085,80.3912,143.992,3.63205,1,,,,,
3.51059,201.142,80.3672,146.924,3.63128,1,,,,,
3.51159,201.199,80.3432,150.24,3.63051,1,,,,,
3.51259,201.257,80.319,153.964,3.62973,1,,,,,
3.51359,201.314,80.2948,158.128,3.62895,1,,,,,
3.51459,201.371,80.2706,162.767,3.62817,1,,,,,
3.51559,201.429,80.2463,167.92,3.62738,1,,,,,
3.51659,201.486,80.2219,173.634,3.62659,1,,,,,
3.51759,201.543,80.1974,179.962,3.6258,1,,,,,
3.51859,201.601,80.1729,186.967,3.625,1,,,,,
3.51959,201.658,80.1484,194.72,3.62419,1,,,,,
3.52059,201.715,80.1238,203.303,3.62339,1,,,,,
3.52159,201.772,80.0991,212.813,3.62258,1,,,,,
3.52259,201.83,80.0743,223.361,3.62176,1,,,,,
3.52359,201.887,80.0495,235.078,3.62094,1,,,,,
3.52459,201.944,80.0247,248.118,3.62012,1,,,,,
3.52559,202.002,79.9997,262.662,3.61929,1,,,,,
3.52659,202.059,79.9747,278.925,3.61846,1,,,,,
3.52759,202.116,79.9497,297.165,3.61762,1,,,,,
3.52859,202.173,79.9246,317.688,3.61678,1,,,,,
3.52959,202.231,79.8994,340.865,3.61594,1,,,,,
3.53059,202.288,79.8742,367.149,3.61509,1,,,,,
3.53159,202.345,79.8489,397.092,3.61424,1,,,,,
3.53259,202.403,79.8236,431.378,3.61338,1,,,,,
3.53359,202.46,79.7981,470.859,3.61252,1,,,,,
3.53459,202.517,79.7727,516.609,3.61165,1,,,,,
3.53559,202.575,79.7471,569.997,3.61078,1,,,,,
3.53659,202.632,79.7216,632.784,3.60991,1,,,,,
3.53759,202.689,79.6959,707.277,3.60903,1,,,,,
3.53859,202.746,79.6702,796.536,3.60815,1,,,,,
3.53959,202.804,79.6444,904.688,3.60726,1,,,,,
3.54059,202.861,79.6186,1037.42,3.60637,1,,,,,
3.54159,202.918,79.5927,1202.71,3.60547,1,,,,,
3.54259,202.976,79.5668,1412.1,3.60457,1,,,,,
3.54359,203.033,79.5407,1682.69,3.60366,1,,,,,
3.54459,203.09,79.5147,2040.78,3.60275,1,,,,,
3.54559,203.147,79.4885,2528.46,3.60184,1,,,,,
3.54659,203.205,79.4624,3216.54,3.60092,1,,,,,
3.54759,203.262,79.4361,4231.69,3.6,1,,,,,
3.54859,203.319,79.4098,5819.08,3.59907,1,,,,,
3.54959,203.377,79.3834,8505.31,3.59813,1,,,,,
3.55059,203.434,79.357,13598,3.5972,1,,,,,
3.55159,203.491,79.3305,25136.8,3.59625,1,,,,,
3.55259,203.549,79.304,61290.1,3.59531,1,,,,,
3.55359,203.606,79.2774,318363,3.59435,1,,,,,
3.55459,203.663,79.2507,4.12E+06,3.5934,1,,,,,
3.55559,203.72,79.224,131713,3.59244,1,,,,,
3.55659,203.778,79.1972,39765.6,3.59147,1,,,,,
3.55759,203.835,79.1704,18919.9,3.5905,1,,,,,
3.55859,203.892,79.1435,11031.6,3.58952,1,,,,,
3.55959,203.95,79.1165,7222.54,3.58854,1,,,,,
3.56059,204.007,79.0895,5097.06,3.58756,1,,,,,
3.56159,204.064,79.0624,3791.26,3.58657,1,,,,,
3.56259,204.122,79.0353,2931.9,3.58557,1,,,,,
3.56359,204.179,79.0081,2336.35,3.58457,1,,,,,
