Planarity
0, 0, 1.5133e-16, 0, 7.88389e-17, 0, 3.56542e-07, 0, 1.06013e-16, 0, 3.19058e-17, 5.15116e-18, 1.25699e-06, 5.16816e-18, 8.89398e-18, 1.26274e-18, 1.8308e-18, 2.50322e-18, 2.23363e-16, 0, 2.42202e-06, 5.0135e-18, 1.17838e-17, 5.04935e-18, 9.42987e-17, 1.01024e-17, 1.25953e-05, 1.01061e-17, 9.03084e-17, 0, 4.10787e-07, 3.03539e-17, 7.64734e-17, 0, 0, 5.0571e-18, 1.06247e-16, 2.55043e-18, 0, 3.09434e-17, 
Developability
-2.42183e-07, 0.00696908, -0.0166529, 0.0184301, -0.00991587, -0.0107513, 0.0106195, 0.0136453, -0.018558, -0.00407407, 0.00957887, -1.55881e-06, -6.16848e-06, 0.00775846, -0.0137186, 0.00173773, -1.15718e-09, -0.000103787, -1.97854e-05, 
