Planarity
0, 3.07487e-17, 1.82967e-17, 8.94049e-17, 1.15798e-16, 2.62165e-17, 3.60977e-17, 1.83782e-17, 2.32717e-17, 4.52467e-17, 8.01054e-17, 4.79147e-17, 3.39574e-17, 5.42177e-17, 2.01195e-17, 1.40895e-17, 1.59446e-17, 3.29904e-17, 0, 2.96789e-17, 
Developability
