Planarity
0, 1.95515e-16, 1.20778e-16, 1.24707e-17, 5.45007e-17, 1.10783e-17, 1.21239e-16, 1.49166e-18, 1.12352e-16, 8.75608e-17, 5.96304e-17, 0, 1.5825e-17, 0, 3.22033e-16, 0, 1.87046e-17, 1.18876e-17, 2.80159e-16, 0, 7.89203e-17, 0, 8.25529e-17, 1.11133e-17, 2.86255e-17, 1.24693e-17, 0.00825969, 4.80485e-17, 4.20618e-17, 0, 3.87874e-06, 4.66681e-17, 3.36649e-17, 1.19129e-17, 1.79063e-16, 0, 1.82616e-16, 0, 0, 3.43205e-19, 
Developability
