Planarity
9.69822e-17, 2.16601e-18, 5.97758e-19, 4.10033e-19, 7.64361e-20, 4.09939e-19, 2.90688e-18, 8.12884e-17, 5.41881e-17, 6.28961e-17, 1.07468e-16, 4.49208e-17, 9.51156e-17, 5.38995e-17, 1.18198e-16, 0, 1.09675e-16, 4.4908e-18, 1.65717e-17, 4.49044e-18, 0, 8.53119e-17, 9.62692e-18, 5.38774e-17, 1.37961e-16, 1.0864e-16, 1.73809e-16, 5.54489e-17, 8.47868e-17, 3.01772e-17, 1.25081e-16, 3.0177e-17, 7.74759e-17, 1.04247e-17, 4.8021e-17, 1.30995e-17, 1.67912e-18, 0, 8.54881e-17, 2.62017e-17, 1.2447e-16, 8.65377e-18, 3.13724e-17, 1.5798e-17, 3.21158e-17, 2.93424e-17, 3.0533e-17, 9.02961e-18, 6.12245e-17, 4.51547e-17, 1.70944e-17, 3.16136e-17, 4.81437e-18, 2.71026e-17, 2.43368e-17, 2.25905e-17, 1.4137e-17, 2.35175e-17, 
Developability
