a, Eruling, Ebend
3.33559 , 296.048, 67.047
3.33659 , 296.038, 66.9023
3.33759 , 296.028, 66.7634
3.33859 , 296.018, 66.6301
3.33959 , 296.008, 66.5025
3.34059 , 295.998, 66.3804
3.34159 , 295.988, 66.2639
3.34259 , 295.978, 66.1529
3.34359 , 295.967, 66.0474
3.34459 , 295.957, 65.9474
3.34559 , 295.947, 65.8528
3.34659 , 295.936, 65.7637
3.34759 , 295.926, 65.6799
3.34859 , 295.916, 65.6015
3.34959 , 295.905, 65.5284
3.35059 , 295.895, 65.4607
3.35159 , 295.884, 65.3982
3.35259 , 295.873, 65.3411
3.35359 , 295.863, 65.2893
3.35459 , 295.852, 65.2427
3.35559 , 295.841, 65.2015
3.35659 , 295.83, 65.1654
3.35759 , 295.819, 65.1347
3.35859 , 295.808, 65.1092
3.35959 , 295.797, 65.0889
3.36059 , 295.786, 65.0739
3.36159 , 295.775, 65.0641
3.36259 , 295.764, 65.0596
3.36359 , 295.753, 65.0604
3.36459 , 295.742, 65.0664
3.36559 , 295.73, 65.0776
3.36659 , 295.719, 65.0942
3.36759 , 295.708, 65.1161
3.36859 , 295.696, 65.1432
3.36959 , 295.685, 65.1757
3.37059 , 295.673, 65.2135
3.37159 , 295.661, 65.2566
3.37259 , 295.65, 65.3052
3.37359 , 295.638, 65.3591
3.37459 , 295.626, 65.4184
3.37559 , 295.615, 65.4832
3.37659 , 295.603, 65.5535
3.37759 , 295.591, 65.6292
3.37859 , 295.579, 65.7105
3.37959 , 295.567, 65.7974
3.38059 , 295.555, 65.8898
3.38159 , 295.543, 65.9879
3.38259 , 295.53, 66.0917
3.38359 , 295.518, 66.2012
3.38459 , 295.506, 66.3164
3.38559 , 295.494, 66.4375
3.38659 , 295.481, 66.5644
3.38759 , 295.469, 66.6972
3.38859 , 295.456, 66.836
3.38959 , 295.444, 66.9807
3.39059 , 295.431, 67.1316
3.39159 , 295.419, 67.2885
3.39259 , 295.406, 67.4517
3.39359 , 295.393, 67.6211
3.39459 , 295.38, 67.7968
3.39559 , 295.368, 67.9789
3.39659 , 295.355, 68.1675
3.39759 , 295.342, 68.3626
3.39859 , 295.329, 68.5643
3.39959 , 295.316, 68.7727
3.40059 , 295.303, 68.9879
3.40159 , 295.29, 69.21
3.40259 , 295.276, 69.439
3.40359 , 295.263, 69.675
3.40459 , 295.25, 69.9182
3.40559 , 295.237, 70.1686
3.40659 , 295.223, 70.4264
3.40759 , 295.21, 70.6916
3.40859 , 295.196, 70.9644
3.40959 , 295.183, 71.2448
3.41059 , 295.169, 71.5331
3.41159 , 295.155, 71.8292
3.41259 , 295.142, 72.1334
3.41359 , 295.128, 72.4458
3.41459 , 295.114, 72.7665
3.41559 , 295.1, 73.0956
3.41659 , 295.086, 73.4333
3.41759 , 295.072, 73.7797
3.41859 , 295.058, 74.135
3.41959 , 295.044, 74.4994
3.42059 , 295.03, 74.873
3.42159 , 295.016, 75.2559
3.42259 , 295.002, 75.6484
3.42359 , 294.988, 76.0507
3.42459 , 294.973, 76.4628
3.42559 , 294.959, 76.8851
3.42659 , 294.945, 77.3177
3.42759 , 294.93, 77.7608
3.42859 , 294.916, 78.2147
3.42959 , 294.901, 78.6795
3.43059 , 294.886, 79.1555
3.43159 , 294.872, 79.6429
3.43259 , 294.857, 80.1419
3.43359 , 294.842, 80.6529
3.43459 , 294.827, 81.1761
3.43559 , 294.812, 81.7117
3.43659 , 294.797, 82.26
3.43759 , 294.783, 82.8213
3.43859 , 294.767, 83.3959
3.43959 , 294.752, 83.9842
3.44059 , 294.737, 84.5863
3.44159 , 294.722, 85.2028
3.44259 , 294.707, 85.8339
3.44359 , 294.691, 86.4799
3.44459 , 294.676, 87.1412
3.44559 , 294.661, 87.8183
3.44659 , 294.645, 88.5115
3.44759 , 294.63, 89.2212
3.44859 , 294.614, 89.9478
3.44959 , 294.599, 90.6918
3.45059 , 294.583, 91.4537
3.45159 , 294.567, 92.2339
3.45259 , 294.551, 93.0328
3.45359 , 294.536, 93.8511
3.45459 , 294.52, 94.6892
3.45559 , 294.504, 95.5477
3.45659 , 294.488, 96.4272
3.45759 , 294.472, 97.3283
3.45859 , 294.456, 98.2515
3.45959 , 294.44, 99.1975
3.46059 , 294.423, 100.167
3.46159 , 294.407, 101.161
3.46259 , 294.391, 102.179
3.46359 , 294.375, 103.223
3.46459 , 294.358, 104.294
3.46559 , 294.342, 105.392
3.46659 , 294.325, 106.518
3.46759 , 294.309, 107.673
3.46859 , 294.292, 108.858
3.46959 , 294.275, 110.073
3.47059 , 294.259, 111.321
3.47159 , 294.242, 112.602
3.47259 , 294.225, 113.916
3.47359 , 294.208, 115.266
3.47459 , 294.191, 116.652
3.47559 , 294.174, 118.075
3.47659 , 294.157, 119.538
3.47759 , 294.14, 121.041
3.47859 , 294.123, 122.585
3.47959 , 294.106, 124.173
3.48059 , 294.089, 125.805
3.48159 , 294.072, 127.484
3.48259 , 294.054, 129.211
3.48359 , 294.037, 130.988
3.48459 , 294.02, 132.817
3.48559 , 294.002, 134.7
3.48659 , 293.985, 136.639
3.48759 , 293.967, 138.636
3.48859 , 293.949, 140.693
3.48959 , 293.932, 142.814
3.49059 , 293.914, 144.999
3.49159 , 293.896, 147.254
3.49259 , 293.878, 149.579
3.49359 , 293.86, 151.979
3.49459 , 293.842, 154.455
3.49559 , 293.824, 157.013
3.49659 , 293.806, 159.655
3.49759 , 293.788, 162.385
3.49859 , 293.77, 165.207
3.49959 , 293.752, 168.125
3.50059 , 293.734, 171.145
3.50159 , 293.715, 174.27
3.50259 , 293.697, 177.505
3.50359 , 293.679, 180.857
3.50459 , 293.66, 184.331
3.50559 , 293.642, 187.933
3.50659 , 293.623, 191.669
3.50759 , 293.605, 195.546
3.50859 , 293.586, 199.573
3.50959 , 293.567, 203.756
3.51059 , 293.548, 208.105
3.51159 , 293.53, 212.629
3.51259 , 293.511, 217.336
3.51359 , 293.492, 222.239
3.51459 , 293.473, 227.347
3.51559 , 293.454, 232.674
3.51659 , 293.435, 238.232
3.51759 , 293.416, 244.036
3.51859 , 293.396, 250.1
3.51959 , 293.377, 256.442
3.52059 , 293.358, 263.079
3.52159 , 293.339, 270.031
3.52259 , 293.319, 277.319
3.52359 , 293.3, 284.965
3.52459 , 293.28, 292.995
