a(radian),a(degree),Eruling, Ebend, Eparalell, Eruling2
0.631,36.1536, 330.572, 10.4731, 35.5428, 330.572
0.632,36.2109, 330.557, 10.4586, 35.5425, 330.557
0.633,36.2682, 330.542, 10.4441, 35.5422, 330.542
0.634,36.3255, 330.528, 10.4297, 35.5419, 330.528
0.635,36.3828, 330.513, 10.4153, 35.5416, 330.513
0.636,36.4401, 330.498, 10.4009, 35.5414, 330.498
0.637,36.4974, 330.483, 10.3865, 35.5411, 330.483
0.638,36.5547, 330.468, 10.3722, 35.5408, 330.468
0.639,36.612, 330.453, 10.358, 35.5405, 330.453
0.64,36.6693, 330.438, 10.3438, 35.5402, 330.438
0.641,36.7266, 330.424, 10.3296, 35.5399, 330.424
0.642,36.7839, 330.409, 10.3154, 35.5396, 330.409
0.643,36.8412, 330.394, 10.3013, 35.5393, 330.394
0.644,36.8985, 330.379, 10.2872, 35.539, 330.379
0.645,36.9558, 330.364, 10.2732, 35.5388, 330.364
0.646,37.0131, 330.349, 10.2592, 35.5385, 330.349
0.647,37.0704, 330.334, 10.2452, 35.5382, 330.334
0.648,37.1277, 330.319, 10.2312, 35.5379, 330.319
0.649,37.185, 330.304, 10.2173, 35.5376, 330.304
0.65,37.2423, 330.289, 10.2035, 35.5373, 330.289
0.651,37.2996, 330.274, 10.1896, 35.537, 330.274
0.652,37.3568, 330.259, 10.1758, 35.5367, 330.259
0.653,37.4141, 330.243, 10.1621, 35.5364, 330.243
0.654,37.4714, 330.228, 10.1483, 35.5361, 330.228
0.655,37.5287, 330.213, 10.1347, 35.5358, 330.213
0.656,37.586, 330.198, 10.121, 35.5355, 330.198
0.657,37.6433, 330.183, 10.1074, 35.5352, 330.183
0.658,37.7006, 330.168, 10.0938, 35.5349, 330.168
0.659,37.7579, 330.153, 10.0802, 35.5346, 330.153
0.66,37.8152, 330.137, 10.0667, 35.5343, 330.137
0.661,37.8725, 330.122, 10.0532, 35.534, 330.122
0.662,37.9298, 330.107, 10.0397, 35.5337, 330.107
0.663,37.9871, 330.092, 10.0263, 35.5334, 330.092
0.664,38.0444, 330.076, 10.0129, 35.5331, 330.076
0.665,38.1017, 330.061, 9.99957, 35.5328, 330.061
0.666,38.159, 330.046, 9.98625, 35.5325, 330.046
0.667,38.2163, 330.03, 9.97296, 35.5322, 330.03
0.668,38.2736, 330.015, 9.95969, 35.5319, 330.015
0.669,38.3309, 330, 9.94647, 35.5316, 330
0.67,38.3882, 329.984, 9.93327, 35.5313, 329.984
0.671,38.4455, 329.969, 9.92011, 35.531, 329.969
0.672,38.5028, 329.954, 9.90698, 35.5307, 329.954
0.673,38.5601, 329.938, 9.89388, 35.5304, 329.938
0.674,38.6174, 329.923, 9.88081, 35.5301, 329.923
0.675,38.6747, 329.907, 9.86777, 35.5298, 329.907
0.676,38.7319, 329.892, 9.85476, 35.5295, 329.892
0.677,38.7892, 329.876, 9.84179, 35.5292, 329.876
0.678,38.8465, 329.861, 9.82885, 35.5288, 329.861
0.679,38.9038, 329.845, 9.81593, 35.5285, 329.845
0.68,38.9611, 329.83, 9.80305, 35.5282, 329.83
0.681,39.0184, 329.814, 9.7902, 35.5279, 329.814
0.682,39.0757, 329.799, 9.77738, 35.5276, 329.799
0.683,39.133, 329.783, 9.76459, 35.5273, 329.783
0.684,39.1903, 329.767, 9.75183, 35.527, 329.767
0.685,39.2476, 329.752, 9.7391, 35.5267, 329.752
0.686,39.3049, 329.736, 9.7264, 35.5264, 329.736
0.687,39.3622, 329.721, 9.71373, 35.5261, 329.721
0.688,39.4195, 329.705, 9.70109, 35.5257, 329.705
0.689,39.4768, 329.689, 9.68848, 35.5254, 329.689
0.69,39.5341, 329.674, 9.6759, 35.5251, 329.674
0.691,39.5914, 329.658, 9.66335, 35.5248, 329.658
0.692,39.6487, 329.642, 9.65082, 35.5245, 329.642
0.693,39.706, 329.626, 9.63833, 35.5242, 329.626
0.694,39.7633, 329.611, 9.62586, 35.5238, 329.611
0.695,39.8206, 329.595, 9.61343, 35.5235, 329.595
0.696,39.8779, 329.579, 9.60102, 35.5232, 329.579
0.697,39.9352, 329.563, 9.58864, 35.5229, 329.563
0.698,39.9925, 329.547, 9.57629, 35.5226, 329.547
0.699,40.0497, 329.532, 9.56397, 35.5223, 329.532
0.7,40.107, 329.516, 9.55168, 35.5219, 329.516
0.701,40.1643, 329.5, 9.53941, 35.5216, 329.5
0.702,40.2216, 329.484, 9.52718, 35.5213, 329.484
0.703,40.2789, 329.468, 9.51497, 35.521, 329.468
0.704,40.3362, 329.452, 9.50279, 35.5207, 329.452
0.705,40.3935, 329.436, 9.49063, 35.5203, 329.436
0.706,40.4508, 329.42, 9.47851, 35.52, 329.42
0.707,40.5081, 329.404, 9.46641, 35.5197, 329.404
0.708,40.5654, 329.388, 9.45434, 35.5194, 329.388
0.709,40.6227, 329.372, 9.44229, 35.519, 329.372
0.71,40.68, 329.356, 9.43028, 35.5187, 329.356
0.711,40.7373, 329.34, 9.41829, 35.5184, 329.34
0.712,40.7946, 329.324, 9.40632, 35.5181, 329.324
0.713,40.8519, 329.308, 9.39439, 35.5177, 329.308
0.714,40.9092, 329.292, 9.38248, 35.5174, 329.292
0.715,40.9665, 329.276, 9.3706, 35.5171, 329.276
0.716,41.0238, 329.26, 9.35874, 35.5167, 329.26
0.717,41.0811, 329.243, 9.34691, 35.5164, 329.243
0.718,41.1384, 329.227, 9.3351, 35.5161, 329.227
0.719,41.1957, 329.211, 9.32333, 35.5158, 329.211
0.72,41.253, 329.195, 9.31157, 35.5154, 329.195
0.721,41.3103, 329.179, 9.29985, 35.5151, 329.179
0.722,41.3676, 329.162, 9.28815, 35.5148, 329.162
0.723,41.4248, 329.146, 9.27647, 35.5144, 329.146
0.724,41.4821, 329.13, 9.26483, 35.5141, 329.13
0.725,41.5394, 329.114, 9.2532, 35.5138, 329.114
0.726,41.5967, 329.097, 9.24161, 35.5134, 329.097
0.727,41.654, 329.081, 9.23003, 35.5131, 329.081
0.728,41.7113, 329.065, 9.21849, 35.5128, 329.065
0.729,41.7686, 329.048, 9.20696, 35.5124, 329.048
0.73,41.8259, 329.032, 9.19547, 35.5121, 329.032
0.731,41.8832, 329.015, 9.18399, 35.5118, 329.015
0.732,41.9405, 328.999, 9.17255, 35.5114, 328.999
0.733,41.9978, 328.983, 9.16112, 35.5111, 328.983
0.734,42.0551, 328.966, 9.14973, 35.5107, 328.966
0.735,42.1124, 328.95, 9.13835, 35.5104, 328.95
0.736,42.1697, 328.933, 9.127, 35.5101, 328.933
0.737,42.227, 328.917, 9.11568, 35.5097, 328.917
0.738,42.2843, 328.9, 9.10438, 35.5094, 328.9
0.739,42.3416, 328.884, 9.0931, 35.509, 328.884
0.74,42.3989, 328.867, 9.08185, 35.5087, 328.867
0.741,42.4562, 328.85, 9.07062, 35.5083, 328.85
0.742,42.5135, 328.834, 9.05942, 35.508, 328.834
0.743,42.5708, 328.817, 9.04824, 35.5077, 328.817
0.744,42.6281, 328.801, 9.03708, 35.5073, 328.801
0.745,42.6854, 328.784, 9.02595, 35.507, 328.784
0.746,42.7427, 328.767, 9.01484, 35.5066, 328.767
0.747,42.7999, 328.75, 9.00375, 35.5063, 328.75
0.748,42.8572, 328.734, 8.99269, 35.5059, 328.734
0.749,42.9145, 328.717, 8.98165, 35.5056, 328.717
0.75,42.9718, 328.7, 8.97063, 35.5052, 328.7
0.751,43.0291, 328.684, 8.95964, 35.5049, 328.684
0.752,43.0864, 328.667, 8.94867, 35.5045, 328.667
0.753,43.1437, 328.65, 8.93772, 35.5042, 328.65
0.754,43.201, 328.633, 8.92679, 35.5038, 328.633
0.755,43.2583, 328.616, 8.91589, 35.5035, 328.616
0.756,43.3156, 328.599, 8.90501, 35.5031, 328.599
0.757,43.3729, 328.583, 8.89415, 35.5028, 328.583
0.758,43.4302, 328.566, 8.88332, 35.5024, 328.566
0.759,43.4875, 328.549, 8.87251, 35.5021, 328.549
0.76,43.5448, 328.532, 8.86172, 35.5017, 328.532
0.761,43.6021, 328.515, 8.85095, 35.5014, 328.515
0.762,43.6594, 328.498, 8.8402, 35.501, 328.498
0.763,43.7167, 328.481, 8.82948, 35.5006, 328.481
0.764,43.774, 328.464, 8.81878, 35.5003, 328.464
0.765,43.8313, 328.447, 8.8081, 35.4999, 328.447
0.766,43.8886, 328.43, 8.79744, 35.4996, 328.43
0.767,43.9459, 328.413, 8.78681, 35.4992, 328.413
0.768,44.0032, 328.396, 8.77619, 35.4989, 328.396
0.769,44.0605, 328.379, 8.7656, 35.4985, 328.379
0.77,44.1178, 328.361, 8.75503, 35.4981, 328.361
0.771,44.175, 328.344, 8.74448, 35.4978, 328.344
0.772,44.2323, 328.327, 8.73395, 35.4974, 328.327
0.773,44.2896, 328.31, 8.72344, 35.497, 328.31
0.774,44.3469, 328.293, 8.71295, 35.4967, 328.293
0.775,44.4042, 328.275, 8.70249, 35.4963, 328.275
0.776,44.4615, 328.258, 8.69204, 35.496, 328.258
0.777,44.5188, 328.241, 8.68162, 35.4956, 328.241
0.778,44.5761, 328.224, 8.67122, 35.4952, 328.224
0.779,44.6334, 328.206, 8.66084, 35.4949, 328.206
0.78,44.6907, 328.189, 8.65047, 35.4945, 328.189
0.781,44.748, 328.172, 8.64013, 35.4941, 328.172
0.782,44.8053, 328.154, 8.62981, 35.4938, 328.154
0.783,44.8626, 328.137, 8.61952, 35.4934, 328.137
0.784,44.9199, 328.12, 8.60924, 35.493, 328.12
0.785,44.9772, 328.102, 8.59898, 35.4926, 328.102
0.786,45.0345, 328.085, 8.58874, 35.4923, 328.085
0.787,45.0918, 328.067, 8.57852, 35.4919, 328.067
0.788,45.1491, 328.05, 8.56832, 35.4915, 328.05
0.789,45.2064, 328.032, 8.55815, 35.4912, 328.032
0.79,45.2637, 328.015, 8.54799, 35.4908, 328.015
0.791,45.321, 327.997, 8.53785, 35.4904, 327.997
0.792,45.3783, 327.98, 8.52773, 35.49, 327.98
0.793,45.4356, 327.962, 8.51763, 35.4896, 327.962
0.794,45.4928, 327.945, 8.50756, 35.4893, 327.945
0.795,45.5501, 327.927, 8.4975, 35.4889, 327.927
0.796,45.6074, 327.909, 8.48746, 35.4885, 327.909
0.797,45.6647, 327.892, 8.47744, 35.4881, 327.892
0.798,45.722, 327.874, 8.46744, 35.4878, 327.874
0.799,45.7793, 327.856, 8.45746, 35.4874, 327.856
0.8,45.8366, 327.839, 8.44749, 35.487, 327.839
0.801,45.8939, 327.821, 8.43755, 35.4866, 327.821
0.802,45.9512, 327.803, 8.42763, 35.4862, 327.803
0.803,46.0085, 327.785, 8.41772, 35.4858, 327.785
0.804,46.0658, 327.768, 8.40784, 35.4855, 327.768
0.805,46.1231, 327.75, 8.39797, 35.4851, 327.75
0.806,46.1804, 327.732, 8.38812, 35.4847, 327.732
0.807,46.2377, 327.714, 8.3783, 35.4843, 327.714
0.808,46.295, 327.696, 8.36849, 35.4839, 327.696
0.809,46.3523, 327.678, 8.3587, 35.4835, 327.678
0.81,46.4096, 327.66, 8.34892, 35.4831, 327.66
0.811,46.4669, 327.642, 8.33917, 35.4828, 327.642
0.812,46.5242, 327.624, 8.32943, 35.4824, 327.624
0.813,46.5815, 327.606, 8.31972, 35.482, 327.606
0.814,46.6388, 327.588, 8.31002, 35.4816, 327.588
0.815,46.6961, 327.57, 8.30034, 35.4812, 327.57
0.816,46.7534, 327.552, 8.29068, 35.4808, 327.552
0.817,46.8107, 327.534, 8.28103, 35.4804, 327.534
0.818,46.8679, 327.516, 8.27141, 35.48, 327.516
0.819,46.9252, 327.498, 8.2618, 35.4796, 327.498
0.82,46.9825, 327.48, 8.25221, 35.4792, 327.48
0.821,47.0398, 327.462, 8.24264, 35.4788, 327.462
0.822,47.0971, 327.444, 8.23308, 35.4784, 327.444
0.823,47.1544, 327.425, 8.22355, 35.478, 327.425
0.824,47.2117, 327.407, 8.21403, 35.4776, 327.407
0.825,47.269, 327.389, 8.20453, 35.4772, 327.389
0.826,47.3263, 327.371, 8.19505, 35.4768, 327.371
0.827,47.3836, 327.353, 8.18558, 35.4764, 327.353
0.828,47.4409, 327.334, 8.17614, 35.476, 327.334
0.829,47.4982, 327.316, 8.16671, 35.4756, 327.316
0.83,47.5555, 327.298, 8.15729, 35.4752, 327.298
0.831,47.6128, 327.279, 8.1479, 35.4748, 327.279
0.832,47.6701, 327.261, 8.13852, 35.4744, 327.261
0.833,47.7274, 327.242, 8.12916, 35.474, 327.242
0.834,47.7847, 327.224, 8.11982, 35.4736, 327.224
0.835,47.842, 327.206, 8.11049, 35.4732, 327.206
0.836,47.8993, 327.187, 8.10118, 35.4728, 327.187
0.837,47.9566, 327.169, 8.09189, 35.4724, 327.169
0.838,48.0139, 327.15, 8.08261, 35.472, 327.15
0.839,48.0712, 327.132, 8.07335, 35.4716, 327.132
0.84,48.1285, 327.113, 8.06411, 35.4712, 327.113
0.841,48.1858, 327.094, 8.05489, 35.4707, 327.094
0.842,48.243, 327.076, 8.04568, 35.4703, 327.076
0.843,48.3003, 327.057, 8.03649, 35.4699, 327.057
0.844,48.3576, 327.039, 8.02732, 35.4695, 327.039
0.845,48.4149, 327.02, 8.01816, 35.4691, 327.02
0.846,48.4722, 327.001, 8.00902, 35.4687, 327.001
0.847,48.5295, 326.982, 7.99989, 35.4683, 326.982
0.848,48.5868, 326.964, 7.99078, 35.4678, 326.964
0.849,48.6441, 326.945, 7.98169, 35.4674, 326.945
0.85,48.7014, 326.926, 7.97261, 35.467, 326.926
0.851,48.7587, 326.907, 7.96356, 35.4666, 326.907
0.852,48.816, 326.889, 7.95451, 35.4662, 326.889
0.853,48.8733, 326.87, 7.94548, 35.4658, 326.87
0.854,48.9306, 326.851, 7.93647, 35.4653, 326.851
0.855,48.9879, 326.832, 7.92748, 35.4649, 326.832
0.856,49.0452, 326.813, 7.9185, 35.4645, 326.813
0.857,49.1025, 326.794, 7.90954, 35.4641, 326.794
0.858,49.1598, 326.775, 7.90059, 35.4636, 326.775
0.859,49.2171, 326.756, 7.89166, 35.4632, 326.756
0.86,49.2744, 326.737, 7.88274, 35.4628, 326.737
0.861,49.3317, 326.718, 7.87384, 35.4624, 326.718
0.862,49.389, 326.699, 7.86496, 35.4619, 326.699
0.863,49.4463, 326.68, 7.85609, 35.4615, 326.68
0.864,49.5036, 326.661, 7.84724, 35.4611, 326.661
0.865,49.5608, 326.642, 7.8384, 35.4606, 326.642
0.866,49.6181, 326.623, 7.82958, 35.4602, 326.623
0.867,49.6754, 326.604, 7.82078, 35.4598, 326.604
0.868,49.7327, 326.584, 7.81198, 35.4593, 326.584
0.869,49.79, 326.565, 7.80321, 35.4589, 326.565
0.87,49.8473, 326.546, 7.79445, 35.4585, 326.546
0.871,49.9046, 326.527, 7.78571, 35.458, 326.527
0.872,49.9619, 326.508, 7.77698, 35.4576, 326.508
0.873,50.0192, 326.488, 7.76826, 35.4572, 326.488
0.874,50.0765, 326.469, 7.75956, 35.4567, 326.469
0.875,50.1338, 326.45, 7.75088, 35.4563, 326.45
0.876,50.1911, 326.43, 7.74221, 35.4559, 326.43
0.877,50.2484, 326.411, 7.73356, 35.4554, 326.411
0.878,50.3057, 326.391, 7.72492, 35.455, 326.391
0.879,50.363, 326.372, 7.71629, 35.4545, 326.372
0.88,50.4203, 326.352, 7.70768, 35.4541, 326.352
0.881,50.4776, 326.333, 7.69909, 35.4536, 326.333
0.882,50.5349, 326.313, 7.69051, 35.4532, 326.313
0.883,50.5922, 326.294, 7.68195, 35.4527, 326.294
0.884,50.6495, 326.274, 7.67339, 35.4523, 326.274
0.885,50.7068, 326.255, 7.66486, 35.4519, 326.255
0.886,50.7641, 326.235, 7.65634, 35.4514, 326.235
0.887,50.8214, 326.216, 7.64783, 35.451, 326.216
0.888,50.8787, 326.196, 7.63934, 35.4505, 326.196
0.889,50.9359, 326.176, 7.63086, 35.4501, 326.176
0.89,50.9932, 326.157, 7.6224, 35.4496, 326.157
0.891,51.0505, 326.137, 7.61395, 35.4491, 326.137
0.892,51.1078, 326.117, 7.60552, 35.4487, 326.117
0.893,51.1651, 326.097, 7.5971, 35.4482, 326.097
0.894,51.2224, 326.078, 7.58869, 35.4478, 326.078
0.895,51.2797, 326.058, 7.5803, 35.4473, 326.058
0.896,51.337, 326.038, 7.57192, 35.4469, 326.038
0.897,51.3943, 326.018, 7.56356, 35.4464, 326.018
0.898,51.4516, 325.998, 7.55521, 35.446, 325.998
0.899,51.5089, 325.978, 7.54687, 35.4455, 325.978
0.9,51.5662, 325.958, 7.53855, 35.445, 325.958
0.901,51.6235, 325.938, 7.53025, 35.4446, 325.938
0.902,51.6808, 325.918, 7.52195, 35.4441, 325.918
0.903,51.7381, 325.898, 7.51367, 35.4436, 325.898
0.904,51.7954, 325.878, 7.50541, 35.4432, 325.878
0.905,51.8527, 325.858, 7.49715, 35.4427, 325.858
0.906,51.91, 325.838, 7.48892, 35.4422, 325.838
0.907,51.9673, 325.818, 7.48069, 35.4418, 325.818
0.908,52.0246, 325.798, 7.47248, 35.4413, 325.798
0.909,52.0819, 325.778, 7.46428, 35.4408, 325.778
0.91,52.1392, 325.758, 7.4561, 35.4404, 325.758
