Planarity
0.167859, 0.0169169, 0.1459, 0.0175734, 0.150365, 0.0166499, 0.111712, 0.0167105, 0.161479, 0.0761164, 2.32095e-18, 0.0362052, 0, 0.00337665, 8.32689e-18, 0.0227824, 7.86571e-18, 0.0432357, 7.53709e-18, 0.0584928, 7.0056e-18, 0.0320436, 0, 0.00807848, 6.04204e-18, 0.0123215, 0.108372, 0.0356534, 0.367948, 0.0129413, 0.334939, 0.0129396, 0.170015, 0.0411693, 2.16701e-17, 0.0182029, 5.24314e-18, 0.00897713, 0.205743, 0.0498326, 
Developability
