a, Eruling,,a, Eruling
0.772,312.011,,3.91359,299.425
0.773,311.99,,3.91459,299.319
0.774,311.968,,3.91559,299.212
0.775,311.947,,3.91659,299.106
0.776,311.925,,3.91759,298.998
0.777,311.903,,3.91859,298.891
0.778,311.882,,3.91959,298.783
0.779,311.86,,3.92059,298.675
0.78,311.838,,3.92159,298.567
0.781,311.816,,3.92259,298.458
0.782,311.794,,3.92359,298.349
0.783,311.772,,3.92459,298.239
0.784,311.75,,3.92559,298.13
0.785,311.728,,3.92659,298.02
0.786,311.706,,3.92759,297.909
0.787,311.684,,3.92859,297.798
0.788,311.662,,3.92959,297.687
0.789,311.64,,3.93059,297.576
0.79,311.617,,3.93159,297.464
0.791,311.595,,3.93259,297.352
0.792,311.573,,3.93359,297.24
0.793,311.55,,3.93459,297.127
0.794,311.528,,3.93559,297.014
0.795,311.506,,3.93659,296.9
0.796,311.483,,3.93759,296.786
0.797,311.461,,3.93859,296.672
0.798,311.438,,3.93959,296.558
0.799,311.415,,3.94059,296.443
0.8,311.393,,3.94159,296.328
0.801,311.37,,3.94259,296.212
0.802,311.347,,3.94359,296.096
0.803,311.324,,3.94459,295.98
0.804,311.301,,3.94559,295.863
0.805,311.278,,3.94659,295.746
0.806,311.255,,3.94759,295.629
0.807,311.232,,3.94859,295.511
0.808,311.209,,3.94959,295.393
0.809,311.186,,3.95059,295.274
0.81,311.163,,3.95159,295.156
0.811,311.14,,3.95259,295.036
0.812,311.117,,3.95359,294.917
0.813,311.093,,3.95459,294.797
0.814,311.07,,3.95559,294.676
0.815,311.047,,3.95659,294.556
0.816,311.023,,3.95759,294.435
0.817,311,,3.95859,294.313
0.818,310.976,,3.95959,294.191
0.819,310.953,,3.96059,294.069
0.82,310.929,,3.96159,293.947
0.821,310.906,,3.96259,293.824
0.822,310.882,,3.96359,293.7
0.823,310.858,,3.96459,293.577
0.824,310.834,,3.96559,293.452
0.825,310.81,,3.96659,293.328
0.826,310.787,,3.96759,293.203
0.827,310.763,,3.96859,293.078
0.828,310.739,,3.96959,292.952
0.829,310.715,,3.97059,292.826
0.83,310.691,,3.97159,292.699
0.831,310.666,,3.97259,292.572
0.832,310.642,,3.97359,292.445
0.833,310.618,,3.97459,292.317
0.834,310.594,,3.97559,292.189
0.835,310.569,,3.97659,292.061
0.836,310.545,,3.97759,291.932
0.837,310.521,,3.97859,291.803
0.838,310.496,,3.97959,291.673
0.839,310.472,,3.98059,291.543
0.84,310.447,,3.98159,291.412
0.841,310.422,,3.98259,291.281
0.842,310.398,,3.98359,291.15
0.843,310.373,,3.98459,291.018
0.844,310.348,,3.98559,290.886
0.845,310.324,,3.98659,290.753
0.846,310.299,,3.98759,290.62
0.847,310.274,,3.98859,290.486
0.848,310.249,,3.98959,290.353
0.849,310.224,,3.99059,290.218
0.85,310.199,,3.99159,290.083
0.851,310.174,,3.99259,289.948
0.852,310.148,,3.99359,289.812
0.853,310.123,,3.99459,289.676
0.854,310.098,,3.99559,289.54
0.855,310.073,,3.99659,289.403
0.856,310.047,,3.99759,289.265
0.857,310.022,,3.99859,289.128
0.858,309.997,,3.99959,288.989
0.859,309.971,,4.00059,288.85
0.86,309.945,,4.00159,288.711
0.861,309.92,,4.00259,288.572
0.862,309.894,,4.00359,288.431
0.863,309.868,,4.00459,288.291
0.864,309.843,,4.00559,288.15
0.865,309.817,,4.00659,288.008
0.866,309.791,,4.00759,287.866
0.867,309.765,,4.00859,287.724
0.868,309.739,,4.00959,287.581
0.869,309.713,,4.01059,287.438
0.87,309.687,,4.01159,287.294
0.871,309.661,,4.01259,287.15
0.872,309.635,,4.01359,287.005
0.873,309.609,,4.01459,286.86
0.874,309.582,,4.01559,286.714
0.875,309.556,,4.01659,286.568
0.876,309.529,,4.01759,286.421
0.877,309.503,,4.01859,286.274
0.878,309.477,,4.01959,286.126
0.879,309.45,,4.02059,285.978
0.88,309.423,,4.02159,285.829
0.881,309.397,,4.02259,285.68
0.882,309.37,,4.02359,285.53
0.883,309.343,,4.02459,285.38
0.884,309.316,,4.02559,285.23
0.885,309.29,,4.02659,285.079
0.886,309.263,,4.02759,284.927
0.887,309.236,,4.02859,284.775
0.888,309.209,,4.02959,284.622
0.889,309.182,,4.03059,284.469
0.89,309.154,,4.03159,284.315
0.891,309.127,,4.03259,284.161
0.892,309.1,,4.03359,284.006
0.893,309.073,,4.03459,283.851
0.894,309.045,,4.03559,283.695
0.895,309.018,,4.03659,283.539
0.896,308.991,,4.03759,283.382
0.897,308.963,,4.03859,283.225
0.898,308.935,,4.03959,283.067
0.899,308.908,,4.04059,282.908
0.9,308.88,,4.04159,282.749
0.901,308.852,,4.04259,282.59
0.902,308.825,,4.04359,282.43
0.903,308.797,,4.04459,282.269
0.904,308.769,,4.04559,282.108
0.905,308.741,,4.04659,281.946
0.906,308.713,,4.04759,281.784
0.907,308.685,,4.04859,281.621
0.908,308.657,,4.04959,281.458
0.909,308.628,,4.05059,281.294
0.91,308.6,,4.05159,281.13
0.911,308.572,,4.05259,280.964
0.912,308.543,,4.05359,280.799
0.913,308.515,,4.05459,280.633
0.914,308.487,,4.05559,280.466
0.915,308.458,,4.05659,280.283
0.916,308.429,,4.05759,280.058
0.917,308.401,,4.05859,279.831
0.918,308.372,,4.05959,279.604
0.919,308.343,,4.06059,279.376
0.92,308.314,,4.06159,279.148
0.921,308.286,,4.06259,278.919
0.922,308.257,,4.06359,278.689
0.923,308.228,,4.06459,278.459
0.924,308.199,,4.06559,278.227
0.925,308.169,,4.06659,277.996
0.926,308.14,,4.06759,277.763
0.927,308.111,,4.06859,277.53
0.928,308.082,,4.06959,277.296
0.929,308.052,,4.07059,277.061
0.93,308.023,,4.07159,276.826
0.931,307.994,,4.07259,276.589
0.932,307.964,,4.07359,276.353
0.933,307.934,,4.07459,276.115
0.934,307.905,,4.07559,275.877
0.935,307.875,,4.07659,275.638
0.936,307.845,,4.07759,275.398
0.937,307.815,,4.07859,275.157
0.938,307.786,,4.07959,274.916
0.939,307.756,,4.08059,274.674
0.94,307.726,,4.08159,274.431
0.941,307.695,,4.08259,274.188
0.942,307.665,,4.08359,273.943
0.943,307.635,,4.08459,273.698
0.944,307.605,,4.08559,273.452
0.945,307.575,,4.08659,273.206
0.946,307.544,,4.08759,272.958
0.947,307.514,,4.08859,272.71
0.948,307.483,,4.08959,272.461
0.949,307.453,,4.09059,272.212
0.95,307.422,,4.09159,271.961
0.951,307.391,,4.09259,271.71
0.952,307.36,,4.09359,271.458
0.953,307.33,,4.09459,271.205
0.954,307.299,,4.09559,270.951
0.955,307.268,,4.09659,270.697
0.956,307.237,,4.09759,270.441
0.957,307.206,,4.09859,270.185
0.958,307.175,,4.09959,269.928
0.959,307.143,,4.10059,269.67
0.96,307.112,,4.10159,269.412
0.961,307.081,,4.10259,269.152
0.962,307.049,,4.10359,268.892
0.963,307.018,,4.10459,268.631
0.964,306.986,,4.10559,268.369
0.965,306.955,,4.10659,268.106
0.966,306.923,,4.10759,267.843
0.967,306.891,,4.10859,267.578
0.968,306.86,,4.10959,267.313
0.969,306.828,,4.11059,267.046
0.97,306.796,,4.11159,266.779
0.971,306.764,,4.11259,266.511
0.972,306.732,,4.11359,266.242
0.973,306.7,,4.11459,265.972
0.974,306.668,,4.11559,265.702
0.975,306.635,,4.11659,265.43
0.976,306.603,,4.11759,265.158
0.977,306.571,,4.11859,264.884
0.978,306.538,,4.11959,264.61
0.979,306.506,,4.12059,264.335
0.98,306.473,,4.12159,264.058
0.981,306.44,,4.12259,263.781
0.982,306.408,,4.12359,263.503
0.983,306.375,,4.12459,263.224
0.984,306.342,,4.12559,262.944
0.985,306.309,,4.12659,262.663
0.986,306.276,,4.12759,262.382
0.987,306.243,,4.12859,262.099
0.988,306.21,,4.12959,261.815
0.989,306.177,,4.13059,261.53
0.99,306.143,,4.13159,261.245
0.991,306.11,,4.13259,260.958
0.992,306.077,,4.13359,260.67
0.993,306.043,,4.13459,260.382
0.994,306.01,,4.13559,260.092
0.995,305.976,,4.13659,259.801
0.996,305.942,,4.13759,259.51
0.997,305.909,,4.13859,259.217
0.998,305.875,,4.13959,258.923
0.999,305.841,,4.14059,258.628
1,305.807,,4.14159,258.333
1.001,305.773,,4.14259,258.036
1.002,305.739,,4.14359,257.738
1.003,305.705,,4.14459,257.439
1.004,305.67,,4.14559,257.139
1.005,305.636,,4.14659,256.838
1.006,305.602,,4.14759,256.536
1.007,305.567,,4.14859,256.232
1.008,305.533,,4.14959,255.928
1.009,305.498,,4.15059,255.623
1.01,305.463,,4.15159,255.316
1.011,305.429,,4.15259,255.009
1.012,305.394,,4.15359,254.7
1.013,305.359,,4.15459,254.39
1.014,305.324,,4.15559,254.079
1.015,305.289,,4.15659,253.767
1.016,305.254,,4.15759,253.454
1.017,305.219,,4.15859,253.139
1.018,305.183,,4.15959,252.824
1.019,305.148,,4.16059,252.507
1.02,305.113,,4.16159,252.189
1.021,305.077,,4.16259,251.87
1.022,305.042,,4.16359,251.55
1.023,305.006,,4.16459,251.228
1.024,304.97,,4.16559,250.906
1.025,304.934,,4.16659,250.582
1.026,304.899,,4.16759,250.257
1.027,304.863,,4.16859,249.93
1.028,304.827,,4.16959,249.603
1.029,304.79,,4.17059,249.274
1.03,304.754,,4.17159,248.944
1.031,304.718,,4.17259,248.613
1.032,304.682,,4.17359,248.256
1.033,304.645,,4.17459,247.855
1.034,304.609,,4.17559,247.453
1.035,304.572,,4.17659,247.05
1.036,304.536,,4.17759,246.646
1.037,304.499,,4.17859,246.24
1.038,304.462,,4.17959,245.833
1.039,304.425,,4.18059,245.424
1.04,304.388,,4.18159,245.015
1.041,304.351,,4.18259,244.604
1.042,304.314,,4.18359,244.191
1.043,304.277,,4.18459,243.778
1.044,304.24,,4.18559,243.363
1.045,304.202,,4.18659,242.946
1.046,304.165,,4.18759,242.528
1.047,304.128,,4.18859,242.109
1.048,304.09,,4.18959,241.688
1.049,304.052,,4.19059,241.266
1.05,304.015,,4.19159,240.843
1.051,303.977,,4.19259,240.418
1.052,303.939,,4.19359,239.992
1.053,303.901,,4.19459,239.564
1.054,303.863,,4.19559,239.135
1.055,303.825,,4.19659,238.704
1.056,303.786,,4.19759,238.272
1.057,303.748,,4.19859,237.839
1.058,303.71,,4.19959,237.403
1.059,303.671,,4.20059,236.967
1.06,303.633,,4.20159,236.529
1.061,303.594,,4.20259,236.089
1.062,303.555,,4.20359,235.648
1.063,303.517,,4.20459,235.205
1.064,303.478,,4.20559,234.761
1.065,303.439,,4.20659,234.315
1.066,303.4,,4.20759,233.868
1.067,303.36,,4.20859,233.419
1.068,303.321,,4.20959,232.968
1.069,303.282,,4.21059,232.516
1.07,303.243,,4.21159,232.062
1.071,303.203,,4.21259,231.606
1.072,303.163,,4.21359,231.149
1.073,303.124,,4.21459,230.69
1.074,303.084,,4.21559,230.105
1.075,303.044,,4.21659,229.501
1.076,303.004,,4.21759,228.895
1.077,302.964,,4.21859,228.288
1.078,302.924,,4.21959,227.68
1.079,302.884,,4.22059,227.07
1.08,302.844,,4.22159,226.458
1.081,302.803,,4.22259,225.845
1.082,302.763,,4.22359,225.23
1.083,302.723,,4.22459,224.614
1.084,302.682,,4.22559,223.996
1.085,302.641,,4.22659,223.377
1.086,302.6,,4.22759,222.756
1.087,302.56,,4.22859,222.133
1.088,302.519,,4.22959,221.509
1.089,302.478,,4.23059,220.883
1.09,302.436,,4.23159,220.256
1.091,302.395,,4.23259,219.627
1.092,302.354,,4.23359,218.996
1.093,302.312,,4.23459,218.363
1.094,302.271,,4.23559,217.728
1.095,302.229,,4.23659,217.092
1.096,302.188,,4.23759,216.454
1.097,302.146,,4.23859,215.814
1.098,302.104,,4.23959,215.173
1.099,302.062,,4.24059,214.529
1.1,302.02,,4.24159,213.884
1.101,301.978,,4.24259,213.237
1.102,301.936,,4.24359,212.588
1.103,301.893,,4.24459,211.937
1.104,301.851,,4.24559,211.284
1.105,301.808,,4.24659,210.629
1.106,301.766,,4.24759,209.971
1.107,301.723,,4.24859,209.312
1.108,301.68,,4.24959,208.651
1.109,301.637,,4.25059,207.988
1.11,301.594,,4.25159,207.323
1.111,301.551,,4.25259,206.656
1.112,301.508,,4.25359,205.986
1.113,301.465,,4.25459,205.314
1.114,301.421,,4.25559,204.641
1.115,301.378,,4.25659,203.964
1.116,301.334,,4.25759,203.286
1.117,301.291,,4.25859,202.605
1.118,301.247,,4.25959,201.923
1.119,301.203,,4.26059,201.237
1.12,301.159,,4.26159,200.55
1.121,301.115,,4.26259,199.86
1.122,301.071,,4.26359,199.167
1.123,301.027,,4.26459,198.472
1.124,300.982,,4.26559,197.775
1.125,300.938,,4.26659,197.075
1.126,300.893,,4.26759,196.373
1.127,300.849,,4.26859,195.668
1.128,300.804,,4.26959,194.96
1.129,300.759,,4.27059,194.25
1.13,300.714,,4.27159,193.537
1.131,300.669,,4.27259,192.822
1.132,300.624,,4.27359,192.104
1.133,300.579,,4.27459,191.383
1.134,300.533,,4.27559,190.659
1.135,300.488,,4.27659,189.932
1.136,300.442,,4.27759,189.203
1.137,300.397,,4.27859,188.47
1.138,300.351,,4.27959,187.735
1.139,300.305,,4.28059,186.996
1.14,300.259,,4.28159,186.255
1.141,300.213,,4.28259,185.488
1.142,300.167,,4.28359,184.636
1.143,300.12,,4.28459,183.782
1.144,300.074,,4.28559,182.925
1.145,300.028,,4.28659,182.065
1.146,299.981,,4.28759,181.203
1.147,299.934,,4.28859,180.337
1.148,299.887,,4.28959,179.47
1.149,299.841,,4.29059,178.599
1.15,299.793,,4.29159,177.725
1.151,299.746,,4.29259,176.682
1.152,299.699,,4.29359,175.6
1.153,299.652,,4.29459,174.516
1.154,299.604,,4.29559,173.43
1.155,299.557,,4.29659,172.343
1.156,299.509,,4.29759,171.254
1.157,299.461,,4.29859,170.163
1.158,299.413,,4.29959,169.071
1.159,299.365,,4.30059,167.976
1.16,299.317,,4.30159,166.88
1.161,299.269,,4.30259,165.781
1.162,299.221,,4.30359,164.681
1.163,299.172,,4.30459,163.578
1.164,299.124,,4.30559,162.473
1.165,299.075,,4.30659,161.366
1.166,299.026,,4.30759,160.257
1.167,298.977,,4.30859,159.145
1.168,298.928,,4.30959,158.03
1.169,298.879,,4.31059,156.913
1.17,298.83,,4.31159,155.793
1.171,298.781,,4.31259,154.67
1.172,298.731,,4.31359,153.545
1.173,298.682,,4.31459,152.416
1.174,298.632,,4.31559,151.285
1.175,298.582,,4.31659,150.15
1.176,298.532,,4.31759,149.012
1.177,298.479,,4.31859,147.871
1.178,298.413,,4.31959,146.726
1.179,298.347,,4.32059,145.578
1.18,298.281,,4.32159,144.427
1.181,298.215,,4.32259,143.271
1.182,298.149,,4.32359,142.112
1.183,298.083,,4.32459,140.949
1.184,298.016,,4.32559,139.782
1.185,297.949,,4.32659,138.611
1.186,297.883,,4.32759,137.436
1.187,297.816,,4.32859,136.018
1.188,297.749,,4.32959,134.193
1.189,297.681,,4.33059,132.421
1.19,297.614,,4.33159,130.696
1.191,297.546,,4.33259,129.012
1.192,297.479,,4.33359,127.364
1.193,297.411,,4.33459,125.748
1.194,297.343,,4.33559,124.161
1.195,297.274,,4.33659,122.599
1.196,297.206,,4.33759,121.059
1.197,297.138,,4.33859,119.54
1.198,297.069,,4.33959,118.038
1.199,297,,4.34059,116.444
1.2,296.931,,4.34159,114.857
1.201,296.862,,4.34259,113.284
1.202,296.793,,4.34359,111.723
1.203,296.724,,4.34459,110.173
1.204,296.654,,4.34559,108.634
1.205,296.584,,4.34659,107.103
1.206,296.514,,4.34759,105.58
1.207,296.444,,4.34859,103.946
1.208,296.374,,4.34959,102.255
1.209,296.304,,4.35059,100.574
1.21,296.233,,4.35159,98.9012
1.211,296.163,,4.35259,97.2358
1.212,296.092,,4.35359,95.5774
1.213,296.021,,4.35459,93.9253
1.214,295.95,,4.35559,92.2789
1.215,295.879,,4.35659,90.6377
1.216,295.807,,4.35759,89.0012
1.217,295.735,,4.35859,87.3688
1.218,295.664,,4.35959,85.7401
1.219,295.592,,4.36059,84.1147
1.22,295.52,,4.36159,82.4921
1.221,295.447,,4.36259,80.8718
1.222,295.375,,4.36359,79.2535
1.223,295.302,,4.36459,77.6368
1.224,295.23,,4.36559,76.0213
1.225,295.157,,4.36659,74.4066
1.226,295.084,,4.36759,72.7924
1.227,295.01,,4.36859,71.1783
1.228,294.937,,4.36959,69.5639
1.229,294.863,,4.37059,67.9489
1.23,294.79,,4.37159,66.333
1.231,294.716,,4.37259,64.7157
1.232,294.641,,4.37359,63.0969
1.233,294.567,,4.37459,61.476
1.234,294.493,,4.37559,59.8529
1.235,294.418,,4.37659,58.227
1.236,294.343,,4.37759,56.5982
1.237,294.268,,4.37859,54.966
1.238,294.193,,4.37959,53.3301
1.239,294.118,,4.38059,51.6075
1.24,294.043,,4.38159,49.8742
1.241,293.967,,4.38259,48.1392
1.242,293.891,,4.38359,46.402
1.243,293.815,,4.38459,42.6713
1.244,293.739,,4.38559,41.038
1.245,293.663,,4.38659,39.4009
1.246,293.586,,4.38759,37.7596
1.247,293.509,,4.38859,36.1138
1.248,293.432,,4.38959,34.4634
1.249,293.355,,4.39059,32.808
1.25,293.278,,4.39159,31.1473
1.251,293.201,,4.39259,29.4811
1.252,293.123,,4.39359,27.7688
1.253,293.045,,4.39459,26.0507
1.254,292.967,,4.39559,24.3378
1.255,292.889,,4.39659,22.6295
1.256,292.811,,4.39759,19.0332
1.257,292.732,,4.39859,17.696
1.258,292.654,,4.39959,16.359
1.259,292.575,,4.40059,9.21374
1.26,292.496,,4.40159,6.67116
1.261,292.417,,4.40259,4.30564
1.262,292.337,,4.40359,2.04815
1.263,292.258,,4.40459,0
1.264,292.178,,4.40559,0
1.265,292.098,,4.40659,0
1.266,292.018,,4.40759,0
1.267,291.937,,4.40859,0
1.268,291.857,,4.40959,0
1.269,291.776,,4.41059,0
1.27,291.695,,4.41159,0
1.271,291.614,,4.41259,0
1.272,291.533,,4.41359,0
1.273,291.451,,4.41459,0
1.274,291.369,,4.41559,0
1.275,291.288,,4.41659,0
1.276,291.205,,4.41759,0
1.277,291.123,,4.41859,0
1.278,291.041,,4.41959,0
1.279,290.958,,4.42059,0
1.28,290.875,,4.42159,0
1.281,290.792,,4.42259,0
1.282,290.709,,4.42359,0
1.283,290.625,,4.42459,0
1.284,290.542,,4.42559,2.04199
1.285,290.458,,4.42659,6.39512
1.286,290.374,,4.42759,6.94234
1.287,290.29,,4.42859,11.7084
1.288,290.205,,4.42959,19.1773
1.289,290.12,,4.43059,20.7803
1.29,290.036,,4.43159,22.3417
1.291,289.95,,4.43259,23.8982
1.292,289.865,,4.43359,25.45
1.293,289.78,,4.43459,26.9976
1.294,289.694,,4.43559,28.5412
1.295,289.608,,4.43659,30.0812
1.296,289.522,,4.43759,31.6178
1.297,289.436,,4.43859,33.1514
1.298,289.349,,4.43959,34.6822
1.299,289.262,,4.44059,36.2105
1.3,289.176,,4.44159,39.7433
1.301,289.088,,4.44259,41.4641
1.302,289.001,,4.44359,43.1846
1.303,288.913,,4.44459,44.905
1.304,288.826,,4.44559,46.6257
1.305,288.738,,4.44659,48.3472
1.306,288.649,,4.44759,50.0699
1.307,288.561,,4.44859,51.7941
1.308,288.472,,4.44959,53.5202
1.309,288.383,,4.45059,55.2488
1.31,288.294,,4.45159,56.9801
1.311,288.205,,4.45259,58.7146
1.312,288.116,,4.45359,60.4527
1.313,288.026,,4.45459,62.195
1.314,287.936,,4.45559,63.8222
1.315,287.846,,4.45659,65.4486
1.316,287.755,,4.45759,67.0752
1.317,287.665,,4.45859,68.7026
1.318,287.574,,4.45959,70.3314
1.319,287.483,,4.46059,71.9622
1.32,287.392,,4.46159,73.5957
1.321,287.3,,4.46259,75.2325
1.322,287.208,,4.46359,76.8732
1.323,287.116,,4.46459,78.5187
1.324,287.024,,4.46559,80.1696
1.325,286.932,,4.46659,81.8268
1.326,286.839,,4.46759,83.4911
1.327,286.746,,4.46859,85.1634
1.328,286.653,,4.46959,86.7876
1.329,286.56,,4.47059,88.3697
1.33,286.466,,4.47159,89.9609
1.331,286.372,,4.47259,91.5625
1.332,286.278,,4.47359,93.1758
1.333,286.184,,4.47459,94.8021
1.334,286.089,,4.47559,96.4429
1.335,285.995,,4.47659,98.1
1.336,285.9,,4.47759,99.6463
1.337,285.804,,4.47859,101.016
1.338,285.709,,4.47959,102.381
1.339,285.613,,4.48059,103.74
1.34,285.517,,4.48159,105.093
1.341,285.421,,4.48259,106.442
1.342,285.325,,4.48359,107.785
1.343,285.228,,4.48459,109.124
1.344,285.131,,4.48559,110.458
1.345,285.034,,4.48659,111.787
1.346,284.937,,4.48759,113.112
1.347,284.839,,4.48859,114.433
1.348,284.741,,4.48959,115.749
1.349,284.643,,4.49059,117.062
1.35,284.544,,4.49159,118.371
1.351,284.446,,4.49259,119.676
1.352,284.347,,4.49359,120.977
1.353,284.248,,4.49459,122.275
1.354,284.148,,4.49559,123.569
1.355,284.049,,4.49659,124.86
1.356,283.949,,4.49759,126.148
1.357,283.849,,4.49859,127.433
1.358,283.748,,4.49959,128.716
1.359,283.647,,4.50059,129.995
1.36,283.546,,4.50159,131.271
1.361,283.445,,4.50259,132.545
1.362,283.344,,4.50359,133.817
1.363,283.242,,4.50459,135.086
1.364,283.14,,4.50559,136.352
1.365,283.038,,4.50659,137.617
1.366,282.935,,4.50759,138.879
1.367,282.833,,4.50859,140.14
1.368,282.729,,4.50959,141.398
1.369,282.626,,4.51059,142.639
1.37,282.523,,4.51159,143.695
1.371,282.419,,4.51259,144.747
1.372,282.315,,4.51359,145.796
1.373,282.21,,4.51459,146.841
1.374,282.106,,4.51559,147.882
1.375,282.001,,4.51659,148.92
1.376,281.895,,4.51759,149.913
1.377,281.79,,4.51859,150.835
1.378,281.684,,4.51959,151.753
1.379,281.578,,4.52059,152.667
1.38,281.472,,4.52159,153.577
1.381,281.365,,4.52259,154.483
1.382,281.258,,4.52359,155.385
1.383,281.151,,4.52459,156.284
1.384,281.044,,4.52559,157.178
1.385,280.936,,4.52659,158.069
1.386,280.828,,4.52759,158.956
1.387,280.72,,4.52859,159.84
1.388,280.611,,4.52959,160.72
1.389,280.502,,4.53059,161.597
1.39,280.393,,4.53159,162.47
1.391,280.284,,4.53259,163.34
1.392,280.174,,4.53359,164.206
1.393,280.064,,4.53459,165.07
1.394,279.954,,4.53559,165.93
1.395,279.843,,4.53659,166.787
1.396,279.732,,4.53759,167.64
1.397,279.621,,4.53859,168.491
1.398,279.509,,4.53959,169.339
1.399,279.398,,4.54059,170.184
1.4,279.285,,4.54159,171.026
1.401,279.173,,4.54259,171.865
1.402,279.06,,4.54359,172.701
1.403,278.947,,4.54459,173.534
1.404,278.834,,4.54559,174.365
1.405,278.705,,4.54659,175.193
1.406,278.559,,4.54759,176.018
1.407,278.412,,4.54859,176.841
1.408,278.264,,4.54959,177.661
1.409,278.116,,4.55059,178.479
1.41,277.968,,4.55159,179.294
1.411,277.82,,4.55259,180.106
1.412,277.671,,4.55359,180.917
1.413,277.522,,4.55459,181.724
1.414,277.372,,4.55559,182.53
1.415,277.222,,4.55659,183.333
1.416,277.072,,4.55759,184.134
1.417,276.921,,4.55859,184.932
1.418,276.77,,4.55959,185.729
1.419,276.618,,4.56059,186.523
1.42,276.466,,4.56159,187.315
1.421,276.314,,4.56259,188.104
1.422,276.161,,4.56359,188.892
1.423,276.008,,4.56459,189.678
1.424,275.855,,4.56559,190.462
1.425,275.701,,4.56659,191.243
1.426,275.547,,4.56759,192.023
1.427,275.392,,4.56859,192.801
1.428,275.237,,4.56959,193.576
1.429,275.082,,4.57059,194.35
1.43,274.926,,4.57159,195.122
1.431,274.77,,4.57259,195.893
1.432,274.613,,4.57359,196.661
1.433,274.456,,4.57459,197.428
1.434,274.299,,4.57559,198.193
1.435,274.141,,4.57659,198.956
1.436,273.983,,4.57759,199.717
1.437,273.825,,4.57859,200.477
1.438,273.666,,4.57959,201.101
1.439,273.506,,4.58059,201.693
1.44,273.346,,4.58159,202.283
1.441,273.186,,4.58259,202.871
1.442,273.025,,4.58359,203.457
1.443,272.864,,4.58459,204.04
1.444,272.703,,4.58559,204.622
1.445,272.541,,4.58659,205.201
1.446,272.379,,4.58759,205.779
1.447,272.216,,4.58859,206.354
1.448,272.053,,4.58959,206.928
1.449,271.889,,4.59059,207.499
1.45,271.725,,4.59159,208.069
1.451,271.561,,4.59259,208.636
1.452,271.396,,4.59359,209.202
1.453,271.23,,4.59459,209.765
1.454,271.065,,4.59559,210.327
1.455,270.899,,4.59659,210.887
1.456,270.732,,4.59759,211.445
1.457,270.565,,4.59859,212.001
1.458,270.397,,4.59959,212.556
1.459,270.229,,4.60059,213.108
1.46,270.061,,4.60159,213.588
1.461,269.892,,4.60259,214.057
1.462,269.723,,4.60359,214.525
1.463,269.553,,4.60459,214.991
1.464,269.383,,4.60559,215.456
1.465,269.212,,4.60659,215.918
1.466,269.041,,4.60759,216.378
1.467,268.87,,4.60859,216.837
1.468,268.698,,4.60959,217.294
1.469,268.525,,4.61059,217.749
1.47,268.352,,4.61159,218.202
1.471,268.179,,4.61259,218.654
1.472,268.005,,4.61359,219.103
1.473,267.831,,4.61459,219.551
1.474,267.656,,4.61559,219.997
1.475,267.481,,4.61659,220.442
1.476,267.305,,4.61759,220.885
1.477,267.129,,4.61859,221.326
1.478,266.952,,4.61959,221.765
1.479,266.775,,4.62059,222.203
1.48,266.597,,4.62159,222.639
1.481,266.419,,4.62259,223.074
1.482,266.241,,4.62359,223.507
1.483,266.062,,4.62459,223.938
1.484,265.882,,4.62559,224.368
1.485,265.702,,4.62659,224.796
1.486,265.521,,4.62759,225.222
1.487,265.34,,4.62859,225.647
1.488,265.159,,4.62959,226.071
1.489,264.977,,4.63059,226.493
1.49,264.794,,4.63159,226.913
1.491,264.611,,4.63259,227.332
1.492,264.428,,4.63359,227.749
1.493,264.244,,4.63459,228.165
1.494,264.059,,4.63559,228.579
1.495,263.874,,4.63659,228.992
1.496,263.688,,4.63759,229.404
1.497,263.502,,4.63859,229.814
1.498,263.316,,4.63959,230.222
1.499,263.128,,4.64059,230.629
1.5,262.941,,4.64159,231.035
1.501,262.753,,4.64259,231.439
1.502,262.564,,4.64359,231.842
1.503,262.375,,4.64459,232.244
1.504,262.185,,4.64559,232.644
1.505,261.994,,4.64659,233.043
1.506,261.804,,4.64759,233.44
1.507,261.612,,4.64859,233.836
1.508,261.42,,4.64959,234.231
1.509,261.228,,4.65059,234.624
1.51,261.035,,4.65159,235.016
1.511,260.841,,4.65259,235.407
1.512,260.647,,4.65359,235.796
1.513,260.453,,4.65459,236.185
1.514,260.257,,4.65559,236.571
1.515,260.062,,4.65659,236.957
1.516,259.865,,4.65759,237.341
1.517,259.668,,4.65859,237.724
1.518,259.471,,4.65959,238.106
1.519,259.273,,4.66059,238.487
1.52,259.074,,4.66159,238.866
1.521,258.875,,4.66259,239.244
1.522,258.675,,4.66359,239.621
1.523,258.475,,4.66459,239.997
1.524,258.274,,4.66559,240.371
1.525,258.073,,4.66659,240.744
1.526,257.871,,4.66759,241.116
1.527,257.668,,4.66859,241.487
1.528,257.465,,4.66959,241.857
1.529,257.261,,4.67059,242.226
1.53,257.057,,4.67159,242.593
1.531,256.852,,4.67259,242.959
1.532,256.646,,4.67359,243.324
1.533,256.44,,4.67459,243.688
1.534,256.233,,4.67559,244.051
1.535,256.026,,4.67659,244.413
1.536,255.818,,4.67759,244.773
1.537,255.609,,4.67859,245.133
1.538,255.4,,4.67959,245.491
1.539,255.19,,4.68059,245.849
1.54,254.979,,4.68159,246.205
1.541,254.768,,4.68259,246.56
1.542,254.557,,4.68359,246.914
1.543,254.344,,4.68459,247.267
1.544,254.131,,4.68559,247.619
1.545,253.918,,4.68659,247.97
