Planarity
2.54688e-17, 1.38111e-14, 2.75549e-16, 0, 0, 2.40586e-17, 8.53475e-16, 1.44876e-17, 1.21655e-16, 6.01703e-17, 9.98219e-17, 2.67478e-15, 0, 5.3631e-16, 4.64127e-17, 8.34813e-15, 1.22987e-16, 7.1654e-15, 1.14207e-16, 6.5213e-16, 6.02431e-17, 7.62993e-16, 1.20983e-16, 2.72325e-15, 1.44494e-16, 1.5904e-16, 2.54964e-17, 1.5698e-15, 2.88396e-17, 3.85358e-16, 7.84852e-17, 4.75397e-16, 7.05488e-17, 4.0135e-15, 1.53184e-16, 7.00597e-15, 1.09631e-16, 3.86783e-16, 2.68611e-17, 0, 
Developability
0, 0, 0, 8.88178e-16, 0, 0, 0, 0, 0, 0, 8.88178e-16, 0, 8.88178e-16, 0, 0, 0, 0, 0, 0, 
