Planarity
0, 7.42864e-17, 2.48011e-09, 0, 6.24845e-12, 1.83005e-17, 7.03833e-11, 2.75772e-17, 3.81979e-10, 1.73963e-17, 1.27153e-09, 5.34548e-17, 2.70873e-09, 4.16168e-17, 9.97925e-10, 2.37051e-17, 5.37952e-10, 3.53326e-17, 1.50137e-09, 9.30536e-17, 1.67744e-09, 4.03864e-17, 1.09929e-09, 6.28359e-17, 5.78769e-12, 5.17321e-17, 1.27065e-09, 2.54813e-17, 2.42027e-09, 3.5988e-17, 3.22952e-09, 2.35811e-17, 2.82845e-10, 2.96808e-17, 2.36956e-10, 3.62697e-17, 2.59206e-10, 5.6098e-17, 5.86279e-10, 1.44242e-17, 6.42646e-10, 2.46316e-17, 4.45102e-10, 4.81828e-17, 8.93511e-11, 5.23978e-17, 3.72976e-10, 5.43871e-17, 9.61573e-10, 1.26027e-17, 1.66724e-09, 4.85667e-17, 
Developability
0, 0, 0, 0, 8.88178e-16, 0, 8.88178e-16, 0, 0, 0, 0, 0, 0, 0, 8.88178e-16, 8.88178e-16, 8.88178e-16, 8.88178e-16, 0, 0, 8.88178e-16, 0, 0, 0, 0, 
