Planarity
1.66864e-20, 5.42337e-17, 0, 0, 7.01215e-18, 4.36454e-15, 2.09201e-17, 1.6886e-15, 4.88535e-17, 4.25939e-16, 2.79406e-17, 2.87958e-14, 1.39827e-17, 3.7084e-13, 8.39659e-17, 2.28737e-14, 5.60169e-17, 1.16599e-14, 7.00568e-18, 5.4168e-15, 0, 1.74534e-15, 0, 4.19422e-15, 0, 5.96246e-15, 0, 5.83493e-15, 3.49825e-18, 3.44706e-15, 0, 9.20831e-15, 0, 1.08168e-13, 5.58397e-17, 3.7232e-15, 6.27734e-17, 5.93428e-15, 6.97015e-18, 8.00666e-16, 
Developability
0, 8.88178e-16, 0, 0, 8.88178e-16, 0, 8.88178e-16, 8.88178e-16, 0, 0, 0, 0, 0, 0, 8.88178e-16, 0, 0, 0, 0, 
