Planarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,9.92E-19,0,1.05E-17,1.38E-15,6.97E-18,8.07E-16,3.49E-17,9.35E-16,4.19E-17,1.12E-15,4.19E-17,1.31E-15,8.39E-17,5.89E-16,3.50E-17,2.06E-16,7.00E-18,6.89E-15,3.50E-18,5.04E-15,1.76E-18,2.36E-14,0,2.21E-15,3.50E-18,1.88E-15,0,6.15E-15,4.89E-17,8.82E-16,9.78E-17,3.48E-15,8.38E-17,1.33E-15,1.40E-17,8.66E-16,3.49E-17,4.85E-16, 
Developability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,8.88E-16,0,0,8.88E-16,0,0,0,0,0,0,8.88E-16,8.88E-16,0,0,0,0, ,,,,,,,,,,,,,,,,,,,,,
1.86985E-16,2.36257E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
