Planarity
4.7212e-33, 1.16173e-16, 6.81376e-16, 0, 1.81424e-17, 7.58291e-18, 4.54651e-17, 6.82357e-17, 5.42049e-17, 7.54231e-17, 7.31945e-17, 1.13328e-16, 1.09178e-16, 9.20425e-17, 5.53029e-17, 3.05612e-17, 2.74982e-17, 3.92187e-17, 4.17458e-17, 5.14008e-18, 1.65795e-16, 3.95395e-17, 1.48788e-16, 1.16539e-16, 1.11496e-16, 8.78602e-17, 0, 2.10583e-17, 1.10949e-16, 2.9641e-17, 4.56592e-18, 1.42665e-19, 1.95216e-17, 3.69667e-17, 3.63029e-17, 6.08251e-17, 2.7415e-17, 2.56904e-17, 1.3554e-16, 1.77165e-16, 3.98474e-17, 2.04492e-16, 6.36915e-17, 1.6426e-16, 5.40449e-17, 3.42087e-17, 0, 5.46618e-17, 9.00313e-17, 8.24249e-17, 0, 5.93149e-17, 5.40506e-17, 9.12857e-17, 4.55034e-18, 2.2581e-17, 9.2527e-17, 4.22906e-17, 1.82604e-16, 2.34277e-17, 
Developability
0, 8.88178e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88178e-16, 0, 0, 0, 0, 8.88178e-16, 8.88178e-16, 0, 0, 0, 0, 0, 
