a(radian),a(degree),Eruling, Ebend
0.144,8.25059, 297.136, 100.638, 1
0.145,8.30789, 297.132, 99.8934, 1
0.146,8.36518, 297.128, 99.1591, 1
0.147,8.42248, 297.124, 98.4347, 1
0.148,8.47978, 297.12, 97.72, 1
0.149,8.53707, 297.116, 97.0148, 1
0.15,8.59437, 297.113, 96.319, 1
0.151,8.65166, 297.109, 95.6322, 1
0.152,8.70896, 297.105, 94.9544, 1
0.153,8.76625, 297.101, 94.2854, 1
0.154,8.82355, 297.097, 93.6249, 1
0.155,8.88085, 297.093, 92.9729, 1
0.156,8.93814, 297.089, 92.3291, 1
0.157,8.99544, 297.085, 91.6934, 1
0.158,9.05273, 297.081, 91.0656, 1
0.159,9.11003, 297.077, 90.4456, 1
0.16,9.16732, 297.073, 89.8333, 1
0.161,9.22462, 297.069, 89.2284, 1
0.162,9.28192, 297.065, 88.6309, 1
0.163,9.33921, 297.061, 88.0406, 1
0.164,9.39651, 297.056, 87.4574, 1
0.165,9.4538, 297.052, 86.8812, 1
0.166,9.5111, 297.048, 86.3118, 1
0.167,9.5684, 297.044, 85.7491, 1
0.168,9.62569, 297.04, 85.1929, 1
0.169,9.68299, 297.036, 84.6433, 1
0.17,9.74028, 297.032, 84.1, 1
0.171,9.79758, 297.028, 83.5629, 1
0.172,9.85487, 297.023, 83.032, 1
0.173,9.91217, 297.019, 82.5071, 1
0.174,9.96947, 297.015, 81.9881, 1
0.175,10.0268, 297.011, 81.475, 1
0.176,10.0841, 297.007, 80.9675, 1
0.177,10.1414, 297.002, 80.4657, 1
0.178,10.1986, 296.998, 79.9695, 1
0.179,10.2559, 296.994, 79.4787, 1
0.18,10.3132, 296.989, 78.9932, 1
0.181,10.3705, 296.985, 78.513, 1
0.182,10.4278, 296.981, 78.038, 1
0.183,10.4851, 296.977, 77.568, 1
0.184,10.5424, 296.972, 77.1031, 1
0.185,10.5997, 296.968, 76.6432, 1
0.186,10.657, 296.964, 76.188, 1
0.187,10.7143, 296.959, 75.7377, 1
0.188,10.7716, 296.955, 75.292, 1
0.189,10.8289, 296.95, 74.851, 1
0.19,10.8862, 296.946, 74.4146, 1
0.191,10.9435, 296.942, 73.9826, 1
0.192,11.0008, 296.937, 73.555, 1
0.193,11.0581, 296.933, 73.1318, 1
0.194,11.1154, 296.928, 72.7129, 1
0.195,11.1727, 296.924, 72.2982, 1
0.196,11.23, 296.919, 71.8877, 1
0.197,11.2873, 296.915, 71.4813, 1
0.198,11.3446, 296.91, 71.0789, 1
0.199,11.4019, 296.906, 70.6804, 1
0.2,11.4592, 296.901, 70.2859, 1
0.201,11.5165, 296.897, 69.8953, 1
0.202,11.5737, 296.892, 69.5084, 1
0.203,11.631, 296.888, 69.1253, 1
0.204,11.6883, 296.883, 68.7459, 1
0.205,11.7456, 296.879, 68.3702, 1
0.206,11.8029, 296.874, 67.998, 1
0.207,11.8602, 296.869, 67.6294, 1
0.208,11.9175, 296.865, 67.2642, 1
0.209,11.9748, 296.86, 66.9025, 1
0.21,12.0321, 296.855, 66.5442, 1
0.211,12.0894, 296.851, 66.1893, 1
0.212,12.1467, 296.846, 65.8376, 1
0.213,12.204, 296.841, 65.4892, 1
0.214,12.2613, 296.837, 65.144, 1
0.215,12.3186, 296.832, 64.802, 1
0.216,12.3759, 296.827, 64.4631, 1
0.217,12.4332, 296.823, 64.1273, 1
0.218,12.4905, 296.818, 63.7946, 1
0.219,12.5478, 296.813, 63.4648, 1
0.22,12.6051, 296.808, 63.138, 1
0.221,12.6624, 296.804, 62.8141, 1
0.222,12.7197, 296.799, 62.4931, 1
0.223,12.777, 296.794, 62.175, 1
0.224,12.8343, 296.789, 61.8596, 1
0.225,12.8916, 296.784, 61.5471, 1
0.226,12.9488, 296.779, 61.2373, 1
0.227,13.0061, 296.775, 60.9301, 1
0.228,13.0634, 296.77, 60.6257, 1
0.229,13.1207, 296.765, 60.3239, 1
0.23,13.178, 296.76, 60.0247, 1
0.231,13.2353, 296.755, 59.728, 1
0.232,13.2926, 296.75, 59.4339, 1
0.233,13.3499, 296.745, 59.1423, 1
0.234,13.4072, 296.74, 58.8532, 1
0.235,13.4645, 296.735, 58.5665, 1
0.236,13.5218, 296.73, 58.2823, 1
0.237,13.5791, 296.725, 58.0004, 1
0.238,13.6364, 296.72, 57.7208, 1
0.239,13.6937, 296.715, 57.4436, 1
0.24,13.751, 296.71, 57.1687, 1
0.241,13.8083, 296.705, 56.8961, 1
0.242,13.8656, 296.7, 56.6257, 1
0.243,13.9229, 296.695, 56.3576, 1
0.244,13.9802, 296.69, 56.0916, 1
0.245,14.0375, 296.685, 55.8278, 1
0.246,14.0948, 296.68, 55.5661, 1
0.247,14.1521, 296.675, 55.3065, 1
0.248,14.2094, 296.67, 55.0491, 1
0.249,14.2666, 296.664, 54.7937, 1
0.25,14.3239, 296.659, 54.5403, 1
0.251,14.3812, 296.654, 54.289, 1
0.252,14.4385, 296.649, 54.0396, 1
0.253,14.4958, 296.644, 53.7922, 1
0.254,14.5531, 296.639, 53.5468, 1
0.255,14.6104, 296.633, 53.3033, 1
0.256,14.6677, 296.628, 53.0617, 1
0.257,14.725, 296.623, 52.822, 1
0.258,14.7823, 296.618, 52.5842, 1
0.259,14.8396, 296.612, 52.3482, 1
0.26,14.8969, 296.607, 52.114, 1
0.261,14.9542, 296.602, 51.8816, 1
0.262,15.0115, 296.596, 51.651, 1
0.263,15.0688, 296.591, 51.4221, 1
0.264,15.1261, 296.586, 51.195, 1
0.265,15.1834, 296.58, 50.9697, 1
0.266,15.2407, 296.575, 50.746, 1
0.267,15.298, 296.57, 50.524, 1
0.268,15.3553, 296.564, 50.3037, 1
0.269,15.4126, 296.559, 50.085, 1
0.27,15.4699, 296.553, 49.868, 1
0.271,15.5272, 296.548, 49.6526, 1
0.272,15.5845, 296.543, 49.4387, 1
0.273,15.6417, 296.537, 49.2265, 1
0.274,15.699, 296.532, 49.0158, 1
0.275,15.7563, 296.526, 48.8067, 1
0.276,15.8136, 296.521, 48.5991, 1
0.277,15.8709, 296.515, 48.393, 1
0.278,15.9282, 296.51, 48.1884, 1
0.279,15.9855, 296.504, 47.9853, 1
0.28,16.0428, 296.499, 47.7837, 1
0.281,16.1001, 296.493, 47.5835, 1
0.282,16.1574, 296.487, 47.3847, 1
0.283,16.2147, 296.482, 47.1874, 1
0.284,16.272, 296.476, 46.9915, 1
0.285,16.3293, 296.471, 46.797, 1
0.286,16.3866, 296.465, 46.6039, 1
0.287,16.4439, 296.459, 46.4121, 1
0.288,16.5012, 296.454, 46.2217, 1
0.289,16.5585, 296.448, 46.0326, 1
0.29,16.6158, 296.442, 45.8448, 1
0.291,16.6731, 296.437, 45.6584, 1
0.292,16.7304, 296.431, 45.4732, 1
0.293,16.7877, 296.425, 45.2894, 1
0.294,16.845, 296.419, 45.1068, 1
0.295,16.9023, 296.414, 44.9255, 1
0.296,16.9596, 296.408, 44.7454, 1
0.297,17.0168, 296.402, 44.5665, 1
0.298,17.0741, 296.396, 44.3889, 1
0.299,17.1314, 296.391, 44.2125, 1
0.3,17.1887, 296.385, 44.0373, 1
0.301,17.246, 296.379, 43.8633, 1
0.302,17.3033, 296.373, 43.6905, 1
0.303,17.3606, 296.367, 43.5188, 1
0.304,17.4179, 296.361, 43.3483, 1
0.305,17.4752, 296.355, 43.1789, 1
0.306,17.5325, 296.35, 43.0107, 1
0.307,17.5898, 296.344, 42.8436, 1
0.308,17.6471, 296.338, 42.6775, 1
0.309,17.7044, 296.332, 42.5126, 1
0.31,17.7617, 296.326, 42.3488, 1
0.311,17.819, 296.32, 42.1861, 1
0.312,17.8763, 296.314, 42.0244, 1
0.313,17.9336, 296.308, 41.8638, 1
0.314,17.9909, 296.302, 41.7043, 1
0.315,18.0482, 296.296, 41.5458, 1
0.316,18.1055, 296.29, 41.3883, 1
0.317,18.1628, 296.284, 41.2318, 1
0.318,18.2201, 296.278, 41.0764, 1
0.319,18.2774, 296.272, 40.9219, 1
0.32,18.3346, 296.266, 40.7685, 1
0.321,18.3919, 296.259, 40.616, 1
0.322,18.4492, 296.253, 40.4645, 1
0.323,18.5065, 296.247, 40.314, 1
0.324,18.5638, 296.241, 40.1644, 1
0.325,18.6211, 296.235, 40.0158, 1
0.326,18.6784, 296.229, 39.8681, 1
0.327,18.7357, 296.223, 39.7214, 1
0.328,18.793, 296.216, 39.5756, 1
0.329,18.8503, 296.21, 39.4307, 1
0.33,18.9076, 296.204, 39.2867, 1
0.331,18.9649, 296.198, 39.1436, 1
0.332,19.0222, 296.191, 39.0014, 1
0.333,19.0795, 296.185, 38.8601, 1
0.334,19.1368, 296.179, 38.7196, 1
0.335,19.1941, 296.172, 38.5801, 1
0.336,19.2514, 296.166, 38.4414, 1
0.337,19.3087, 296.16, 38.3035, 1
0.338,19.366, 296.153, 38.1665, 1
0.339,19.4233, 296.147, 38.0303, 1
0.34,19.4806, 296.141, 37.895, 1
0.341,19.5379, 296.134, 37.7604, 1
0.342,19.5952, 296.128, 37.6267, 1
0.343,19.6525, 296.122, 37.4939, 1
0.344,19.7097, 296.115, 37.3618, 1
0.345,19.767, 296.109, 37.2305, 1
0.346,19.8243, 296.102, 37.1, 1
0.347,19.8816, 296.096, 36.9703, 1
0.348,19.9389, 296.089, 36.8413, 1
0.349,19.9962, 296.083, 36.7131, 1
0.35,20.0535, 296.076, 36.5857, 1
0.351,20.1108, 296.07, 36.4591, 1
0.352,20.1681, 296.063, 36.3332, 1
0.353,20.2254, 296.057, 36.208, 1
0.354,20.2827, 296.05, 36.0836, 1
0.355,20.34, 296.043, 35.9599, 1
0.356,20.3973, 296.037, 35.837, 1
0.357,20.4546, 296.03, 35.7147, 1
0.358,20.5119, 296.024, 35.5932, 1
0.359,20.5692, 296.017, 35.4724, 1
0.36,20.6265, 296.01, 35.3522, 1
0.361,20.6838, 296.004, 35.2328, 1
0.362,20.7411, 295.997, 35.1141, 1
0.363,20.7984, 295.99, 34.996, 1
0.364,20.8557, 295.983, 34.8787, 1
0.365,20.913, 295.977, 34.762, 1
0.366,20.9703, 295.97, 34.646, 1
0.367,21.0276, 295.963, 34.5306, 1
0.368,21.0848, 295.956, 34.4159, 1
0.369,21.1421, 295.95, 34.3019, 1
0.37,21.1994, 295.943, 34.1885, 1
0.371,21.2567, 295.936, 34.0757, 1
0.372,21.314, 295.929, 33.9636, 1
0.373,21.3713, 295.922, 33.8521, 1
0.374,21.4286, 295.915, 33.7412, 1
0.375,21.4859, 295.909, 33.631, 1
0.376,21.5432, 295.902, 33.5214, 1
0.377,21.6005, 295.895, 33.4123, 1
0.378,21.6578, 295.888, 33.3039, 1
0.379,21.7151, 295.881, 33.1961, 1
0.38,21.7724, 295.874, 33.0889, 1
0.381,21.8297, 295.867, 32.9823, 1
0.382,21.887, 295.86, 32.8763, 1
0.383,21.9443, 295.853, 32.7709, 1
0.384,22.0016, 295.846, 32.666, 1
0.385,22.0589, 295.839, 32.5617, 1
0.386,22.1162, 295.832, 32.458, 1
0.387,22.1735, 295.825, 32.3549, 1
0.388,22.2308, 295.818, 32.2523, 1
0.389,22.2881, 295.811, 32.1502, 1
0.39,22.3454, 295.803, 32.0488, 1
0.391,22.4026, 295.796, 31.9478, 1
0.392,22.4599, 295.789, 31.8475, 1
0.393,22.5172, 295.782, 31.7476, 1
0.394,22.5745, 295.775, 31.6483, 1
0.395,22.6318, 295.768, 31.5496, 1
0.396,22.6891, 295.76, 31.4513, 1
0.397,22.7464, 295.753, 31.3536, 1
0.398,22.8037, 295.746, 31.2564, 1
0.399,22.861, 295.739, 31.1597, 1
0.4,22.9183, 295.731, 31.0636, 1
0.401,22.9756, 295.724, 30.9679, 1
0.402,23.0329, 295.717, 30.8728, 1
0.403,23.0902, 295.71, 30.7781, 1
0.404,23.1475, 295.702, 30.684, 1
0.405,23.2048, 295.695, 30.5903, 1
0.406,23.2621, 295.688, 30.4971, 1
0.407,23.3194, 295.68, 30.4045, 1
0.408,23.3767, 295.673, 30.3123, 1
0.409,23.434, 295.665, 30.2206, 1
0.41,23.4913, 295.658, 30.1293, 1
0.411,23.5486, 295.651, 30.0385, 1
0.412,23.6059, 295.643, 29.9482, 1
0.413,23.6632, 295.636, 29.8584, 1
0.414,23.7205, 295.628, 29.769, 1
0.415,23.7777, 295.621, 29.6801, 1
0.416,23.835, 295.613, 29.5917, 1
0.417,23.8923, 295.606, 29.5037, 1
0.418,23.9496, 295.598, 29.4161, 1
0.419,24.0069, 295.59, 29.329, 1
0.42,24.0642, 295.583, 29.2424, 1
0.421,24.1215, 295.575, 29.1562, 1
0.422,24.1788, 295.568, 29.0704, 1
0.423,24.2361, 295.56, 28.985, 1
0.424,24.2934, 295.552, 28.9001, 1
0.425,24.3507, 295.545, 28.8156, 1
0.426,24.408, 295.537, 28.7315, 1
0.427,24.4653, 295.529, 28.6479, 1
0.428,24.5226, 295.522, 28.5647, 1
0.429,24.5799, 295.514, 28.4818, 1
0.43,24.6372, 295.506, 28.3994, 1
0.431,24.6945, 295.499, 28.3175, 1
0.432,24.7518, 295.491, 28.2359, 1
0.433,24.8091, 295.483, 28.1547, 1
0.434,24.8664, 295.475, 28.0739, 1
0.435,24.9237, 295.467, 27.9935, 1
0.436,24.981, 295.46, 27.9136, 1
0.437,25.0383, 295.452, 27.834, 1
0.438,25.0956, 295.444, 27.7548, 1
0.439,25.1528, 295.436, 27.676, 1
0.44,25.2101, 295.428, 27.5975, 1
0.441,25.2674, 295.42, 27.5195, 1
0.442,25.3247, 295.412, 27.4418, 1
0.443,25.382, 295.404, 27.3645, 1
0.444,25.4393, 295.396, 27.2876, 1
0.445,25.4966, 295.388, 27.2111, 1
0.446,25.5539, 295.38, 27.1349, 1
0.447,25.6112, 295.372, 27.0591, 1
0.448,25.6685, 295.364, 26.9837, 1
0.449,25.7258, 295.356, 26.9086, 1
0.45,25.7831, 295.348, 26.8339, 1
0.451,25.8404, 295.34, 26.7595, 1
0.452,25.8977, 295.332, 26.6855, 1
0.453,25.955, 295.324, 26.6118, 1
0.454,26.0123, 295.316, 26.5385, 1
0.455,26.0696, 295.308, 26.4656, 1
0.456,26.1269, 295.299, 26.393, 1
0.457,26.1842, 295.291, 26.3207, 1
0.458,26.2415, 295.283, 26.2488, 1
0.459,26.2988, 295.275, 26.1772, 1
0.46,26.3561, 295.267, 26.1059, 1
0.461,26.4134, 295.258, 26.035, 1
0.462,26.4707, 295.25, 25.9644, 1
0.463,26.5279, 295.242, 25.8942, 1
0.464,26.5852, 295.234, 25.8242, 1
0.465,26.6425, 295.225, 25.7546, 1
0.466,26.6998, 295.217, 25.6854, 1
0.467,26.7571, 295.209, 25.6164, 1
0.468,26.8144, 295.2, 25.5478, 1
0.469,26.8717, 295.192, 25.4794, 1
0.47,26.929, 295.183, 25.4114, 1
0.471,26.9863, 295.175, 25.3437, 1
0.472,27.0436, 295.167, 25.2764, 1
0.473,27.1009, 295.158, 25.2093, 1
0.474,27.1582, 295.15, 25.1425, 1
0.475,27.2155, 295.141, 25.0761, 1
0.476,27.2728, 295.133, 25.0099, 1
0.477,27.3301, 295.124, 24.944, 1
0.478,27.3874, 295.116, 24.8785, 1
0.479,27.4447, 295.107, 24.8132, 1
0.48,27.502, 295.098, 24.7482, 1
0.481,27.5593, 295.09, 24.6836, 1
0.482,27.6166, 295.081, 24.6192, 1
0.483,27.6739, 295.073, 24.5551, 1
0.484,27.7312, 295.064, 24.4913, 1
0.485,27.7885, 295.055, 24.4278, 1
0.486,27.8457, 295.047, 24.3645, 1
0.487,27.903, 295.038, 24.3016, 1
0.488,27.9603, 295.029, 24.2389, 1
0.489,28.0176, 295.021, 24.1765, 1
0.49,28.0749, 295.012, 24.1144, 1
0.491,28.1322, 295.003, 24.0526, 1
0.492,28.1895, 294.994, 23.991, 1
0.493,28.2468, 294.986, 23.9297, 1
0.494,28.3041, 294.977, 23.8687, 1
0.495,28.3614, 294.968, 23.808, 1
0.496,28.4187, 294.959, 23.7475, 1
0.497,28.476, 294.95, 23.6873, 1
0.498,28.5333, 294.941, 23.6273, 1
0.499,28.5906, 294.932, 23.5676, 1
0.5,28.6479, 294.923, 23.5082, 1
0.501,28.7052, 294.915, 23.449, 1
0.502,28.7625, 294.906, 23.3901, 1
0.503,28.8198, 294.897, 23.3314, 1
0.504,28.8771, 294.888, 23.273, 1
0.505,28.9344, 294.879, 23.2149, 1
0.506,28.9917, 294.87, 23.157, 1
0.507,29.049, 294.861, 23.0993, 1
0.508,29.1063, 294.851, 23.0419, 1
0.509,29.1636, 294.842, 22.9847, 1
0.51,29.2208, 294.833, 22.9278, 1
0.511,29.2781, 294.824, 22.8712, 1
0.512,29.3354, 294.815, 22.8147, 1
0.513,29.3927, 294.806, 22.7586, 1
0.514,29.45, 294.797, 22.7026, 1
0.515,29.5073, 294.787, 22.6469, 1
0.516,29.5646, 294.778, 22.5914, 1
0.517,29.6219, 294.769, 22.5362, 1
0.518,29.6792, 294.76, 22.4812, 1
0.519,29.7365, 294.751, 22.4264, 1
0.52,29.7938, 294.741, 22.3719, 1
0.521,29.8511, 294.732, 22.3176, 1
0.522,29.9084, 294.723, 22.2635, 1
0.523,29.9657, 294.713, 22.2096, 1
0.524,30.023, 294.704, 22.156, 1
0.525,30.0803, 294.695, 22.1026, 1
0.526,30.1376, 294.685, 22.0494, 1
0.527,30.1949, 294.676, 21.9965, 1
0.528,30.2522, 294.666, 21.9437, 1
0.529,30.3095, 294.657, 21.8912, 1
0.53,30.3668, 294.647, 21.8389, 1
0.531,30.4241, 294.638, 21.7868, 1
0.532,30.4814, 294.628, 21.7349, 1
0.533,30.5387, 294.619, 21.6833, 1
0.534,30.5959, 294.609, 21.6318, 1
0.535,30.6532, 294.6, 21.5806, 1
0.536,30.7105, 294.59, 21.5296, 1
0.537,30.7678, 294.581, 21.4788, 1
0.538,30.8251, 294.571, 21.4281, 1
0.539,30.8824, 294.561, 21.3777, 1
0.54,30.9397, 294.552, 21.3275, 1
0.541,30.997, 294.542, 21.2776, 1
0.542,31.0543, 294.532, 21.2278, 1
0.543,31.1116, 294.523, 21.1782, 1
0.544,31.1689, 294.513, 21.1288, 1
0.545,31.2262, 294.503, 21.0796, 1
