a(radian), a(degree) , Eruling, Ebend, Ebend
3.27159, 187.448 , 300.943, 122.513, 1
3.27259, 187.506 , 300.938, 120.987, 1
3.27359, 187.563 , 300.932, 119.499, 1
3.27459, 187.62 , 300.926, 118.049, 1
3.27559, 187.678 , 300.921, 116.635, 1
3.27659, 187.735 , 300.915, 115.257, 1
3.27759, 187.792 , 300.909, 113.913, 1
3.27859, 187.85 , 300.903, 112.603, 1
3.27959, 187.907 , 300.897, 111.324, 1
3.28059, 187.964 , 300.891, 110.077, 1
3.28159, 188.021 , 300.885, 108.86, 1
3.28259, 188.079 , 300.879, 107.674, 1
3.28359, 188.136 , 300.873, 106.515, 1
3.28459, 188.193 , 300.867, 105.385, 1
3.28559, 188.251 , 300.86, 104.282, 1
3.28659, 188.308 , 300.854, 103.205, 1
3.28759, 188.365 , 300.848, 102.155, 1
3.28859, 188.422 , 300.841, 101.129, 1
3.28959, 188.48 , 300.835, 100.128, 1
3.29059, 188.537 , 300.828, 99.15, 1
3.29159, 188.594 , 300.822, 98.1955, 1
3.29259, 188.652 , 300.815, 97.2637, 1
3.29359, 188.709 , 300.809, 96.3538, 1
3.29459, 188.766 , 300.802, 95.4654, 1
3.29559, 188.824 , 300.795, 94.5978, 1
3.29659, 188.881 , 300.788, 93.7507, 1
3.29759, 188.938 , 300.782, 92.9235, 1
3.29859, 188.995 , 300.775, 92.1157, 1
3.29959, 189.053 , 300.768, 91.3268, 1
3.30059, 189.11 , 300.761, 90.5565, 1
3.30159, 189.167 , 300.754, 89.8042, 1
3.30259, 189.225 , 300.747, 89.0697, 1
3.30359, 189.282 , 300.739, 88.3524, 1
3.30459, 189.339 , 300.732, 87.652, 1
3.30559, 189.397 , 300.725, 86.9681, 1
3.30659, 189.454 , 300.718, 86.3003, 1
3.30759, 189.511 , 300.71, 85.6484, 1
3.30859, 189.568 , 300.703, 85.0119, 1
3.30959, 189.626 , 300.695, 84.3905, 1
3.31059, 189.683 , 300.688, 83.784, 1
3.31159, 189.74 , 300.68, 83.192, 1
3.31259, 189.798 , 300.673, 82.6142, 1
3.31359, 189.855 , 300.665, 82.0504, 1
3.31459, 189.912 , 300.657, 81.5002, 1
3.31559, 189.969 , 300.65, 80.9634, 1
3.31659, 190.027 , 300.642, 80.4398, 1
3.31759, 190.084 , 300.634, 79.929, 1
3.31859, 190.141 , 300.626, 79.431, 1
3.31959, 190.199 , 300.618, 78.9453, 1
3.32059, 190.256 , 300.61, 78.4718, 1
3.32159, 190.313 , 300.602, 78.0103, 1
3.32259, 190.371 , 300.594, 77.5606, 1
3.32359, 190.428 , 300.586, 77.1225, 1
3.32459, 190.485 , 300.577, 76.6957, 1
3.32559, 190.542 , 300.569, 76.2801, 1
3.32659, 190.6 , 300.561, 75.8755, 1
3.32759, 190.657 , 300.552, 75.4818, 1
3.32859, 190.714 , 300.544, 75.0987, 1
3.32959, 190.772 , 300.535, 74.7261, 1
3.33059, 190.829 , 300.527, 74.3638, 1
3.33159, 190.886 , 300.518, 74.0118, 1
3.33259, 190.943 , 300.51, 73.6697, 1
3.33359, 191.001 , 300.501, 73.3376, 1
3.33459, 191.058 , 300.492, 73.0152, 1
3.33559, 191.115 , 300.483, 72.7025, 1
3.33659, 191.173 , 300.475, 72.3993, 1
3.33759, 191.23 , 300.466, 72.1054, 1
3.33859, 191.287 , 300.457, 71.8208, 1
3.33959, 191.345 , 300.448, 71.5454, 1
3.34059, 191.402 , 300.439, 71.279, 1
3.34159, 191.459 , 300.429, 71.0216, 1
3.34259, 191.516 , 300.42, 70.773, 1
3.34359, 191.574 , 300.411, 70.5332, 1
3.34459, 191.631 , 300.402, 70.302, 1
3.34559, 191.688 , 300.392, 70.0794, 1
3.34659, 191.746 , 300.383, 69.8653, 1
3.34759, 191.803 , 300.374, 69.6596, 1
3.34859, 191.86 , 300.364, 69.4622, 1
3.34959, 191.918 , 300.355, 69.2732, 1
3.35059, 191.975 , 300.345, 69.0923, 1
3.35159, 192.032 , 300.335, 68.9195, 1
3.35259, 192.089 , 300.326, 68.7549, 1
3.35359, 192.147 , 300.316, 68.5983, 1
3.35459, 192.204 , 300.306, 68.4496, 1
3.35559, 192.261 , 300.296, 68.3089, 1
3.35659, 192.319 , 300.286, 68.1761, 1
3.35759, 192.376 , 300.276, 68.0511, 1
3.35859, 192.433 , 300.266, 67.9339, 1
3.35959, 192.49 , 300.256, 67.8245, 1
3.36059, 192.548 , 300.246, 67.7228, 1
3.36159, 192.605 , 300.236, 67.6288, 1
3.36259, 192.662 , 300.225, 67.5425, 1
3.36359, 192.72 , 300.215, 67.4639, 1
3.36459, 192.777 , 300.205, 67.3929, 1
3.36559, 192.834 , 300.194, 67.3296, 1
3.36659, 192.892 , 300.184, 67.2738, 1
3.36759, 192.949 , 300.173, 67.2257, 1
3.36859, 193.006 , 300.163, 67.1852, 1
