Planarity
6.86651e-17, 7.88591e-17, 8.17905e-17, 3.89928e-17, 0, 4.33227e-18, 0, 0, 0, 4.33193e-18, 4.61212e-18, 0, 4.46094e-18, 8.6635e-18, 4.37695e-18, 1.08293e-17, 4.3616e-18, 0, 1.1039e-18, 0, 0, 8.79881e-19, 0, 1.08294e-18, 4.98276e-18, 4.33187e-18, 0, 2.1944e-18, 0, 3.03255e-17, 0, 4.33251e-18, 2.56941e-17, 1.29988e-17, 1.38275e-17, 4.3335e-18, 0, 1.7337e-17, 3.88044e-18, 8.67031e-18, 5.39304e-17, 3.90259e-17, 1.11669e-16, 7.80722e-17, 4.81899e-17, 4.33849e-17, 0, 1.08489e-18, 2.56585e-19, 2.03457e-19, 5.19221e-18, 0, 3.3732e-17, 4.61786e-17, 7.89266e-17, 9.5507e-17, 4.32003e-17, 4.77492e-17, 3.63932e-17, 4.77418e-17, 4.77519e-17, 4.33926e-17, 1.70487e-17, 3.47055e-17, 4.3799e-17, 6.07183e-17, 3.26048e-17, 2.60149e-17, 1.38242e-17, 1.73385e-17, 8.77063e-18, 4.33347e-18, 1.38577e-18, 0, 5.0128e-18, 2.1657e-18, 2.49918e-18, 1.09683e-18, 0, 0, 
Developability
-8.88178e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8.88178e-16, 0, 0, 0, 0, 0, 
