a(radian), a(degree) , Eruling, Ebend, Ebend
3.26659, 187.162 , 65.9999, 111.939, 1
3.26759, 187.219 , 65.999, 109.581, 1
3.26859, 187.277 , 65.9982, 107.31, 1
3.26959, 187.334 , 65.9974, 105.123, 1
3.27059, 187.391 , 65.9965, 103.015, 1
3.27159, 187.448 , 65.9957, 100.983, 1
3.27259, 187.506 , 65.9948, 99.0217, 1
3.27359, 187.563 , 65.9939, 97.1292, 1
3.27459, 187.62 , 65.9931, 95.3019, 1
3.27559, 187.678 , 65.9922, 93.5368, 1
3.27659, 187.735 , 65.9913, 91.831, 1
3.27759, 187.792 , 65.9904, 90.1819, 1
3.27859, 187.85 , 65.9895, 88.587, 1
3.27959, 187.907 , 65.9886, 87.0439, 1
3.28059, 187.964 , 65.9877, 85.5505, 1
3.28159, 188.021 , 65.9867, 84.1044, 1
3.28259, 188.079 , 65.9858, 82.7039, 1
3.28359, 188.136 , 65.9849, 81.347, 1
3.28459, 188.193 , 65.9839, 80.0319, 1
3.28559, 188.251 , 65.983, 78.757, 1
3.28659, 188.308 , 65.982, 77.5205, 1
3.28759, 188.365 , 65.981, 76.3211, 1
3.28859, 188.422 , 65.9801, 75.1573, 1
3.28959, 188.48 , 65.9791, 74.0276, 1
3.29059, 188.537 , 65.9781, 72.9309, 1
3.29159, 188.594 , 65.9771, 71.8658, 1
3.29259, 188.652 , 65.9761, 70.8312, 1
3.29359, 188.709 , 65.9751, 69.826, 1
3.29459, 188.766 , 65.9741, 68.8491, 1
3.29559, 188.824 , 65.973, 67.8995, 1
3.29659, 188.881 , 65.972, 66.9762, 1
3.29759, 188.938 , 65.971, 66.0783, 1
3.29859, 188.995 , 65.9699, 65.2049, 1
3.29959, 189.053 , 65.9689, 64.3553, 1
3.30059, 189.11 , 65.9678, 63.5285, 1
3.30159, 189.167 , 65.9667, 62.7238, 1
3.30259, 189.225 , 65.9657, 61.9405, 1
3.30359, 189.282 , 65.9646, 61.1779, 1
3.30459, 189.339 , 65.9635, 60.4354, 1
3.30559, 189.397 , 65.9624, 59.7122, 1
3.30659, 189.454 , 65.9613, 59.0077, 1
3.30759, 189.511 , 65.9602, 58.3215, 1
3.30859, 189.568 , 65.9591, 57.6529, 1
3.30959, 189.626 , 65.9579, 57.0013, 1
3.31059, 189.683 , 65.9568, 56.3663, 1
3.31159, 189.74 , 65.9557, 55.7474, 1
3.31259, 189.798 , 65.9545, 55.1441, 1
3.31359, 189.855 , 65.9534, 54.5559, 1
3.31459, 189.912 , 65.9522, 53.9824, 1
3.31559, 189.969 , 65.951, 53.4232, 1
3.31659, 190.027 , 65.9499, 52.8778, 1
3.31759, 190.084 , 65.9487, 52.346, 1
3.31859, 190.141 , 65.9475, 51.8272, 1
3.31959, 190.199 , 65.9463, 51.3213, 1
3.32059, 190.256 , 65.9451, 50.8277, 1
3.32159, 190.313 , 65.9439, 50.3462, 1
3.32259, 190.371 , 65.9427, 49.8765, 1
3.32359, 190.428 , 65.9414, 49.4182, 1
3.32459, 190.485 , 65.9402, 48.9711, 1
3.32559, 190.542 , 65.939, 48.5348, 1
3.32659, 190.6 , 65.9377, 48.1092, 1
3.32759, 190.657 , 65.9365, 47.6939, 1
3.32859, 190.714 , 65.9352, 47.2887, 1
3.32959, 190.772 , 65.9339, 46.8933, 1
3.33059, 190.829 , 65.9327, 46.5075, 1
3.33159, 190.886 , 65.9314, 46.1311, 1
3.33259, 190.943 , 65.9301, 45.7639, 1
3.33359, 191.001 , 65.9288, 45.4056, 1
3.33459, 191.058 , 65.9275, 45.056, 1
3.33559, 191.115 , 65.9262, 44.715, 1
3.33659, 191.173 , 65.9248, 44.3824, 1
3.33759, 191.23 , 65.9235, 44.0579, 1
3.33859, 191.287 , 65.9222, 43.7414, 1
3.33959, 191.345 , 65.9208, 43.4328, 1
3.34059, 191.402 , 65.9195, 43.1318, 1
3.34159, 191.459 , 65.9181, 42.8384, 1
3.34259, 191.516 , 65.9168, 42.5522, 1
3.34359, 191.574 , 65.9154, 42.2733, 1
3.34459, 191.631 , 65.914, 42.0015, 1
3.34559, 191.688 , 65.9126, 41.7366, 1
3.34659, 191.746 , 65.9112, 41.4785, 1
3.34759, 191.803 , 65.9098, 41.227, 1
3.34859, 191.86 , 65.9084, 40.9821, 1
3.34959, 191.918 , 65.907, 40.7436, 1
3.35059, 191.975 , 65.9056, 40.5115, 1
3.35159, 192.032 , 65.9042, 40.2855, 1
3.35259, 192.089 , 65.9027, 40.0656, 1
3.35359, 192.147 , 65.9013, 39.8518, 1
3.35459, 192.204 , 65.8998, 39.6438, 1
3.35559, 192.261 , 65.8984, 39.4416, 1
3.35659, 192.319 , 65.8969, 39.2452, 1
3.35759, 192.376 , 65.8954, 39.0543, 1
3.35859, 192.433 , 65.8939, 38.869, 1
3.35959, 192.49 , 65.8925, 38.6892, 1
3.36059, 192.548 , 65.891, 38.5147, 1
3.36159, 192.605 , 65.8895, 38.3455, 1
3.36259, 192.662 , 65.8879, 38.1816, 1
3.36359, 192.72 , 65.8864, 38.0228, 1
3.36459, 192.777 , 65.8849, 37.8691, 1
3.36559, 192.834 , 65.8834, 37.7204, 1
3.36659, 192.892 , 65.8818, 37.5767, 1
3.36759, 192.949 , 65.8803, 37.4379, 1
3.36859, 193.006 , 65.8787, 37.3039, 1
3.36959, 193.063 , 65.8772, 37.1748, 1
3.37059, 193.121 , 65.8756, 37.0503, 1
3.37159, 193.178 , 65.874, 36.9306, 1
3.37259, 193.235 , 65.8724, 36.8155, 1
3.37359, 193.293 , 65.8708, 36.7051, 1
3.37459, 193.35 , 65.8692, 36.5992, 1
3.37559, 193.407 , 65.8676, 36.4978, 1
3.37659, 193.465 , 65.866, 36.4009, 1
3.37759, 193.522 , 65.8644, 36.3084, 1
3.37859, 193.579 , 65.8627, 36.2204, 1
3.37959, 193.636 , 65.8611, 36.1367, 1
3.38059, 193.694 , 65.8595, 36.0574, 1
3.38159, 193.751 , 65.8578, 35.9824, 1
3.38259, 193.808 , 65.8561, 35.9117, 1
3.38359, 193.866 , 65.8545, 35.8453, 1
3.38459, 193.923 , 65.8528, 35.7832, 1
3.38559, 193.98 , 65.8511, 35.7253, 1
3.38659, 194.037 , 65.8494, 35.6716, 1
3.38759, 194.095 , 65.8477, 35.6221, 1
3.38859, 194.152 , 65.846, 35.5768, 1
3.38959, 194.209 , 65.8443, 35.5356, 1
3.39059, 194.267 , 65.8426, 35.4987, 1
3.39159, 194.324 , 65.8408, 35.4659, 1
3.39259, 194.381 , 65.8391, 35.4372, 1
3.39359, 194.439 , 65.8374, 35.4127, 1
3.39459, 194.496 , 65.8356, 35.3924, 1
3.39559, 194.553 , 65.8338, 35.3761, 1
3.39659, 194.61 , 65.8321, 35.3641, 1
3.39759, 194.668 , 65.8303, 35.3561, 1
3.39859, 194.725 , 65.8285, 35.3524, 1
3.39959, 194.782 , 65.8267, 35.3527, 1
3.40059, 194.84 , 65.8249, 35.3573, 1
3.40159, 194.897 , 65.8231, 35.366, 1
3.40259, 194.954 , 65.8213, 35.3789, 1
3.40359, 195.011 , 65.8195, 35.3961, 1
3.40459, 195.069 , 65.8176, 35.4174, 1
3.40559, 195.126 , 65.8158, 35.443, 1
3.40659, 195.183 , 65.814, 35.4728, 1
3.40759, 195.241 , 65.8121, 35.5069, 1
3.40859, 195.298 , 65.8102, 35.5454, 1
3.40959, 195.355 , 65.8084, 35.5881, 1
3.41059, 195.413 , 65.8065, 35.6352, 1
3.41159, 195.47 , 65.8046, 35.6867, 1
3.41259, 195.527 , 65.8027, 35.7427, 1
3.41359, 195.584 , 65.8008, 35.8031, 1
3.41459, 195.642 , 65.7989, 35.868, 1
3.41559, 195.699 , 65.797, 35.9374, 1
3.41659, 195.756 , 65.7951, 36.0114, 1
3.41759, 195.814 , 65.7931, 36.09, 1
3.41859, 195.871 , 65.7912, 36.1733, 1
3.41959, 195.928 , 65.7893, 36.2613, 1
3.42059, 195.986 , 65.7873, 36.354, 1
3.42159, 196.043 , 65.7853, 36.4516, 1
3.42259, 196.1 , 65.7834, 36.5541, 1
3.42359, 196.157 , 65.7814, 36.6615, 1
3.42459, 196.215 , 65.7794, 36.7739, 1
3.42559, 196.272 , 65.7774, 36.8914, 1
3.42659, 196.329 , 65.7754, 37.014, 1
3.42759, 196.387 , 65.7734, 37.1418, 1
3.42859, 196.444 , 65.7714, 37.2749, 1
3.42959, 196.501 , 65.7694, 37.4134, 1
3.43059, 196.558 , 65.7673, 37.5573, 1
