a(radian),a(degree),Eruling, Ebend
0.137,7.84952, 84.5917, 65.7031, 1
0.138,7.90682, 84.5887, 65.0226, 1
0.139,7.96411, 84.5857, 64.3539, 1
0.14,8.02141, 84.5827, 63.6965, 1
0.141,8.0787, 84.5796, 63.0504, 1
0.142,8.136, 84.5765, 62.4152, 1
0.143,8.1933, 84.5734, 61.7906, 1
0.144,8.25059, 84.5704, 61.1764, 1
0.145,8.30789, 84.5672, 60.5723, 1
0.146,8.36518, 84.5641, 59.9782, 1
0.147,8.42248, 84.561, 59.3937, 1
0.148,8.47978, 84.5579, 58.8187, 1
0.149,8.53707, 84.5547, 58.253, 1
0.15,8.59437, 84.5515, 57.6963, 1
0.151,8.65166, 84.5483, 57.1484, 1
0.152,8.70896, 84.5451, 56.6092, 1
0.153,8.76625, 84.5419, 56.0784, 1
0.154,8.82355, 84.5387, 55.5559, 1
0.155,8.88085, 84.5355, 55.0414, 1
0.156,8.93814, 84.5322, 54.5349, 1
0.157,8.99544, 84.529, 54.0361, 1
0.158,9.05273, 84.5257, 53.5448, 1
0.159,9.11003, 84.5224, 53.061, 1
0.16,9.16732, 84.5191, 52.5844, 1
0.161,9.22462, 84.5158, 52.1149, 1
0.162,9.28192, 84.5125, 51.6523, 1
0.163,9.33921, 84.5091, 51.1966, 1
0.164,9.39651, 84.5058, 50.7475, 1
0.165,9.4538, 84.5024, 50.305, 1
0.166,9.5111, 84.4991, 49.8688, 1
0.167,9.5684, 84.4957, 49.439, 1
0.168,9.62569, 84.4923, 49.0152, 1
0.169,9.68299, 84.4889, 48.5975, 1
0.17,9.74028, 84.4854, 48.1857, 1
0.171,9.79758, 84.482, 47.7796, 1
0.172,9.85487, 84.4785, 47.3793, 1
0.173,9.91217, 84.4751, 46.9844, 1
0.174,9.96947, 84.4716, 46.5951, 1
0.175,10.0268, 84.4681, 46.2111, 1
0.176,10.0841, 84.4646, 45.8323, 1
0.177,10.1414, 84.4611, 45.4586, 1
0.178,10.1986, 84.4576, 45.09, 1
0.179,10.2559, 84.454, 44.7264, 1
0.18,10.3132, 84.4505, 44.3676, 1
0.181,10.3705, 84.4469, 44.0136, 1
0.182,10.4278, 84.4433, 43.6643, 1
0.183,10.4851, 84.4397, 43.3195, 1
0.184,10.5424, 84.4361, 42.9793, 1
0.185,10.5997, 84.4325, 42.6434, 1
0.186,10.657, 84.4289, 42.312, 1
0.187,10.7143, 84.4252, 41.9848, 1
0.188,10.7716, 84.4216, 41.6618, 1
0.189,10.8289, 84.4179, 41.3429, 1
0.19,10.8862, 84.4142, 41.028, 1
0.191,10.9435, 84.4105, 40.7171, 1
0.192,11.0008, 84.4068, 40.4101, 1
0.193,11.0581, 84.4031, 40.107, 1
0.194,11.1154, 84.3993, 39.8076, 1
0.195,11.1727, 84.3956, 39.5119, 1
0.196,11.23, 84.3918, 39.2199, 1
0.197,11.2873, 84.388, 38.9314, 1
0.198,11.3446, 84.3843, 38.6465, 1
0.199,11.4019, 84.3805, 38.365, 1
0.2,11.4592, 84.3766, 38.0869, 1
0.201,11.5165, 84.3728, 37.8122, 1
0.202,11.5737, 84.369, 37.5407, 1
0.203,11.631, 84.3651, 37.2724, 1
0.204,11.6883, 84.3612, 37.0074, 1
